taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
ASV_4_Corynebacterium_nan,16,FALSE,TRUE,TRUE,TRUE
ASV_8_Corynebacterium_nan,5,FALSE,FALSE,FALSE,FALSE
ASV_58_Porphyromonas_nan,4,FALSE,FALSE,FALSE,FALSE
ASV_33_Alloprevotella_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_6_Dolosigranulum_pigrum,1,FALSE,FALSE,FALSE,FALSE
ASV_10_Streptococcus_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_24_Streptococcus_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_7_Streptococcus_nan,11,FALSE,FALSE,FALSE,TRUE
ASV_39_Gemella_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_5_Staphylococcus_nan,4,FALSE,FALSE,FALSE,FALSE
ASV_35_ASV_35_nan,5,FALSE,FALSE,FALSE,FALSE
ASV_174_Helcococcus_nan,13,FALSE,FALSE,TRUE,TRUE
ASV_13_Neisseria_nan,5,FALSE,FALSE,FALSE,FALSE
ASV_20_Neisseria_nan,10,FALSE,FALSE,FALSE,FALSE
ASV_22_ASV_22_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_2_Haemophilus_nan,18,TRUE,TRUE,TRUE,TRUE
ASV_3_Haemophilus_nan,5,FALSE,FALSE,FALSE,FALSE
ASV_1_Moraxella_nan,9,FALSE,FALSE,FALSE,FALSE
ASV_11_Moraxella_lincolnii,1,FALSE,FALSE,FALSE,FALSE
