taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
ASV_4_Corynebacterium_nan,2,FALSE,FALSE,FALSE,FALSE
ASV_8_Corynebacterium_nan,8,FALSE,FALSE,FALSE,FALSE
ASV_58_Porphyromonas_nan,4,FALSE,FALSE,FALSE,FALSE
ASV_33_Alloprevotella_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_6_Dolosigranulum_pigrum,0,FALSE,FALSE,FALSE,FALSE
ASV_10_Streptococcus_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_24_Streptococcus_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_7_Streptococcus_nan,16,FALSE,TRUE,TRUE,TRUE
ASV_39_Gemella_nan,1,FALSE,FALSE,FALSE,FALSE
ASV_5_Staphylococcus_nan,0,FALSE,FALSE,FALSE,FALSE
ASV_35_ASV_35_nan,8,FALSE,FALSE,FALSE,FALSE
ASV_174_Helcococcus_nan,11,FALSE,FALSE,FALSE,TRUE
ASV_13_Neisseria_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_20_Neisseria_nan,3,FALSE,FALSE,FALSE,FALSE
ASV_22_ASV_22_nan,8,FALSE,FALSE,FALSE,FALSE
ASV_2_Haemophilus_nan,0,FALSE,FALSE,FALSE,FALSE
ASV_3_Haemophilus_nan,0,FALSE,FALSE,FALSE,FALSE
ASV_1_Moraxella_nan,0,FALSE,FALSE,FALSE,FALSE
ASV_11_Moraxella_lincolnii,11,FALSE,FALSE,FALSE,TRUE
