taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Corynebacterium,13,FALSE,FALSE,TRUE,TRUE
Porphyromonas,13,FALSE,FALSE,TRUE,TRUE
ASV_63,1,FALSE,FALSE,FALSE,FALSE
Alloprevotella,1,FALSE,FALSE,FALSE,FALSE
Prevotella,1,FALSE,FALSE,FALSE,FALSE
Campylobacter,1,FALSE,FALSE,FALSE,FALSE
Dolosigranulum,2,FALSE,FALSE,FALSE,FALSE
Streptococcus,0,FALSE,FALSE,FALSE,FALSE
Gemella,1,FALSE,FALSE,FALSE,FALSE
Staphylococcus,0,FALSE,FALSE,FALSE,FALSE
ASV_35,1,FALSE,FALSE,FALSE,FALSE
Veillonella,2,FALSE,FALSE,FALSE,FALSE
Fusobacterium,1,FALSE,FALSE,FALSE,FALSE
Streptobacillus,1,FALSE,FALSE,FALSE,FALSE
ASV_22,0,FALSE,FALSE,FALSE,FALSE
Neisseria,0,FALSE,FALSE,FALSE,FALSE
Haemophilus,0,FALSE,FALSE,FALSE,FALSE
Acinetobacter,3,FALSE,FALSE,FALSE,FALSE
Moraxella,2,FALSE,FALSE,FALSE,FALSE
