taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Corynebacterium,0,FALSE,FALSE,FALSE,FALSE
Porphyromonas,1,FALSE,FALSE,FALSE,FALSE
Alloprevotella,1,FALSE,FALSE,FALSE,FALSE
Prevotella,1,FALSE,FALSE,FALSE,FALSE
Dolosigranulum,1,FALSE,FALSE,FALSE,FALSE
Streptococcus,1,FALSE,FALSE,FALSE,FALSE
Gemella,1,FALSE,FALSE,FALSE,FALSE
Staphylococcus,1,FALSE,FALSE,FALSE,FALSE
ASV_35,1,FALSE,FALSE,FALSE,FALSE
Helcococcus,1,FALSE,FALSE,FALSE,FALSE
Fusobacterium,1,FALSE,FALSE,FALSE,FALSE
Streptobacillus,1,FALSE,FALSE,FALSE,FALSE
ASV_22,1,FALSE,FALSE,FALSE,FALSE
Neisseria,1,FALSE,FALSE,FALSE,FALSE
Haemophilus,1,FALSE,FALSE,FALSE,FALSE
Acinetobacter,1,FALSE,FALSE,FALSE,FALSE
Moraxella,16,TRUE,TRUE,TRUE,TRUE
