taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
Corynebacterium,1,FALSE,FALSE,FALSE,FALSE
Porphyromonas,0,FALSE,FALSE,FALSE,FALSE
Alloprevotella,1,FALSE,FALSE,FALSE,FALSE
Prevotella,2,FALSE,FALSE,FALSE,FALSE
Dolosigranulum,0,FALSE,FALSE,FALSE,FALSE
Streptococcus,0,FALSE,FALSE,FALSE,FALSE
Gemella,0,FALSE,FALSE,FALSE,FALSE
Staphylococcus,0,FALSE,FALSE,FALSE,FALSE
ASV_35,4,FALSE,FALSE,FALSE,FALSE
Helcococcus,9,FALSE,FALSE,FALSE,FALSE
Fusobacterium,0,FALSE,FALSE,FALSE,FALSE
Streptobacillus,1,FALSE,FALSE,FALSE,FALSE
ASV_22,3,FALSE,FALSE,FALSE,FALSE
Neisseria,0,FALSE,FALSE,FALSE,FALSE
Haemophilus,3,FALSE,FALSE,FALSE,FALSE
Acinetobacter,1,FALSE,FALSE,FALSE,FALSE
Moraxella,0,FALSE,FALSE,FALSE,FALSE
