feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.75604072512943	0.249521610357722	210	141	7.54573727322121e-11	5.65930295491591e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.66191502010763	0.235124534890595	210	179	6.55410313249802e-11	5.65930295491591e-09
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	1.00924132263192	0.166038970771064	210	42	1.0424770253613e-08	5.21238512680649e-07
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.692157372592508	0.129276962553589	210	32	3.28501639924035e-07	1.23188114971513e-05
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	1.12545014612648	0.239385782013425	210	104	6.00543212852868e-06	0.00018016296385586
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.613733237822525	0.158298054615558	210	83	0.000161257592494351	0.00403143981235877
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.871880244609817	0.247324248070747	210	133	0.000569971872582508	0.010686972610922
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.82011911837545	0.798992143673691	210	141	0.000535674918674444	0.010686972610922
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.756027246288903	0.233406958168368	210	62	0.0014940350307409	0.0249005838456817
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.749886861090068	0.236452446987159	210	121	0.00186194819895635	0.0253902027130411
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.645098679986616	0.201729230327149	210	108	0.00170635541598963	0.0253902027130411
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.73921786345477	0.901139543536729	210	141	0.00278070748613081	0.0347588435766352
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.455020702756618	0.159010375292572	210	34	0.00484346614349479	0.0558861478095553
ASV_2_Haemophilus_nan	collection_season2	spring	1.71294498996763	0.715230960723608	210	104	0.0178036229159704	0.178036229159704
ASV_2_Haemophilus_nan	collection_season2	winter	1.93114480970547	0.80053763836561	210	104	0.0171577754286383	0.178036229159704
ASV_63_ASV_63_nan	collection_season2	autumn	-0.959551396080571	0.406800929756462	210	29	0.0192877332275092	0.180822499007898
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.758225986069088	0.330464634109376	210	32	0.0233472935630969	0.186004233507975
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.836828401237324	0.363025816386472	210	32	0.0230039474668435	0.186004233507975
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.383443604746116	0.168071652161165	210	29	0.0235605362443434	0.186004233507975
ASV_14_Corynebacterium_nan	HAZ12_2	low	-1.15485429442771	0.508144581246075	210	32	0.0263407437172571	0.197555577879428
