feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.76476760115899	0.24945389343836	210	141	6.22376486053706e-11	6.1882412270466e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.65483522418385	0.235469811396442	210	179	8.2509883027288e-11	6.1882412270466e-09
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	1.00598023028774	0.166237553351285	210	42	1.19836960522926e-08	5.99184802614631e-07
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.695329526557646	0.129707326263741	210	32	3.21130876514606e-07	1.20424078692977e-05
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	1.11153685464595	0.239716150250594	210	104	7.91513812819543e-06	0.000237454143845863
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.617955015287082	0.158427455631637	210	83	0.000147956106036511	0.00369890265091278
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.863578091497788	0.247777649077057	210	133	0.000655238446768267	0.01404082385932
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.751546093287892	0.236673564152305	210	121	0.00183927426767709	0.0250810127410513
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.649113664830514	0.201898833815066	210	108	0.00161498051071764	0.0250810127410513
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.56433570419786	0.809816555363378	210	141	0.00182189573995597	0.0250810127410513
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.756871339088479	0.233496271918979	210	62	0.00148321000929759	0.0250810127410513
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.58249709272587	0.910406289968165	210	141	0.00515395119127077	0.0644243898908846
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.442144985951507	0.159121332559524	210	34	0.00618792194847318	0.0713990994054598
ASV_2_Haemophilus_nan	collection_season2	winter	2.04764649154062	0.810327958754499	210	104	0.0126007630801619	0.135008175858878
ASV_18_Klebsiella_nan	collection_season2	spring	-1.01284952849338	0.425765497640935	210	29	0.0182918930339411	0.17976058202813
ASV_2_Haemophilus_nan	collection_season2	spring	1.71910056254819	0.726583998251704	210	104	0.0191744620830005	0.17976058202813
ASV_4_Corynebacterium_nan	collection_season2	spring	2.05917220071855	0.88702978067942	210	138	0.0213576277442456	0.188449656566873
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.364614906663662	0.167306819911901	210	29	0.0304590268796774	0.253825223997311
ASV_39_Gemella_nan	collection_season2	winter	1.34688353293701	0.629403876541683	210	88	0.0338179071561727	0.266983477548732
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.68258929239991	0.342805848843903	210	32	0.0484361269509476	0.332442467772215
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.748430592439043	0.375820011330439	210	32	0.0487582286065916	0.332442467772215
ASV_35_ASV_35_nan	collection_season2	winter	1.10795852200926	0.548121723635106	210	34	0.0450552004498917	0.332442467772215
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.342279032999338	0.178137404455552	210	36	0.0566414619685725	0.369400838925473
ASV_63_ASV_63_nan	collection_season2	autumn	-0.794449601294832	0.421569456406679	210	29	0.0609285812585365	0.377502922589948
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.309380190859164	0.165528145895367	210	88	0.0637103761823849	0.377502922589948
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.263313970894732	0.141837973842739	210	45	0.0654338399155909	0.377502922589948
ASV_58_Porphyromonas_nan	WAZ0_2	middle	0.771380704115251	0.456694661996397	210	32	0.0958203655875421	0.532335364375234
ASV_18_Klebsiella_nan	collection_season2	winter	-0.763573100093205	0.464507759598115	210	29	0.101758559627676	0.545135140862552
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.175624363841065	0.111345874619082	210	32	0.116918455527636	0.584592277638181
ASV_5_Staphylococcus_nan	WAZ0_2	middle	-2.04618624442863	1.2854007482855	210	141	0.116065178174751	0.584592277638181
ASV_14_Corynebacterium_nan	WAZ0_2	low	-0.775726662003475	0.505337064033438	210	32	0.129422130022323	0.604266281713989
ASV_6_Dolosigranulum_pigrum	WAZ0_2	middle	-2.28231665164634	1.50062670684397	210	133	0.132938581977078	0.604266281713989
ASV_10_Streptococcus_nan	collection_season2	autumn	-1.07449250598861	0.711052369012835	210	108	0.132396994807671	0.604266281713989
ASV_58_Porphyromonas_nan	WAZ0_2	low	0.720665874026735	0.492296014113451	210	32	0.147762773038949	0.632974862887431
ASV_5_Staphylococcus_nan	WAZ0_2	low	-1.99388068843553	1.38250841797166	210	141	0.153767761019135	0.632974862887431
ASV_176_Veillonella_nan	WAZ0_2	low	0.656844063891863	0.458033401401188	210	23	0.156133799512233	0.632974862887431
ASV_18_Klebsiella_nan	collection_season2	autumn	-0.748489511868382	0.514335369931642	210	29	0.147143105170284	0.632974862887431
ASV_28_Corynebacterium_nan	collection_season2	winter	-0.692437797213261	0.530275435846671	210	36	0.194080082830262	0.718017513377419
