feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.76476760115899	0.24945389343836	210	141	6.22376486053706e-11	6.1882412270466e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.65483522418385	0.235469811396442	210	179	8.2509883027288e-11	6.1882412270466e-09
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	1.00598023028774	0.166237553351285	210	42	1.19836960522926e-08	5.99184802614631e-07
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.695329526557646	0.129707326263741	210	32	3.21130876514606e-07	1.20424078692977e-05
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	1.11153685464595	0.239716150250594	210	104	7.91513812819543e-06	0.000237454143845863
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.617955015287082	0.158427455631637	210	83	0.000147956106036511	0.00369890265091278
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.863578091497788	0.247777649077057	210	133	0.000655238446768267	0.01404082385932
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.751546093287892	0.236673564152305	210	121	0.00183927426767709	0.0250810127410513
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.649113664830514	0.201898833815066	210	108	0.00161498051071764	0.0250810127410513
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.56433570419786	0.809816555363378	210	141	0.00182189573995597	0.0250810127410513
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.756871339088479	0.233496271918979	210	62	0.00148321000929759	0.0250810127410513
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.58249709272587	0.910406289968165	210	141	0.00515395119127077	0.0644243898908846
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.442144985951507	0.159121332559524	210	34	0.00618792194847318	0.0713990994054598
ASV_2_Haemophilus_nan	collection_season2	winter	2.04764649154062	0.810327958754499	210	104	0.0126007630801619	0.135008175858878
ASV_18_Klebsiella_nan	collection_season2	spring	-1.01284952849338	0.425765497640935	210	29	0.0182918930339411	0.17976058202813
ASV_2_Haemophilus_nan	collection_season2	spring	1.71910056254819	0.726583998251704	210	104	0.0191744620830005	0.17976058202813
ASV_4_Corynebacterium_nan	collection_season2	spring	2.05917220071855	0.88702978067942	210	138	0.0213576277442456	0.188449656566873
