feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.75774682159262	0.2494231221506	210	141	7.15086374766473e-11	3.57543187383237e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.65899575914649	0.235091075956425	210	179	6.95209986815134e-11	3.57543187383237e-09
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	1.01020331527222	0.165955969990477	210	42	9.95866266361071e-09	3.31955422120357e-07
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.685338222109581	0.129188004801343	210	32	4.11018521593286e-07	1.02754630398322e-05
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	1.12182209975921	0.23930497466628	210	104	6.35791005524925e-06	0.000127158201104985
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.613257130752549	0.15825224499989	210	83	0.000162348600090737	0.00270581000151228
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.86438275863655	0.247295854533611	210	133	0.0006320486741356	0.007900608426695
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.79975506529174	0.796092705041701	210	141	0.000557967672536282	0.007900608426695
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.750664169244517	0.236330618798515	210	121	0.00183222236396737	0.0166565669451579
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.644195372949566	0.201653434396331	210	108	0.00172418917838629	0.0166565669451579
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.75253857262068	0.233337339052303	210	62	0.00156338529900843	0.0166565669451579
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.69204715430867	0.897266814035925	210	141	0.003135949440668	0.0261329120055666
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.452742005691983	0.158987279266602	210	34	0.00504803840404358	0.0388310646464891
ASV_2_Haemophilus_nan	collection_season2	spring	1.74126612345777	0.710071392966239	210	104	0.0152799683278711	0.109142630913365
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.804453784395613	0.335376815120867	210	32	0.0177968627863696	0.11123039241481
ASV_2_Haemophilus_nan	collection_season2	winter	1.92250137149804	0.793962629618566	210	104	0.0167327272782415	0.11123039241481
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.383372647159639	0.167465468010498	210	29	0.0230825586774458	0.135779756926152
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.83661151960565	0.369171102586071	210	32	0.0252669624970803	0.140372013872668
ASV_4_Corynebacterium_nan	collection_season2	spring	1.91744378792085	0.872601858967343	210	138	0.0292416257415433	0.1422786986691
ASV_63_ASV_63_nan	collection_season2	autumn	-0.891465822954332	0.40669754515625	210	29	0.0295099618675131	0.1422786986691
ASV_18_Klebsiella_nan	collection_season2	spring	-0.908915411413778	0.415610844097155	210	29	0.029878526720511	0.1422786986691
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.335312666165402	0.177792562085345	210	36	0.0612907213579625	0.266481397208533
ASV_39_Gemella_nan	collection_season2	winter	1.17775426390049	0.619280460935289	210	88	0.0589458518611027	0.266481397208533
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.261188725851606	0.141525102958931	210	45	0.067002656936174	0.279177737234058
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.298611158920176	0.165767649925821	210	88	0.0738001713251953	0.283846812789213
ASV_35_ASV_35_nan	collection_season2	winter	0.977481804850635	0.539706367203026	210	34	0.072172192261241	0.283846812789213
ASV_10_Streptococcus_nan	collection_season2	autumn	-1.1298337364402	0.692752193758338	210	108	0.104483239273313	0.386974960271531
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.171615117944327	0.111285639137119	210	32	0.125228783645829	0.447245655877959
ASV_28_Corynebacterium_nan	collection_season2	winter	-0.759096750944321	0.514097088465171	210	36	0.142426061785675	0.491124350985087
ASV_5_Staphylococcus_nan	collection_season2	autumn	-1.17870621729451	0.848319964134127	210	141	0.166228307381558	0.554094357938525
ASV_4_Corynebacterium_nan	collection_season2	winter	1.28415138967044	0.98910928983193	210	138	0.195921903780132	0.626308598175737
ASV_18_Klebsiella_nan	collection_season2	winter	-0.584479679661991	0.455027148358733	210	29	0.200418751416236	0.626308598175737
ASV_35_ASV_35_nan	collection_season2	spring	0.572986807202232	0.481568232535665	210	34	0.235838743873761	0.714662860223517
ASV_10_Streptococcus_nan	collection_season2	spring	-0.769532608535396	0.657430534657124	210	108	0.243368536977872	0.715789814640799
ASV_40_Porphyromonas_nan	collection_season2	spring	0.577536929317121	0.509559857179618	210	44	0.258514718368724	0.738613481053497
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.0966169020082427	0.0872165425535707	210	28	0.269778658667615	0.749385162965596
ASV_34_Corynebacterium_nan	collection_season2	spring	0.239944536765229	0.225488637438486	210	28	0.289147987442723	0.775200725238937
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.932924646034523	0.902088944860118	210	138	0.302328282843186	0.775200725238937
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	0.898424506185584	0.857320841189535	210	133	0.296003593726024	0.775200725238937
ASV_28_Corynebacterium_nan	collection_season2	autumn	-0.503799460377264	0.543288294061149	210	36	0.354886077551426	0.784809685685469
ASV_34_Corynebacterium_nan	collection_season2	autumn	-0.250474685542565	0.264113791977577	210	28	0.344106147591358	0.784809685685469
ASV_40_Porphyromonas_nan	collection_season2	autumn	-0.455376364564999	0.525605110382392	210	44	0.387344155817285	0.784809685685469
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.259349515850615	0.31209012389452	210	32	0.407293834495828	0.784809685685469
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.609946980293244	0.657482079760513	210	54	0.354654624155894	0.784809685685469
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	0.104432516312893	0.126661053323147	210	29	0.41101536549168	0.784809685685469
ASV_63_ASV_63_nan	collection_season2	spring	-0.303440762919248	0.361714652113198	210	29	0.40284361538382	0.784809685685469
ASV_63_ASV_63_nan	collection_season2	winter	-0.347525548787517	0.402680156304162	210	29	0.389669164883486	0.784809685685469
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.121027812037137	0.153471768464138	210	65	0.431645327127008	0.784809685685469
ASV_35_ASV_35_nan	collection_season2	autumn	-0.417376811600318	0.526845642439716	210	34	0.429151825601337	0.784809685685469
ASV_100_Veillonella_massiliensis	collection_season2	autumn	-0.361845590800925	0.458414843691784	210	45	0.430824922629364	0.784809685685469
ASV_176_Veillonella_nan	age_days_numeric	age_days_numeric	-0.0827936243955031	0.104036341926046	210	23	0.427442871601953	0.784809685685469
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.13103047783733	0.14904567844591	210	30	0.380775602016078	0.784809685685469
ASV_13_Neisseria_nan	collection_season2	spring	0.49713531844884	0.535626951622054	210	31	0.354633736442431	0.784809685685469
ASV_22_ASV_22_nan	collection_season2	spring	0.435575283103745	0.514111102246553	210	42	0.398072924701956	0.784809685685469
ASV_18_Klebsiella_nan	collection_season2	autumn	-0.482302155895445	0.494135893226272	210	29	0.330189235044569	0.784809685685469
ASV_1_Moraxella_nan	collection_season2	spring	-0.586281444793453	0.768784962519268	210	179	0.446712186438689	0.79770033292623
ASV_40_Porphyromonas_nan	collection_season2	winter	0.388305514954601	0.577818208784113	210	44	0.502466543260692	0.801312230827177
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.247641733841518	0.353704103088287	210	32	0.484638404343663	0.801312230827177
