feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.75792733023317	0.249425852777107	210	141	7.1277424663944e-11	4.4548390414965e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.65908059685911	0.235100857006889	210	179	6.95352695808074e-11	4.4548390414965e-09
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	1.01059321861242	0.165912310239236	210	42	9.75704905102618e-09	4.06543710459424e-07
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.685336863037851	0.129209720238124	210	32	4.12914033563487e-07	1.2903563548859e-05
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	1.12184614384899	0.239353486335108	210	104	6.38323047191409e-06	0.000159580761797852
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.613320528824373	0.15825946778279	210	83	0.000162222089953239	0.00337962687402582
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.864025535482027	0.247333140876854	210	133	0.000636425307620495	0.00994414543157023
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.78625800083537	0.798719468842748	210	141	0.00061739567649541	0.00994414543157023
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.751431087704953	0.236365571594109	210	121	0.00181608486428083	0.0206373280031913
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.644473626637134	0.201683196345401	210	108	0.00171927074231879	0.0206373280031913
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.752540387638892	0.23337587284705	210	62	0.0015661840399621	0.0206373280031913
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.71748939905939	0.901977707073932	210	141	0.00301724514321016	0.0314296369084392
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.452601334377724	0.159030109002041	210	34	0.00507324139062481	0.0487811672175463
ASV_2_Haemophilus_nan	collection_season2	spring	1.7423711474163	0.712624889823531	210	104	0.0155869726803497	0.139169398931694
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.80520052510939	0.337085245946389	210	32	0.0182758568961773	0.148193397576673
ASV_2_Haemophilus_nan	collection_season2	winter	1.89562280999833	0.798622523692554	210	104	0.0189687548898142	0.148193397576673
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.844725774690355	0.372148791077301	210	32	0.0250411652420693	0.167999784740536
ASV_63_ASV_63_nan	collection_season2	autumn	-0.915195549582936	0.406801140941607	210	29	0.0255359672805615	0.167999784740536
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.383146034945583	0.167761442473102	210	29	0.0234085428738471	0.167999784740536
ASV_4_Corynebacterium_nan	collection_season2	spring	1.92323331310345	0.875257981747479	210	138	0.0292535871002483	0.174128494644335
ASV_18_Klebsiella_nan	collection_season2	spring	-0.914920223438567	0.416499405926216	210	29	0.0291690312183429	0.174128494644335
ASV_39_Gemella_nan	collection_season2	winter	1.21024054018054	0.621920018601898	210	88	0.0533690342947112	0.303233149401768
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.335530622137956	0.17782705425765	210	36	0.0611749614688339	0.332472616678445
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.261173862651538	0.141555606352841	210	45	0.0670771170726203	0.349359984753231
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.298610751185636	0.165714664220951	210	88	0.0737084492575318	0.368542246287659
ASV_35_ASV_35_nan	collection_season2	winter	0.9552317095024	0.542122085531602	210	34	0.0801657329369493	0.385412177581487
ASV_10_Streptococcus_nan	collection_season2	autumn	-1.12456488719034	0.694697393664339	210	108	0.107083471628891	0.495756813096718
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.171741472425712	0.11127208512908	210	32	0.124907227360189	0.55762155071513
ASV_22_ASV_22_nan	delivery	vaginal	0.958733536902024	0.638442729317418	210	42	0.137861791774828	0.594231861098398
ASV_28_Corynebacterium_nan	collection_season2	winter	-0.754286928343775	0.518291722674084	210	36	0.148208548786333	0.617535619943053
ASV_5_Staphylococcus_nan	collection_season2	autumn	-1.19747728709469	0.850419679514002	210	141	0.160651388520786	0.647787856938654
ASV_49_Streptobacillus_nan	delivery	vaginal	0.595146275208495	0.448918737999775	210	30	0.189402210025688	0.739852382912844
ASV_4_Corynebacterium_nan	collection_season2	winter	1.26026246609234	0.993763396919465	210	138	0.206452669165573	0.782017686233233
ASV_18_Klebsiella_nan	collection_season2	winter	-0.565970441012403	0.457176573626962	210	29	0.21715038337781	0.798346997712538
ASV_35_ASV_35_nan	collection_season2	spring	0.580189218794101	0.482735650066545	210	34	0.231167054183536	0.825596622084057
ASV_40_Porphyromonas_nan	collection_season2	spring	0.583615098625764	0.51102417689804	210	44	0.254922156262499	0.838559724547693
ASV_63_ASV_63_nan	delivery	vaginal	0.493046495946752	0.424850143155658	210	29	0.249994042046264	0.838559724547693
ASV_10_Streptococcus_nan	collection_season2	spring	-0.768530549483794	0.660080581371756	210	108	0.245880593147734	0.838559724547693
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.0967808635033498	0.0872542994085634	210	28	0.269177790565567	0.854747433818739
ASV_34_Corynebacterium_nan	collection_season2	spring	0.245116651286424	0.225732221827437	210	28	0.279463167340033	0.854747433818739
ASV_58_Porphyromonas_nan	delivery	vaginal	-0.395192793164611	0.363121553713221	210	32	0.280357158292546	0.854747433818739
ASV_28_Corynebacterium_nan	collection_season2	autumn	-0.496975539646749	0.545643380652942	210	36	0.363503904886647	0.863973414701778
ASV_34_Corynebacterium_nan	collection_season2	autumn	-0.262194206886271	0.264621538071663	210	28	0.322991402680185	0.863973414701778
ASV_34_Corynebacterium_nan	delivery	vaginal	0.219156550130152	0.250575971376612	210	28	0.384926153099378	0.863973414701778
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.917037544139715	0.904124390077172	210	138	0.311707458239699	0.863973414701778
ASV_40_Porphyromonas_nan	collection_season2	autumn	-0.463583810086348	0.526739462656623	210	44	0.379893445460304	0.863973414701778
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.267192423314256	0.311945547422755	210	32	0.393089095441158	0.863973414701778
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.62169404307934	0.659670571738678	210	54	0.347087956962019	0.863973414701778
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	0.104440088161221	0.126721924440831	210	29	0.411206972323331	0.863973414701778
ASV_63_ASV_63_nan	collection_season2	spring	-0.291898573632184	0.361079097762543	210	29	0.420138129476602	0.863973414701778
