feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.7504008621912	0.249536315894584	210	141	8.53782034132026e-11	5.33613771332516e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.65509735555577	0.235162981701161	210	179	7.70559167214849e-11	5.33613771332516e-09
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	1.00269240450097	0.165756955208871	210	42	1.19620935320571e-08	4.98420563835712e-07
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.682920915758729	0.129248533446665	210	32	4.52883150909977e-07	1.41525984659368e-05
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	1.13054334840458	0.239353045506711	210	104	5.46450891888513e-06	0.000136612722972128
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.614041046818659	0.158321097393541	210	83	0.000160454081146586	0.00334279335722055
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.79939422484625	0.794825546045926	210	141	0.000549711401962827	0.00981627503505048
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.857198324272844	0.247299791119962	210	133	0.000698577128351075	0.0109152676304855
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.751161815303445	0.236428615548063	210	121	0.00182786486717986	0.0207711916724985
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.646665385861976	0.201773750550706	210	108	0.00166783826943443	0.0207711916724985
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.752245077564219	0.233432640678352	210	62	0.00157682015766168	0.0207711916724985
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.456522206136913	0.159032895851335	210	34	0.00471452118664257	0.0491095956941934
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.56096850934667	0.902676819918924	210	141	0.0051531022093661	0.0495490597054432
ASV_2_Haemophilus_nan	collection_season2	winter	2.07632507847083	0.796794794221951	210	104	0.0101558191547959	0.0906769567392495
ASV_24_Streptococcus_nan	mom_smoke	yes	1.41746109117137	0.568073125951098	210	65	0.0150040222729483	0.117218924007409
ASV_2_Haemophilus_nan	collection_season2	spring	1.74518203696712	0.706812868965794	210	104	0.0146218590340962	0.117218924007409
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.810655503637672	0.336287679905371	210	32	0.017256968608542	0.126889475062809
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.392091228182762	0.166338718453006	210	29	0.0193609937666496	0.134451345601734
ASV_63_ASV_63_nan	collection_season2	autumn	-0.922721359535778	0.407623182188913	210	29	0.0246484227644472	0.16216067608189
ASV_4_Corynebacterium_nan	collection_season2	spring	1.90661475696769	0.867142667268645	210	138	0.0291657824491756	0.182286140307347
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.80129125902361	0.373885091187838	210	32	0.034157349074476	0.194075847014068
ASV_18_Klebsiella_nan	collection_season2	spring	-0.887159229371633	0.412816096575479	210	29	0.032808935155687	0.194075847014068
ASV_22_ASV_22_nan	mom_smoke	yes	1.30909580738537	0.637629621205871	210	42	0.0438493237607158	0.238311542177803
