feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.511630156156809	0.138456066306408	255	94	0.000295366027691917	0.0259922104368887
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.60950239534516	0.182335486126508	255	77	0.00101763486090143	0.029850622586442
ASV_2_Haemophilus_nan	collection_season2	spring	2.82003036118382	0.825234350444971	255	140	0.000746865600662425	0.029850622586442
ASV_4_Corynebacterium_nan	collection_season2	winter	2.07018395546201	0.654038210474733	255	207	0.00181571562810003	0.0399457438182008
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.372823056974281	0.126858089560488	255	26	0.00374060345417779	0.0658346207935292
ASV_3_Haemophilus_nan	collection_season2	spring	2.25576120770652	0.813199362027055	255	123	0.00595623873321446	0.0873581680871454
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.245176378602495	0.0965562751504565	255	26	0.0119960353563092	0.131956388919401
ASV_10_Streptococcus_nan	collection_season2	winter	-1.32551112023719	0.520431553129918	255	65	0.0117358202748117	0.131956388919401
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.396455955536536	0.162235524060998	255	250	0.0155473866653736	0.152018891839208
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.327976776883613	0.136522803082728	255	39	0.0173527826946838	0.152704487713218
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.753481289250359	0.319862809828427	255	34	0.0194300030771638	0.155440024617311
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.315542260983501	0.142328869028469	255	54	0.0279212019603724	0.178478945855726
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.7426551822886	0.800326026179884	255	140	0.0304225475890442	0.178478945855726
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.702227503027711	0.314794948246573	255	34	0.0267228147001917	0.178478945855726
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.768987529240042	0.349417737697102	255	34	0.0287401977061171	0.178478945855726
ASV_35_ASV_35_nan	collection_season2	winter	-1.05661262974528	0.493622049573293	255	56	0.0338032452217821	0.185917848719802
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.364625341409484	0.17626797727508	255	47	0.0400679740139636	0.204329164116154
ASV_39_Gemella_nan	collection_season2	winter	-0.899267060401321	0.448398529536827	255	54	0.0464384463900351	0.204329164116154
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.737712844578344	0.365872007778047	255	26	0.045473982867858	0.204329164116154
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.351744700718538	0.172582984225663	255	128	0.0430768902212783	0.204329164116154
ASV_20_Neisseria_nan	age_days_numeric	age_days_numeric	-0.266662835925547	0.135377977969063	255	26	0.0504634844482613	0.211466030068905
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.130066058383286	0.0710834863010782	255	31	0.0690215525181962	0.246387026147834
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.930974331291085	0.510296815475999	255	47	0.0699963142465439	0.246387026147834
ASV_13_Neisseria_nan	collection_season2	autumn	-0.796749343627365	0.436659315801893	255	39	0.0693157528613743	0.246387026147834
ASV_20_Neisseria_nan	collection_season2	autumn	-0.825759617065137	0.440534564796149	255	26	0.0620858738489419	0.246387026147834
