feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.515296797951367	0.13841841633222	255	94	0.000267075586759831	0.0587566290871628
ASV_58_Porphyromonas_nan	excl_bf_maxtimepoint	T04	3.35882917136997	0.944182200085671	255	45	0.000640630681969267	0.0704693750166193
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.606650133558475	0.182355560389326	255	77	0.0010742179985895	0.07877598656323
ASV_2_Haemophilus_nan	collection_season2	spring	2.60183587696451	0.82369828090579	255	140	0.00180498327347959	0.0992740800413773
ASV_4_Corynebacterium_nan	collection_season2	winter	1.99968572583357	0.65810576301108	255	207	0.00274479704944425	0.120771070175547
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.37284025227342	0.126852223596691	255	26	0.00373748996196757	0.137041298605478
ASV_2_Haemophilus_nan	excl_bf_maxtimepoint	T04	4.15888569109094	1.44889525547768	255	140	0.00529284925885447	0.145553354618498
ASV_3_Haemophilus_nan	collection_season2	spring	2.36704944238171	0.83202819951652	255	123	0.00481953273696972	0.145553354618498
ASV_10_Streptococcus_nan	collection_season2	winter	-1.36532948120219	0.527916030840294	255	65	0.0105557919667372	0.212307419221491
ASV_35_ASV_35_nan	excl_bf_maxtimepoint	T04	2.25466998630763	0.855396477456169	255	56	0.0101185394877167	0.212307419221491
ASV_1_Moraxella_nan	excl_bf_maxtimepoint	T02	-1.75097996832966	0.668408707153236	255	250	0.0106153709610745	0.212307419221491
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.240241168173489	0.0965122948828851	255	26	0.0137506081410851	0.240244038079906
ASV_63_ASV_63_nan	excl_bf_maxtimepoint	T04	1.77061819300731	0.718455868108396	255	26	0.0159145035415214	0.240244038079906
ASV_35_ASV_35_nan	collection_season2	winter	-1.15075188232376	0.478754669401365	255	56	0.0174722936785386	0.240244038079906
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.328151140694652	0.136472591221867	255	39	0.0172531917758971	0.240244038079906
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.392659948468172	0.161894767319811	255	250	0.0163224193644479	0.240244038079906
ASV_39_Gemella_nan	collection_season2	winter	-0.984483962294712	0.443293889342672	255	54	0.0277349229179	0.310391909864236
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.716209602948866	0.321662916737458	255	34	0.0270773022876156	0.310391909864236
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.702621765227043	0.314865863650991	255	34	0.0266770149909043	0.310391909864236
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.77144105531667	0.349350115692844	255	34	0.0282174463512942	0.310391909864236
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.311694031811199	0.142230003463546	255	54	0.0297462989750048	0.31162789402386
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.789452371139945	0.370591758245713	255	26	0.0347846559470398	0.347846559470398
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.360948522987912	0.176642774357614	255	47	0.0425324329866439	0.383582306384312
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.354610961565111	0.172700016167645	255	128	0.0415647757898162	0.383582306384312
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.58966582275357	0.783353775602232	255	140	0.0435888984527627	0.383582306384312
ASV_2_Haemophilus_nan	excl_bf_maxtimepoint	T06	-2.47465331395808	1.21730535849618	255	140	0.0454330807045118	0.384433759807408
ASV_20_Neisseria_nan	age_days_numeric	age_days_numeric	-0.262772710933365	0.13547068141337	255	26	0.0540456060276028	0.424644047359736
ASV_1_Moraxella_nan	excl_bf_maxtimepoint	T01	-1.03311410764948	0.527333331639029	255	250	0.053734707537153	0.424644047359736
ASV_39_Gemella_nan	excl_bf_maxtimepoint	T06	-1.32268300951457	0.691494328852228	255	54	0.0593359511214879	0.428739024257835
ASV_22_ASV_22_nan	collection_season2	autumn	-1.17974159789685	0.620789633416391	255	128	0.0585659933135051	0.428739024257835
ASV_11_Moraxella_lincolnii	excl_bf_maxtimepoint	T06	1.86404375811972	0.978253744490684	255	34	0.0604132261454222	0.428739024257835
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.132851068951152	0.0710328821504445	255	31	0.0631455625522316	0.431903404417032
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.963261350338718	0.51774380796887	255	47	0.0647855106625547	0.431903404417032
ASV_7_Streptococcus_nan	excl_bf_maxtimepoint	T06	1.99534276908523	1.08503235820733	255	159	0.0698679780047644	0.445780210269323
ASV_13_Neisseria_nan	collection_season2	autumn	-0.797504360203188	0.442306297644765	255	39	0.0726901853094099	0.445780210269323
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.393806443237927	0.218256806466718	255	123	0.0729458525895255	0.445780210269323
ASV_5_Staphylococcus_nan	excl_bf_maxtimepoint	T01	1.3305967721722	0.744265410642526	255	77	0.0777046592046935	0.462027703379258
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.851661164278089	0.492146497114285	255	45	0.0852899692729317	0.464246556986785
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-1.34018726564096	0.788470183214943	255	200	0.0904949507042106	0.464246556986785
ASV_10_Streptococcus_nan	collection_season2	spring	-0.975995064000284	0.562852654561829	255	65	0.0843025010951429	0.464246556986785
ASV_39_Gemella_nan	excl_bf_maxtimepoint	T04	1.44017389965856	0.822781170236171	255	54	0.0839588017692323	0.464246556986785
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.281794482733299	0.165670108716796	255	56	0.0907390997746898	0.464246556986785
ASV_1_Moraxella_nan	excl_bf_maxtimepoint	T03	1.25244265995469	0.72776067679619	255	250	0.089211216538299	0.464246556986785
ASV_1_Moraxella_nan	excl_bf_maxtimepoint	T04	-1.54294848229107	0.907780060091707	255	250	0.0932309923837315	0.466154961918657
ASV_35_ASV_35_nan	excl_bf_maxtimepoint	T06	-1.17909582173211	0.71982931152292	255	56	0.105352892112484	0.505144701162647
ASV_20_Neisseria_nan	collection_season2	autumn	-0.71488442480332	0.440042371187037	255	26	0.105621164788553	0.505144701162647
ASV_39_Gemella_nan	collection_season2	spring	-0.752628619889393	0.474674148835811	255	54	0.114280037689048	0.534927835991288
ASV_39_Gemella_nan	excl_bf_maxtimepoint	T03	-1.03682625398466	0.659431879262037	255	54	0.119829007312498	0.549216283515616
ASV_10_Streptococcus_nan	excl_bf_maxtimepoint	T03	-1.23646095967459	0.792261529742668	255	65	0.122569847833312	0.550313602516913
ASV_8_Corynebacterium_nan	excl_bf_maxtimepoint	T01	1.09150514267149	0.709376866688554	255	94	0.127917678369314	0.551801749828414
ASV_6_Dolosigranulum_pigrum	excl_bf_maxtimepoint	T03	-1.84876874602745	1.19859791057303	255	200	0.126968260712591	0.551801749828414
ASV_11_Moraxella_lincolnii	excl_bf_maxtimepoint	T05	2.69097936415738	1.76747459471925	255	34	0.132004086663589	0.558478828192105
ASV_7_Streptococcus_nan	excl_bf_maxtimepoint	T05	-2.89127593518606	1.93380826873159	255	159	0.139221779938578	0.559436280886852
ASV_49_Streptobacillus_nan	collection_season2	autumn	-0.567420097912392	0.38541474471046	255	26	0.142401962407562	0.559436280886852
ASV_13_Neisseria_nan	collection_season2	winter	-0.651584852372864	0.438106394690897	255	39	0.138802610202444	0.559436280886852
ASV_20_Neisseria_nan	excl_bf_maxtimepoint	T04	1.22827880567568	0.825696903371866	255	26	0.140922739790705	0.559436280886852
ASV_7_Streptococcus_nan	excl_bf_maxtimepoint	T03	1.49511030062837	1.03478574057545	255	159	0.152677944843051	0.582131569310023
ASV_22_ASV_22_nan	excl_bf_maxtimepoint	T02	1.45984948879504	1.01263352193588	255	128	0.153471050090824	0.582131569310023
ASV_34_Corynebacterium_nan	collection_season2	spring	-0.340852124883607	0.240057947108849	255	31	0.157047372278336	0.585600371207353
ASV_40_Porphyromonas_nan	age_days_numeric	age_days_numeric	-0.180205732974115	0.127921895947627	255	34	0.160704423919104	0.589249554370047
ASV_4_Corynebacterium_nan	excl_bf_maxtimepoint	T02	1.25158366681745	0.924006941517043	255	207	0.179515266033046	0.598384220110154
ASV_40_Porphyromonas_nan	excl_bf_maxtimepoint	T04	-0.911618202083573	0.664805862984682	255	34	0.174232492247901	0.598384220110154
ASV_33_Alloprevotella_nan	excl_bf_maxtimepoint	T06	-1.08220810197382	0.783364410175058	255	47	0.171044124304021	0.598384220110154
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	-0.300847590467019	0.220645769897049	255	200	0.174511624727832	0.598384220110154
ASV_5_Staphylococcus_nan	collection_season2	winter	-0.863808027069656	0.638044698623133	255	77	0.177370706908236	0.598384220110154
