feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.491533960541058	0.1390470549234	255	94	0.000523354658616537	0.0378759588662537
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.61217154417779	0.183400039062736	255	77	0.00103298069635237	0.0378759588662537
ASV_2_Haemophilus_nan	collection_season2	spring	2.82158486567105	0.82635253771206	255	140	0.000754736696642178	0.0378759588662537
ASV_4_Corynebacterium_nan	collection_season2	winter	1.99736672076482	0.644145460103374	255	207	0.00223621230898929	0.0410892012492621
ASV_4_Corynebacterium_nan	first_antibiotics_upto_100days_post	yes	-2.55024552457553	0.823125263019494	255	207	0.00224122915905066	0.0410892012492621
ASV_58_Porphyromonas_nan	first_antibiotics_upto_100days_post	yes	1.98849710315172	0.629758683956781	255	45	0.00184375847295365	0.0410892012492621
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.365380957582252	0.126385259646493	255	26	0.00434159564863491	0.0682250744785486
ASV_3_Haemophilus_nan	collection_season2	spring	2.25248204930375	0.815011730948681	255	123	0.00614153594655755	0.0844461192651663
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.254005820609792	0.0975948996995217	255	26	0.0100586441918593	0.119209356355552
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.418042703600828	0.162300586307927	255	250	0.0108372142141411	0.119209356355552
ASV_10_Streptococcus_nan	collection_season2	winter	-1.30041179818172	0.520416196821685	255	65	0.013394948359735	0.13394948359735
ASV_40_Porphyromonas_nan	first_antibiotics_upto_100days_post	yes	1.0236717202606	0.456753090075804	255	34	0.0264839101492982	0.18891024583455
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.314403765433205	0.142961541078389	255	54	0.0291952198107941	0.18891024583455
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.310853755154691	0.136937445520828	255	39	0.0244300780559921	0.18891024583455
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.732515452757521	0.321275096701373	255	34	0.0236266813554859	0.18891024583455
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.718383717502145	0.315743129440929	255	34	0.0238748720806636	0.18891024583455
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.775717254199261	0.34986601089057	255	34	0.0275858978895422	0.18891024583455
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.373913752762764	0.177728164293811	255	47	0.0368447266578907	0.192996187255618
ASV_35_ASV_35_nan	collection_season2	winter	-1.04701956516821	0.493672630774932	255	56	0.0354966436287774	0.192996187255618
ASV_20_Neisseria_nan	age_days_numeric	age_days_numeric	-0.293052344454993	0.137750104626117	255	26	0.0348246413679864	0.192996187255618
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.71260494332827	0.803510577502461	255	140	0.0340755862737284	0.192996187255618
ASV_24_Streptococcus_nan	first_antibiotics_upto_100days_post	yes	1.09938009133107	0.5416885416446	255	59	0.0437857036369113	0.209409886959141
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.753065792198313	0.3698243880557	255	26	0.0434426610162531	0.209409886959141
ASV_39_Gemella_nan	collection_season2	winter	-0.901593766043886	0.450227661209126	255	54	0.0467894787147044	0.214451777442395
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.343778634994755	0.174144465470809	255	128	0.0499746999864175	0.219888679940237
ASV_13_Neisseria_nan	collection_season2	autumn	-0.840509997610253	0.436732362942287	255	39	0.0554912077698249	0.226075290914101
ASV_20_Neisseria_nan	first_antibiotics_upto_100days_post	yes	1.06129697275004	0.548083936286403	255	26	0.0544295312036657	0.226075290914101
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.919001778164999	0.509009907642092	255	47	0.0729907585597914	0.272398406627212
ASV_6_Dolosigranulum_pigrum	first_antibiotics_upto_100days_post	yes	-1.73292997721847	0.956983950349497	255	200	0.0716354769424863	0.272398406627212
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.297745597175639	0.167230913663521	255	56	0.0767668236858508	0.272398406627212
ASV_22_ASV_22_nan	collection_season2	autumn	-1.11227817030894	0.623221698087417	255	128	0.0755249469657758	0.272398406627212
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.382661476144167	0.219840296315089	255	123	0.083534017740959	0.287148185984547
ASV_20_Neisseria_nan	collection_season2	autumn	-0.751630972597405	0.436907435749372	255	26	0.0866945238536151	0.288981746178717
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.12039030014617	0.0712226019801594	255	31	0.0927594913523559	0.30010423672821
ASV_34_Corynebacterium_nan	first_antibiotics_upto_100days_post	yes	-0.443369583268233	0.284893303160228	255	31	0.121402842096132	0.381551789444986
ASV_40_Porphyromonas_nan	age_days_numeric	age_days_numeric	-0.195559038114147	0.12935653745622	255	34	0.132407605538492	0.388067432409322
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-1.14290971332048	0.767147511286669	255	200	0.137587544217851	0.388067432409322
ASV_13_Neisseria_nan	collection_season2	winter	-0.644061521429187	0.429222395500928	255	39	0.135290165040518	0.388067432409322
ASV_1_Moraxella_nan	first_antibiotics_upto_100days_post	yes	-0.985914890572857	0.659633326141087	255	250	0.136718884018615	0.388067432409322
ASV_49_Streptobacillus_nan	collection_season2	autumn	-0.563828199438537	0.384589791868793	255	26	0.144030262815009	0.396083222741274
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.70913761272111	0.493154512243341	255	45	0.152117807481227	0.402925088904938
ASV_10_Streptococcus_nan	collection_season2	spring	-0.771748769972189	0.544142817864095	255	65	0.157507080208294	0.402925088904938
ASV_13_Neisseria_nan	first_antibiotics_upto_100days_post	yes	-0.784368823444757	0.549125557867247	255	39	0.154898380201656	0.402925088904938
ASV_34_Corynebacterium_nan	collection_season2	spring	-0.307084474972904	0.23258758858683	255	31	0.188091008812573	0.470227522031433
ASV_8_Corynebacterium_nan	first_antibiotics_upto_100days_post	yes	-0.88642295363126	0.68754452634373	255	94	0.198536048067433	0.477720444672588
ASV_40_Porphyromonas_nan	collection_season2	winter	-0.456032308613794	0.355728373800267	255	34	0.201897674459041	0.477720444672588
ASV_10_Streptococcus_nan	first_antibiotics_upto_100days_post	yes	0.840650449875761	0.665947770281559	255	65	0.208459830402584	0.477720444672588
ASV_5_Staphylococcus_nan	collection_season2	winter	-0.809518293314268	0.637810080912308	255	77	0.205821904792373	0.477720444672588
ASV_63_ASV_63_nan	collection_season2	autumn	-0.401270125081782	0.340520928700864	255	26	0.239769652180914	0.517150230194127
ASV_35_ASV_35_nan	collection_season2	autumn	-0.608541341481543	0.511959802167275	255	56	0.235818414323428	0.517150230194127
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.0889030354605635	0.0751971839204437	255	34	0.238767534600137	0.517150230194127
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	-0.255487208609113	0.220773952072457	255	200	0.248764716269019	0.526233053646002
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	0.841722355597684	0.750490727381919	255	200	0.263422096656298	0.546725106267788
ASV_10_Streptococcus_nan	collection_season2	autumn	-0.585465181621412	0.530646226039971	255	65	0.271023188987084	0.552084273862578
ASV_40_Porphyromonas_nan	collection_season2	spring	0.416596461674213	0.382349237481848	255	34	0.277262709489043	0.554525418978086
ASV_39_Gemella_nan	collection_season2	spring	-0.490905871049696	0.469447469587781	255	54	0.296822743492278	0.572815820774572
ASV_1_Moraxella_nan	collection_season2	spring	0.562075942943253	0.536654973847003	255	250	0.296046261421158	0.572815820774572
ASV_34_Corynebacterium_nan	collection_season2	winter	0.227797426667769	0.222665924245537	255	31	0.307718882419728	0.573713170613053
ASV_39_Gemella_nan	collection_season2	autumn	-0.469048816989475	0.457415429386235	255	54	0.306210570669425	0.573713170613053
ASV_33_Alloprevotella_nan	collection_season2	spring	-0.528384871764899	0.542476001667414	255	47	0.331213961837817	0.607225596702665
ASV_8_Corynebacterium_nan	collection_season2	spring	-0.501126997041079	0.532731896428418	255	94	0.347787862149763	0.609083785941196
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.15700626057141	0.167140725590416	255	65	0.348838895584503	0.609083785941196
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.207912140920562	0.218486179818911	255	159	0.34263745288938	0.609083785941196
ASV_4_Corynebacterium_nan	collection_season2	spring	-0.598117435465811	0.667148608045801	255	207	0.370905770809757	0.637494293579269
ASV_49_Streptobacillus_nan	collection_season2	spring	-0.346787189482432	0.392293930215551	255	26	0.37773258250795	0.639239755013455
ASV_63_ASV_63_nan	first_antibiotics_upto_100days_post	yes	0.381683613375495	0.44388790760191	255	26	0.390804032247046	0.651340053745076
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.403478456909354	0.494142364513335	255	45	0.415008138810425	0.668861025478073
ASV_24_Streptococcus_nan	collection_season2	spring	-0.352995744566605	0.438739577373852	255	59	0.421895191906624	0.668861025478073
ASV_49_Streptobacillus_nan	first_antibiotics_upto_100days_post	yes	-0.374442456162493	0.474142552535993	255	26	0.430861180177284	0.668861025478073
ASV_20_Neisseria_nan	collection_season2	spring	-0.352866786670331	0.447970607572958	255	26	0.431719389172211	0.668861025478073
ASV_11_Moraxella_lincolnii	first_antibiotics_upto_100days_post	yes	-0.353202216455785	0.435089997457667	255	34	0.417772041722765	0.668861025478073
ASV_24_Streptococcus_nan	collection_season2	winter	-0.327956712646316	0.423957331071321	255	59	0.440185134955892	0.672505067293724
ASV_7_Streptococcus_nan	collection_season2	spring	-0.539446470372198	0.736382155052671	255	159	0.46456672894278	0.686831815511466
ASV_7_Streptococcus_nan	collection_season2	autumn	-0.533721358052799	0.715839564208105	255	159	0.456647494707614	0.686831815511466
ASV_13_Neisseria_nan	collection_season2	spring	0.32551710977296	0.448064751740181	255	39	0.468294419666909	0.686831815511466
ASV_1_Moraxella_nan	collection_season2	winter	0.342494992085455	0.515858580336944	255	250	0.507600100452417	0.734684355917972
ASV_33_Alloprevotella_nan	first_antibiotics_upto_100days_post	yes	0.412336410874618	0.652953833190456	255	47	0.528637740729907	0.755196772471296
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.357447390981593	0.648862732655642	255	207	0.58222811429454	0.789963872738066
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.268271413350305	0.532914915773978	255	47	0.615177796507886	0.789963872738066
ASV_63_ASV_63_nan	collection_season2	winter	-0.199936212481431	0.349004763747357	255	26	0.56734211099479	0.789963872738066
ASV_6_Dolosigranulum_pigrum	collection_season2	autumn	-0.38250534921619	0.74411061346909	255	200	0.607687035853963	0.789963872738066
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.0681776010012319	0.130647318105591	255	59	0.602438495427108	0.789963872738066
ASV_7_Streptococcus_nan	collection_season2	winter	0.379461227249593	0.71246631659238	255	159	0.594959213708662	0.789963872738066
ASV_22_ASV_22_nan	collection_season2	winter	0.323069370554498	0.646205945466434	255	128	0.617608118686125	0.789963872738066
ASV_2_Haemophilus_nan	collection_season2	winter	-0.41330938706701	0.798637892049115	255	140	0.605423823127978	0.789963872738066
ASV_2_Haemophilus_nan	first_antibiotics_upto_100days_post	yes	0.534584605262445	1.02039122682108	255	140	0.600957657037744	0.789963872738066
ASV_7_Streptococcus_nan	first_antibiotics_upto_100days_post	yes	-0.427205458476498	0.910137727934425	255	159	0.639331863024181	0.808350631409884
ASV_20_Neisseria_nan	collection_season2	winter	0.18830298407724	0.42828851286924	255	26	0.660745957209931	0.82181811457061
ASV_22_ASV_22_nan	first_antibiotics_upto_100days_post	yes	-0.355666917905133	0.82010822773459	255	128	0.664925565425312	0.82181811457061
ASV_35_ASV_35_nan	first_antibiotics_upto_100days_post	yes	0.2615800901386	0.63277158053426	255	56	0.679863200963218	0.822048107799541
ASV_3_Haemophilus_nan	collection_season2	winter	0.338144453271508	0.818898825472405	255	123	0.680057980088711	0.822048107799541
ASV_35_ASV_35_nan	collection_season2	spring	-0.195833559623353	0.522638745537616	255	56	0.708263129124342	0.846836350039974
ASV_8_Corynebacterium_nan	collection_season2	autumn	-0.141441633769419	0.515931510673488	255	94	0.784198563719409	0.884841245417224
ASV_40_Porphyromonas_nan	collection_season2	autumn	0.113000656272452	0.377167813417969	255	34	0.764766157779265	0.884841245417224
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	-0.035632357398639	0.149947358183877	255	45	0.812445143519451	0.884841245417224
ASV_24_Streptococcus_nan	collection_season2	autumn	-0.120695086630189	0.426628501521258	255	59	0.777494396596859	0.884841245417224
ASV_5_Staphylococcus_nan	collection_season2	spring	-0.168470871832749	0.647845400164828	255	77	0.795047022595555	0.884841245417224
ASV_5_Staphylococcus_nan	collection_season2	autumn	0.153986069859166	0.627823630681895	255	77	0.806452507404607	0.884841245417224
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	-0.0712977352209202	0.245956763056939	255	140	0.772256306498291	0.884841245417224
ASV_3_Haemophilus_nan	collection_season2	autumn	0.213927315778777	0.788830230175385	255	123	0.786465429394155	0.884841245417224
ASV_3_Haemophilus_nan	first_antibiotics_upto_100days_post	yes	0.254308608963239	1.03902599919913	255	123	0.806862041340076	0.884841245417224
ASV_8_Corynebacterium_nan	collection_season2	winter	-0.121509735315833	0.543674265065151	255	94	0.823341267271336	0.887917052939676
ASV_63_ASV_63_nan	collection_season2	spring	-0.0745896024278963	0.351657667403567	255	26	0.832197871135686	0.888755008008985
ASV_5_Staphylococcus_nan	first_antibiotics_upto_100days_post	yes	0.121541230157307	0.812403372975875	255	77	0.881217403742749	0.932056869343292
ASV_1_Moraxella_nan	collection_season2	autumn	0.0717810911761896	0.52255778146764	255	250	0.890859028088908	0.933280886569333
ASV_34_Corynebacterium_nan	collection_season2	autumn	0.0231012466589963	0.226748807465554	255	31	0.918938505759751	0.944703136762361
ASV_22_ASV_22_nan	collection_season2	spring	-0.0724488966461408	0.643901742441624	255	128	0.910505489991827	0.944703136762361
ASV_39_Gemella_nan	first_antibiotics_upto_100days_post	yes	-0.0489919391998741	0.575902456621194	255	54	0.932300063157933	0.949564879142339
ASV_58_Porphyromonas_nan	collection_season2	spring	0.0141866658833366	0.508579543666107	255	45	0.977769943259531	0.986740309711454
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	0.00186794154731365	0.199133481629197	255	207	0.992526378346281	0.992526378346281
