feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.491533960541058	0.1390470549234	255	94	0.000523354658616537	0.0378759588662537
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.61217154417779	0.183400039062736	255	77	0.00103298069635237	0.0378759588662537
ASV_2_Haemophilus_nan	collection_season2	spring	2.82158486567105	0.82635253771206	255	140	0.000754736696642178	0.0378759588662537
ASV_4_Corynebacterium_nan	collection_season2	winter	1.99736672076482	0.644145460103374	255	207	0.00223621230898929	0.0410892012492621
ASV_4_Corynebacterium_nan	first_antibiotics_upto_100days_post	yes	-2.55024552457553	0.823125263019494	255	207	0.00224122915905066	0.0410892012492621
ASV_58_Porphyromonas_nan	first_antibiotics_upto_100days_post	yes	1.98849710315172	0.629758683956781	255	45	0.00184375847295365	0.0410892012492621
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.365380957582252	0.126385259646493	255	26	0.00434159564863491	0.0682250744785486
ASV_3_Haemophilus_nan	collection_season2	spring	2.25248204930375	0.815011730948681	255	123	0.00614153594655755	0.0844461192651663
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.254005820609792	0.0975948996995217	255	26	0.0100586441918593	0.119209356355552
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.418042703600828	0.162300586307927	255	250	0.0108372142141411	0.119209356355552
ASV_10_Streptococcus_nan	collection_season2	winter	-1.30041179818172	0.520416196821685	255	65	0.013394948359735	0.13394948359735
ASV_40_Porphyromonas_nan	first_antibiotics_upto_100days_post	yes	1.0236717202606	0.456753090075804	255	34	0.0264839101492982	0.18891024583455
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.314403765433205	0.142961541078389	255	54	0.0291952198107941	0.18891024583455
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.310853755154691	0.136937445520828	255	39	0.0244300780559921	0.18891024583455
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.732515452757521	0.321275096701373	255	34	0.0236266813554859	0.18891024583455
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.718383717502145	0.315743129440929	255	34	0.0238748720806636	0.18891024583455
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.775717254199261	0.34986601089057	255	34	0.0275858978895422	0.18891024583455
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.373913752762764	0.177728164293811	255	47	0.0368447266578907	0.192996187255618
ASV_35_ASV_35_nan	collection_season2	winter	-1.04701956516821	0.493672630774932	255	56	0.0354966436287774	0.192996187255618
ASV_20_Neisseria_nan	age_days_numeric	age_days_numeric	-0.293052344454993	0.137750104626117	255	26	0.0348246413679864	0.192996187255618
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.71260494332827	0.803510577502461	255	140	0.0340755862737284	0.192996187255618
ASV_24_Streptococcus_nan	first_antibiotics_upto_100days_post	yes	1.09938009133107	0.5416885416446	255	59	0.0437857036369113	0.209409886959141
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.753065792198313	0.3698243880557	255	26	0.0434426610162531	0.209409886959141
ASV_39_Gemella_nan	collection_season2	winter	-0.901593766043886	0.450227661209126	255	54	0.0467894787147044	0.214451777442395
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.343778634994755	0.174144465470809	255	128	0.0499746999864175	0.219888679940237
ASV_13_Neisseria_nan	collection_season2	autumn	-0.840509997610253	0.436732362942287	255	39	0.0554912077698249	0.226075290914101
ASV_20_Neisseria_nan	first_antibiotics_upto_100days_post	yes	1.06129697275004	0.548083936286403	255	26	0.0544295312036657	0.226075290914101
