feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	2.46848582455667	0.664107718212217	255	207	0.000268062629606176	0.0176921335540076
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.516042482314207	0.138569866286597	255	94	0.000265984737448521	0.0176921335540076
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.614865973736066	0.182465555285234	255	77	0.000928773990328696	0.0384441382624006
ASV_2_Haemophilus_nan	collection_season2	spring	2.77357422663395	0.843609939952907	255	140	0.00116497388673941	0.0384441382624006
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.374663154188153	0.126901829081801	255	26	0.00358857887884829	0.0947384824015948
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.246798772364683	0.0966327113181952	255	26	0.0115178438932158	0.19325589542554
ASV_10_Streptococcus_nan	collection_season2	winter	-1.35433574990929	0.53360782278943	255	65	0.0120133747409319	0.19325589542554
ASV_22_ASV_22_nan	income2	middle	2.53201531153557	0.99883455668471	255	128	0.0131765383244686	0.19325589542554
ASV_3_Haemophilus_nan	collection_season2	spring	2.11460187446618	0.824648191141098	255	123	0.0109299916573658	0.19325589542554
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.331037383129874	0.136694510420319	255	39	0.0164864400604252	0.197837280725102
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.397347761394412	0.162348161169454	255	250	0.0153913180273276	0.197837280725102
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.753312015996475	0.321228691825547	255	34	0.0199857046556083	0.219842751211691
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.316748287485895	0.142403888137399	255	54	0.0274174205478896	0.269984519782011
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.75775067841979	0.818370133991983	255	140	0.0327253963372134	0.269984519782011
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.689402636481349	0.316676740250407	255	34	0.030577920442715	0.269984519782011
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.763348537798169	0.352694835111019	255	34	0.0314824725431127	0.269984519782011
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.366829157826497	0.176245693032828	255	47	0.0388683656660132	0.270233069009563
ASV_5_Staphylococcus_nan	income2	middle	1.97094795914524	0.934140276140893	255	77	0.0379375461936018	0.270233069009563
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.35795994547832	0.172806880575516	255	128	0.0398220448687698	0.270233069009563
ASV_22_ASV_22_nan	income2	low	2.01623518217943	0.970448183335208	255	128	0.0409444043953883	0.270233069009563
ASV_35_ASV_35_nan	collection_season2	winter	-1.02697107763267	0.514468749790749	255	56	0.0475295193068691	0.29875697850032
ASV_20_Neisseria_nan	age_days_numeric	age_days_numeric	-0.264068895166559	0.135387022588066	255	26	0.0527370009089936	0.316422005453961
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.13280987524711	0.0711794707578623	255	31	0.0637756637060295	0.325467522580434
ASV_10_Streptococcus_nan	income2	low	-1.2995943151265	0.692364609671423	255	65	0.064107239296146	0.325467522580434
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.724387421168297	0.379193630694869	255	26	0.0578729030274797	0.325467522580434
ASV_20_Neisseria_nan	collection_season2	autumn	-0.836667122176732	0.44888680632778	255	26	0.063566194373321	0.325467522580434
ASV_8_Corynebacterium_nan	income2	middle	1.63629233239979	0.908749945348567	255	94	0.075455293493311	0.332003291370568
ASV_10_Streptococcus_nan	income2	middle	-1.30481116536728	0.713389639463531	255	65	0.0710453990988015	0.332003291370568
ASV_5_Staphylococcus_nan	income2	low	1.64719418059878	0.907183925958125	255	77	0.0731217975261173	0.332003291370568
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.393284772958225	0.218608802381122	255	123	0.0737894735215124	0.332003291370568
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.292810992695631	0.166134879080721	255	56	0.079747715104611	0.339570915929311
ASV_34_Corynebacterium_nan	income2	middle	0.525993349267892	0.305021255137809	255	31	0.0885263123547614	0.365171038463391
ASV_39_Gemella_nan	collection_season2	winter	-0.774054250331021	0.460578937117502	255	54	0.0945805343521105	0.367195015719958
ASV_22_ASV_22_nan	collection_season2	autumn	-1.05153229238219	0.624226164313311	255	128	0.0933374338771896	0.367195015719958
ASV_13_Neisseria_nan	collection_season2	autumn	-0.734232608262288	0.445324225597699	255	39	0.100528056685772	0.37913438521491
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.855600278197647	0.523004799190717	255	45	0.103424854329153	0.379224465873562
ASV_39_Gemella_nan	income2	low	-0.973314855703967	0.601695699326655	255	54	0.109606330758879	0.391027990815459
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	1.2098269114775	0.772247583711327	255	200	0.118781564606838	0.412609645476384
ASV_34_Corynebacterium_nan	collection_season2	winter	0.352862210706551	0.22798771983872	255	31	0.123504660196677	0.41801577297337
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.783559754887916	0.529713054009984	255	47	0.141031970099183	0.465405501327305
ASV_10_Streptococcus_nan	collection_season2	spring	-0.794493575222065	0.551536600466665	255	65	0.151124229996801	0.486546301453116
ASV_49_Streptobacillus_nan	collection_season2	autumn	-0.55560864410282	0.389454616927974	255	26	0.155071441292092	0.487367386918003
ASV_40_Porphyromonas_nan	age_days_numeric	age_days_numeric	-0.177614433274863	0.128027425993637	255	34	0.167123481206366	0.513030221377681
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	-0.300557885522312	0.220708732887656	255	200	0.17504923162214	0.513477746091611
ASV_11_Moraxella_lincolnii	income2	low	-1.18026302780252	0.856378437562365	255	34	0.171936152342125	0.513477746091611
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.809981877705235	0.662720680519122	255	207	0.222843145613078	0.577672866458881
ASV_40_Porphyromonas_nan	collection_season2	spring	0.483598990422961	0.397480221856073	255	34	0.225137524752879	0.577672866458881
ASV_58_Porphyromonas_nan	income2	middle	-0.92077482175953	0.743764410093986	255	45	0.219251675177911	0.577672866458881
ASV_24_Streptococcus_nan	income2	low	-0.745049823729686	0.589627556832648	255	59	0.209981417585031	0.577672866458881
