feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.514089548649593	0.138491722672417	255	94	0.000277824083421062	0.0305606491763168
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.612770300672749	0.182422983026158	255	77	0.000963066439289158	0.0353124361072691
ASV_2_Haemophilus_nan	collection_season2	spring	2.80741051671134	0.827542176585121	255	140	0.00081474332205874	0.0353124361072691
ASV_4_Corynebacterium_nan	collection_season2	winter	2.08645321223689	0.658524364734391	255	207	0.00179763225775025	0.0494348870881318
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.37294629691572	0.126889510585403	255	26	0.00373789217704687	0.0822336278950311
ASV_3_Haemophilus_nan	collection_season2	spring	2.268862986002	0.814528161922144	255	123	0.00575590061855694	0.105524844673544
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.245913105157108	0.0965853189289907	255	26	0.0117716291353914	0.184982743556151
ASV_10_Streptococcus_nan	collection_season2	winter	-1.23687416922777	0.515872887816601	255	65	0.0175865392740956	0.193297759838249
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.329439282956115	0.136536916367151	255	39	0.0168786396013415	0.193297759838249
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.399180261765448	0.162238485862997	255	250	0.0148640634853656	0.193297759838249
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.754663806222819	0.32009025854836	255	34	0.0193297759838249	0.193297759838249
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.317828623496158	0.142349705614769	255	54	0.0268440840706648	0.23210264214512
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.700141614614648	0.315319634401904	255	34	0.0274303122535141	0.23210264214512
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.766534306261435	0.350265749351238	255	34	0.0296430811818632	0.232909923571782
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.73058472930341	0.80340678704313	255	140	0.032236311252858	0.236399615854292
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.370187854963525	0.176331686530321	255	47	0.0372300767936525	0.248791800415002
ASV_10_Streptococcus_nan	pets	yes	1.02429921708457	0.491978194894883	255	65	0.0404545531108482	0.248791800415002
ASV_35_ASV_35_nan	collection_season2	winter	-1.0236527449866	0.496194546861907	255	56	0.0407113855224548	0.248791800415002
