feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	2.10680433434657	0.65481179906584	255	207	0.00153124753045154	0.101062337009802
ASV_2_Haemophilus_nan	collection_season2	spring	2.82090082156562	0.829455275364638	255	140	0.000791835574064525	0.101062337009802
ASV_10_Streptococcus_nan	collection_season2	winter	-1.33597811736105	0.520365775652442	255	65	0.0110949103601351	0.292905633507565
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-2.35970290303677	0.895494782232847	255	39	0.00900210597370889	0.292905633507565
ASV_3_Haemophilus_nan	collection_season2	spring	2.22643344486557	0.817273280750913	255	123	0.00690405940030941	0.292905633507565
ASV_13_Neisseria_nan	timepoint_month	M06	5.02746828303631	2.18868621071337	255	39	0.0225521572172049	0.419538089098106
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.73777943962291	0.80458297230864	255	140	0.0317831885680383	0.419538089098106
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.743402595167974	0.322316703913397	255	34	0.022089597261368	0.419538089098106
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.697725039100139	0.317486972604944	255	34	0.029041009347772	0.419538089098106
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.762404330555544	0.351654694695898	255	34	0.031181822763944	0.419538089098106
ASV_35_ASV_35_nan	collection_season2	winter	-1.04237084498047	0.494507702992927	255	56	0.0365875024856217	0.439050029827461
ASV_39_Gemella_nan	collection_season2	winter	-0.904034389472302	0.449775839489321	255	54	0.0459679661399836	0.456834215355026
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.730398844513356	0.367243625806477	255	26	0.0484521137497755	0.456834215355026
ASV_13_Neisseria_nan	timepoint_month	M05	2.37367022366701	1.17127771753383	255	39	0.0439221471092873	0.456834215355026
ASV_20_Neisseria_nan	collection_season2	autumn	-0.831644719442949	0.442995041853166	255	26	0.0617001653794977	0.54296145533958
ASV_22_ASV_22_nan	collection_season2	autumn	-1.13955616527159	0.622410251064618	255	128	0.0683204225300919	0.563643485873258
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.920533442095018	0.511196842520434	255	47	0.0736693125916164	0.572020544829021
ASV_13_Neisseria_nan	collection_season2	autumn	-0.743555867298097	0.434862898465388	255	39	0.0886056409311258	0.649774700161589
ASV_34_Corynebacterium_nan	collection_season2	spring	-0.313889498617364	0.234047606173194	255	31	0.181247414359978	0.767207735988222
ASV_40_Porphyromonas_nan	collection_season2	winter	-0.495959042471178	0.366174548602054	255	34	0.177579768725425	0.767207735988222
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.777152890245792	0.508515350111449	255	45	0.128074211768819	0.767207735988222
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-1.05572533057852	0.767711563211214	255	200	0.170363265911472	0.767207735988222
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-1.61704534216392	1.10363461506675	255	65	0.144252961494634	0.767207735988222
ASV_10_Streptococcus_nan	collection_season2	spring	-0.749350240424825	0.545304300393565	255	65	0.170774054564641	0.767207735988222
