feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.270663976482699	0.0613702415246535	462	64	1.33693768169158e-05	0.000564212867784145
ASV_20_Neisseria_nan	collection_season2	winter	-1.17406676003128	0.270731995642583	462	51	1.78268785640452e-05	0.000564212867784145
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.405647708019584	0.0948152504776987	462	83	2.37563312751219e-05	0.000564212867784145
ASV_11_Moraxella_lincolnii	daycare_prior_sampling	yes	-2.4549406323883	0.571451082584609	462	83	2.30949931128706e-05	0.000564212867784145
ASV_20_Neisseria_nan	collection_season2	autumn	-1.27701642988283	0.306444598705558	462	51	3.70578731737283e-05	0.000704099590300838
ASV_35_ASV_35_nan	collection_season2	winter	-0.913165952388809	0.241419012561948	462	57	0.000175970897128173	0.00238817646102521
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.43440590047133	0.114408527673194	462	177	0.00016982273676029	0.00238817646102521
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.240704874553789	0.0678610346148619	462	61	0.000437022825455269	0.00461301871313895
ASV_39_Gemella_nan	collection_season2	winter	-0.888348058313996	0.249316403756428	462	70	0.000408178972088883	0.00461301871313895
ASV_2_Haemophilus_nan	collection_season2	autumn	-2.20317701313372	0.627119855882805	462	286	0.000489055829576416	0.00464603038097595
ASV_20_Neisseria_nan	collection_season2	spring	-0.907224766112285	0.273305126818072	462	51	0.000974493659402519	0.00841608160393085
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.743967084108133	0.229284261319593	462	63	0.00126358854138941	0.0095901521189015
ASV_7_Streptococcus_nan	collection_season2	winter	-1.48291901010099	0.458604677903785	462	304	0.00131233660574442	0.0095901521189015
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.262139357233669	0.0854950170345248	462	57	0.00231934677703235	0.0157384245584338
ASV_35_ASV_35_nan	collection_season2	spring	-0.720053839929041	0.243739013528758	462	57	0.00329747313779188	0.0208839965393486
ASV_13_Neisseria_nan	collection_season2	winter	-0.727470092037407	0.250040172938775	462	50	0.0037998166491436	0.0225614113542901
ASV_35_ASV_35_nan	collection_season2	autumn	-0.784813778721385	0.273324707539773	462	57	0.00428201883643881	0.0239289287918639
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.44292647551112	0.51327078117313	462	367	0.00516304538352605	0.0271566346975135
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.691953471206562	0.247670012861652	462	52	0.0054313269395027	0.0271566346975135
ASV_4_Corynebacterium_nan	collection_season2	winter	1.21211886217641	0.460786701024057	462	367	0.00882078855961822	0.0418987456581865
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.603468349357812	0.232482620091632	462	63	0.00974286146237408	0.0420714472238881
ASV_13_Neisseria_nan	collection_season2	autumn	-0.741445002276588	0.284648038200424	462	50	0.00949815717539789	0.0420714472238881
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.356758887461401	0.15709281336812	462	367	0.0236893754049975	0.0937704443114485
ASV_3_Haemophilus_nan	collection_season2	spring	1.43362529896884	0.628354893237676	462	247	0.0229905298912518	0.0937704443114485
ASV_1_Moraxella_nan	collection_season2	autumn	0.662903928142667	0.296915698913661	462	457	0.026085006649164	0.099123025266823
ASV_13_Neisseria_nan	collection_season2	spring	-0.547367357091922	0.253112298783891	462	50	0.0310952494613335	0.11361725764718
ASV_174_Helcococcus_nan	collection_season2	spring	0.39118839353373	0.183563650530525	462	64	0.033671328245346	0.118473191974366
ASV_39_Gemella_nan	collection_season2	autumn	-0.602510201956665	0.28902987168206	462	70	0.0376621693150315	0.123376071894069
ASV_22_ASV_22_nan	collection_season2	autumn	-0.787832975685416	0.376870013101329	462	177	0.0371863132128638	0.123376071894069
ASV_4_Corynebacterium_nan	collection_season2	spring	0.936288838758158	0.461682691019261	462	367	0.0431673113807273	0.13669648603897
ASV_39_Gemella_nan	collection_season2	spring	-0.505228238526884	0.2546598835963	462	70	0.0478722622455783	0.146705319784837
ASV_2_Haemophilus_nan	collection_season2	spring	1.10393627195364	0.561861206515451	462	286	0.0500572517944969	0.148607466264913
ASV_174_Helcococcus_nan	collection_season2	winter	0.355010096463821	0.184031984047348	462	64	0.054396128430632	0.156594915179092
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.518551976657123	0.282748223360332	462	52	0.0673167520976728	0.186552892364374
ASV_2_Haemophilus_nan	daycare_prior_sampling	yes	1.62489190128927	0.886767987553715	462	286	0.0687300129763482	0.186552892364374
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.459929970404558	0.261901981959585	462	63	0.0797468128138279	0.204755330197666
ASV_10_Streptococcus_nan	collection_season2	spring	-0.504419411492928	0.285506918667021	462	97	0.0779393646104546	0.204755330197666
