feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.271821852328031	0.0604262785713947	462	64	9.09738925783562e-06	0.000864251979494384
ASV_20_Neisseria_nan	collection_season2	winter	-1.17120001207052	0.271043074573117	462	51	1.90778297224301e-05	0.000906196911815431
ASV_20_Neisseria_nan	collection_season2	autumn	-1.27819172774918	0.30661774089131	462	51	3.68294300973637e-05	0.00116626528641652
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.460313291444668	0.112655585609429	462	177	5.35014774947932e-05	0.00127066009050134
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.245603210027406	0.0669024436538291	462	61	0.000276007211673938	0.00437011418483736
ASV_35_ASV_35_nan	collection_season2	winter	-0.893625897517989	0.241347258848337	462	57	0.000239532313884755	0.00437011418483736
ASV_39_Gemella_nan	collection_season2	winter	-0.902241938892423	0.249676932769401	462	70	0.000338273822609437	0.00459085902112807
ASV_2_Haemophilus_nan	collection_season2	autumn	-2.22399290836385	0.629329895297618	462	286	0.000453239346646462	0.00538221724142674
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.336165555905096	0.0959372004926085	462	83	0.000512676077523572	0.00541158081830437
ASV_20_Neisseria_nan	collection_season2	spring	-0.913040939634677	0.27385312473976	462	51	0.000925970014731071	0.00879671513994517
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.743011450419546	0.229415435425408	462	63	0.00128995095694054	0.0111404855372137
ASV_7_Streptococcus_nan	collection_season2	winter	-1.46663057925202	0.45868850487683	462	304	0.00148406744068978	0.0117488672387941
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.253636081287621	0.0850035834017649	462	57	0.00302876441162627	0.0205523299360354
ASV_13_Neisseria_nan	collection_season2	winter	-0.748058216797316	0.249236710754535	462	50	0.00283684434990639	0.0205523299360354
ASV_35_ASV_35_nan	collection_season2	autumn	-0.78960957943709	0.273335612928394	462	57	0.00405554417871163	0.0240797935611003
ASV_35_ASV_35_nan	collection_season2	spring	-0.70546811518011	0.243988560721138	462	57	0.00401906066666462	0.0240797935611003
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.46011620325681	0.513817539338503	462	367	0.00470344846505103	0.0262839767164617
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.691313671711831	0.247816669153602	462	52	0.00550167034192223	0.0290365934712562
ASV_4_Corynebacterium_nan	collection_season2	winter	1.20026495499515	0.461769426391559	462	367	0.00965309101222228	0.0466451378325538
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.603825443529818	0.232867318503351	462	63	0.00982002901737974	0.0466451378325538
ASV_13_Neisseria_nan	collection_season2	autumn	-0.729882655512854	0.284001185524774	462	50	0.0104905151303247	0.0474570922562307
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.389663292811328	0.155587139026284	462	367	0.0126790728694195	0.0547505419361297
ASV_3_Haemophilus_nan	collection_season2	spring	1.45128890126429	0.628855912781552	462	247	0.021470674698008	0.0886832215787285
ASV_13_Neisseria_nan	collection_season2	spring	-0.575694596107066	0.252742008446059	462	50	0.0232007793713251	0.0918364183448284
ASV_1_Moraxella_nan	collection_season2	autumn	0.660563080427721	0.29686824468878	462	457	0.0265905525256941	0.101044099597637
ASV_174_Helcococcus_nan	collection_season2	spring	0.391596100493733	0.1835130664333	462	64	0.0334391383196463	0.122181466937169
ASV_39_Gemella_nan	collection_season2	autumn	-0.601924672473112	0.289315855575704	462	70	0.0380366729167829	0.133832738040532
ASV_4_Corynebacterium_nan	collection_season2	spring	0.93979074970563	0.462786229994764	462	367	0.0428896563572791	0.140500598411777
ASV_22_ASV_22_nan	collection_season2	autumn	-0.767178240158331	0.376149807890968	462	177	0.0420314485475617	0.140500598411777
ASV_39_Gemella_nan	collection_season2	spring	-0.511342726831146	0.255386667925912	462	70	0.0458607435691708	0.145225687969041
ASV_2_Haemophilus_nan	collection_season2	spring	1.10800292494548	0.564541816881595	462	286	0.050305252226296	0.15416125682252
ASV_174_Helcococcus_nan	collection_season2	winter	0.355543468838191	0.183972198683867	462	64	0.0539579517715548	0.160187669321803
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.51847009697336	0.282768612444738	462	52	0.0673795997809623	0.193971575127013
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.460464363763018	0.261913674704708	462	63	0.0794121150169743	0.219009918555374
ASV_10_Streptococcus_nan	collection_season2	spring	-0.50086233039444	0.286109310611567	462	97	0.0806878647309272	0.219009918555374
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.133035827082761	0.0779871327358733	462	67	0.0888409571878698	0.234441414801323
ASV_13_Neisseria_nan	delivery	vaginal	-0.484850162547213	0.286708955758225	462	50	0.0950646767981961	0.244084980968341
ASV_5_Staphylococcus_nan	collection_season2	spring	-0.479687617202414	0.289151206712223	462	73	0.0978152728937659	0.244538182234415
