feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.271999542774918	0.060423493248839	462	64	8.96994889925432e-06	0.00085214514542916
ASV_20_Neisseria_nan	collection_season2	winter	-1.16553105210325	0.271372056601377	462	51	2.13685571707703e-05	0.00101500646561159
ASV_20_Neisseria_nan	collection_season2	autumn	-1.27994897245239	0.30669899285139	462	51	3.61192373621023e-05	0.00114377584979991
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.460236910171446	0.112655444797775	462	177	5.36502004688951e-05	0.00127419226113626
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.245900851298714	0.0669076064418988	462	61	0.000271705695574186	0.00430200684659128
ASV_35_ASV_35_nan	collection_season2	winter	-0.891452129168807	0.241689554107446	462	57	0.000252909054365014	0.00430200684659128
ASV_39_Gemella_nan	collection_season2	winter	-0.890153302991278	0.249944054948126	462	70	0.000410722514085765	0.00544624515925262
ASV_2_Haemophilus_nan	collection_season2	autumn	-2.20319225477454	0.628785700569786	462	286	0.000505866983008147	0.00544624515925262
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.335967739606945	0.0959290770708606	462	83	0.000515960067718669	0.00544624515925262
ASV_20_Neisseria_nan	collection_season2	spring	-0.906754810233981	0.274012755540023	462	51	0.00101020110060633	0.00959691045576013
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.733722067414125	0.229583920934544	462	63	0.00149252495167053	0.0123586695039199
ASV_7_Streptococcus_nan	collection_season2	winter	-1.46058755038957	0.458943832779444	462	304	0.00156109509523198	0.0123586695039199
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.253408347700912	0.0850061905516683	462	57	0.0030556851304502	0.0223300067225207
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.45559669861624	0.513719355709177	462	367	0.00482420587496764	0.0269587975365839
ASV_35_ASV_35_nan	collection_season2	autumn	-0.781384971784669	0.273443965578229	462	57	0.00446877965033218	0.0269587975365839
ASV_35_ASV_35_nan	collection_season2	spring	-0.705976155342519	0.244171260051915	462	57	0.00402016780258906	0.0269587975365839
ASV_13_Neisseria_nan	collection_season2	winter	-0.711236497034833	0.25010823969722	462	50	0.00466141072744306	0.0269587975365839
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.643386260082683	0.246354719542001	462	52	0.00931551424536058	0.0491652140727364
ASV_4_Corynebacterium_nan	collection_season2	winter	1.17988946885212	0.461852110928776	462	367	0.0109607799789343	0.0495844808570838
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.595089698391119	0.232900833900125	462	63	0.010938741403697	0.0495844808570838
ASV_13_Neisseria_nan	collection_season2	autumn	-0.734278687743915	0.284408134339629	462	50	0.0101447776614895	0.0495844808570838
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.389332952983318	0.155575291327952	462	367	0.012747247636389	0.055044932975316
ASV_3_Haemophilus_nan	collection_season2	spring	1.46803083980618	0.628607946464965	462	247	0.019971262537642	0.0824899974380867
ASV_1_Moraxella_nan	edu	secondary_any tertiary	-0.741998919344529	0.321447371452328	462	457	0.0237444012800278	0.0939882550667769
ASV_33_Alloprevotella_nan	edu	secondary_any tertiary	0.516075363108195	0.230161685241448	462	52	0.0279110669320196	0.106062054341674
ASV_1_Moraxella_nan	collection_season2	autumn	0.642871408018693	0.296096527699873	462	457	0.0304610702874992	0.111300064512016
ASV_39_Gemella_nan	collection_season2	autumn	-0.599837764569417	0.289299297885031	462	70	0.0386947252465079	0.127563871736226
ASV_174_Helcococcus_nan	collection_season2	spring	0.379774645982969	0.183343765821627	462	64	0.0389405503194794	0.127563871736226
ASV_13_Neisseria_nan	collection_season2	spring	-0.531781439614195	0.253321159452632	462	50	0.036345149117282	0.127563871736226
ASV_22_ASV_22_nan	collection_season2	autumn	-0.76702799783739	0.37617147691489	462	177	0.0420833537864163	0.133263953656985
ASV_2_Haemophilus_nan	collection_season2	spring	1.14021217370414	0.563986139331665	462	286	0.0438013394154043	0.134229911111723
ASV_4_Corynebacterium_nan	collection_season2	spring	0.919864037600495	0.46273078159933	462	367	0.0474475700485101	0.140859973581514
ASV_39_Gemella_nan	collection_season2	spring	-0.499157957122275	0.255473920401809	462	70	0.0513387905988074	0.147793488087476
ASV_174_Helcococcus_nan	collection_season2	winter	0.343764937899936	0.183800426476032	462	64	0.0621330809190042	0.173607137861923
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.505828926408718	0.281650459127793	462	52	0.0731700324125213	0.193087585533042
ASV_174_Helcococcus_nan	edu	secondary_any tertiary	-0.61103567070942	0.335113654250331	462	64	0.0722203881618025	0.193087585533042
ASV_10_Streptococcus_nan	collection_season2	spring	-0.509973349669254	0.286264395860712	462	97	0.0755001954978729	0.193851853305349
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.457251120153298	0.261883900084005	462	63	0.0814899385513391	0.203724846378348
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.133478406770411	0.0780010169860086	462	67	0.0878447598257437	0.213980825216555
ASV_6_Dolosigranulum_pigrum	edu	secondary_any tertiary	-0.782209713359442	0.458812952830538	462	396	0.0923528435372509	0.219338003400971
