feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.270733212120063	0.0611521083732552	462	64	1.24650546715678e-05	0.0010523773587277
ASV_20_Neisseria_nan	collection_season2	winter	-1.14260122552565	0.272568747936407	462	51	3.323296922298e-05	0.0010523773587277
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.479057895988594	0.114002374922374	462	177	3.29209344111121e-05	0.0010523773587277
ASV_20_Neisseria_nan	collection_season2	autumn	-1.24640797555536	0.310009522324832	462	51	6.81053827926949e-05	0.0016175028413265
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.243950951941962	0.0676891394851729	462	61	0.00035478426976639	0.00602212035276373
ASV_39_Gemella_nan	collection_season2	winter	-0.878537577979311	0.250707878530212	462	70	0.000507125924443262	0.00602212035276373
ASV_35_ASV_35_nan	collection_season2	winter	-0.858438654994665	0.242275425632646	462	57	0.000436160760143913	0.00602212035276373
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.341987865700815	0.097070067522717	462	83	0.000478003583167534	0.00602212035276373
ASV_2_Haemophilus_nan	collection_season2	autumn	-2.17277544072367	0.637632557041926	462	286	0.000715666703606699	0.00755425964918182
ASV_7_Streptococcus_nan	collection_season2	winter	-1.46232691107915	0.461562367257074	462	304	0.00163803517069619	0.0145433512846829
ASV_20_Neisseria_nan	collection_season2	spring	-0.874568359273448	0.27677247166447	462	51	0.00168396699085802	0.0145433512846829
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.705923183849974	0.230297041185864	462	63	0.00230616817428701	0.0182571647131055
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.727195077396324	0.248616664615742	462	52	0.00361996068216075	0.0264535588311747
ASV_13_Neisseria_nan	collection_season2	winter	-0.713688399469125	0.251603319884356	462	50	0.00476507204008112	0.0323344174148362
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.42685137388027	0.521381427948479	462	367	0.00646402564529434	0.0389927587032252
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.234696559183359	0.0858794661709528	462	57	0.00656720146580635	0.0389927587032252
ASV_35_ASV_35_nan	collection_season2	spring	-0.657063373679757	0.246399744709139	462	57	0.00793418865947721	0.0443381130970785
ASV_35_ASV_35_nan	collection_season2	autumn	-0.713794492433959	0.27619607880008	462	57	0.010069176251152	0.0531428746588577
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.398161667649426	0.15722436719642	462	367	0.0117234673888416	0.0556864700969975
ASV_4_Corynebacterium_nan	collection_season2	winter	1.17684873692109	0.464641474170708	462	367	0.0116585721305205	0.0556864700969975
ASV_13_Neisseria_nan	collection_season2	autumn	-0.720046351796498	0.287519327032298	462	50	0.0126191134556979	0.0570864656329189
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.554425673684333	0.235129616641348	462	63	0.0187971315111773	0.0811694315255382
ASV_3_Haemophilus_nan	collection_season2	spring	1.44312553516468	0.635524871695907	462	247	0.0236448277658577	0.0976634190328904
ASV_22_ASV_22_nan	collection_season2	autumn	-0.845681302221269	0.382347316893322	462	177	0.0275218331946078	0.108940589728656
ASV_174_Helcococcus_nan	collection_season2	spring	0.387891291053887	0.185250559961599	462	64	0.0368815534746766	0.140149903203771
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.573209218277724	0.285121214348105	462	52	0.0449792633088189	0.146568777832358
ASV_10_Streptococcus_nan	collection_season2	spring	-0.586926798421942	0.288504467583584	462	97	0.0424918215162431	0.146568777832358
ASV_39_Gemella_nan	collection_season2	autumn	-0.578335110872459	0.291463516258847	462	70	0.0478277064505591	0.146568777832358
ASV_13_Neisseria_nan	collection_season2	spring	-0.526658653041454	0.256300400127131	462	50	0.0404633520523016	0.146568777832358
ASV_2_Haemophilus_nan	collection_season2	spring	1.1394371476751	0.570505705544844	462	286	0.0464063178301362	0.146568777832358
ASV_1_Moraxella_nan	collection_season2	autumn	0.601072370938334	0.300574338999491	462	457	0.0461474284040993	0.146568777832358
ASV_4_Corynebacterium_nan	collection_season2	spring	0.910836240753543	0.467389059881017	462	367	0.0519663858201138	0.154275207903463
ASV_174_Helcococcus_nan	collection_season2	winter	0.352640642981725	0.185194997127123	462	64	0.0575730383573578	0.165740564968151
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.146811470060855	0.0784169853830625	462	67	0.0619313052177571	0.173043352814321
ASV_39_Gemella_nan	collection_season2	spring	-0.475932488131533	0.258298193056437	462	70	0.06604914303271	0.175785633086136
ASV_5_Staphylococcus_nan	collection_season2	spring	-0.537405536804873	0.292278545255205	462	73	0.0666135030642201	0.175785633086136
ASV_33_Alloprevotella_nan	collection_season2	spring	-0.444057850095761	0.253862250344701	462	52	0.0809278538398839	0.207787732832134
ASV_10_Streptococcus_nan	first_INH_upto_100days_post	yes	-1.00268815055391	0.579045872500723	462	97	0.0841653247287394	0.210413311821848
ASV_35_ASV_35_nan	first_INH_upto_100days_post	yes	0.859872023366028	0.500225457857635	462	57	0.0864030113721057	0.210468873855129
ASV_24_Streptococcus_nan	collection_season2	spring	-0.367410239149468	0.220505220142783	462	67	0.096357069047301	0.22884803898734
