feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_1_Moraxella_nan	first_hosp_upto_100days_post	yes	-3.21237281893888	0.477046579512787	462	457	7.08124371485197e-11	6.72718152910937e-09
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.271859493662462	0.0605095265029144	462	64	9.33214515547979e-06	0.00044327689488529
ASV_20_Neisseria_nan	collection_season2	winter	-1.16475004398211	0.270668562533793	462	51	2.06207999616042e-05	0.000652991998784132
ASV_20_Neisseria_nan	collection_season2	autumn	-1.25562612045818	0.308618080838377	462	51	5.59368938578075e-05	0.00106280098329834
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.461327498965134	0.112775481707738	462	177	5.24974209946209e-05	0.00106280098329834
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.248468977184817	0.0666783181811274	462	61	0.000223720425797475	0.00303620577868001
ASV_35_ASV_35_nan	collection_season2	winter	-0.905198634191523	0.241440761904237	462	57	0.000200311181593485	0.00303620577868001
ASV_39_Gemella_nan	collection_season2	winter	-0.900084703757031	0.249093419838104	462	70	0.00033866165247573	0.00402160712314929
ASV_2_Haemophilus_nan	collection_season2	autumn	-2.23526532961823	0.633730357769049	462	286	0.000464498785121087	0.0049030427318337
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.33137369434997	0.0956131843494071	462	83	0.000588919670332745	0.00559473686816108
ASV_20_Neisseria_nan	collection_season2	spring	-0.90376659191531	0.273468657442697	462	51	0.00102547755597334	0.00885639707431522
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.7431214113396	0.229092901698931	462	63	0.00126799396345254	0.0100382855439993
ASV_7_Streptococcus_nan	collection_season2	winter	-1.47292688127471	0.458630112088158	462	304	0.00141438266905268	0.0103358733507696
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.253717838558219	0.0851388980186379	462	57	0.00306627445245608	0.0187384099477006
ASV_35_ASV_35_nan	collection_season2	spring	-0.719500146636199	0.243988429948311	462	57	0.0033531891485359	0.0187384099477006
ASV_13_Neisseria_nan	collection_season2	winter	-0.738619004790626	0.248784310479729	462	50	0.00314730772762978	0.0187384099477006
ASV_1_Moraxella_nan	collection_season2	autumn	0.853555763931268	0.288788644899166	462	457	0.00328736145808136	0.0187384099477006
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.48854382332237	0.517678478993609	462	367	0.00423722748707556	0.0223631450706766
ASV_13_Neisseria_nan	collection_season2	autumn	-0.813276760879591	0.284750968196984	462	50	0.00448765311073208	0.0224382655536604
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.691863444169689	0.245521359148256	462	52	0.00504815762546916	0.0228968808876076
ASV_35_ASV_35_nan	collection_season2	autumn	-0.775831894446259	0.275405348001857	462	57	0.00506141577515536	0.0228968808876076
ASV_4_Corynebacterium_nan	collection_season2	winter	1.20402883085838	0.461785884926255	462	367	0.00943169985488885	0.0402688809701545
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.60334487547327	0.232455728471381	462	63	0.00974930802435321	0.0402688809701545
ASV_33_Alloprevotella_nan	first_hosp_upto_100days_post	yes	1.11930490381656	0.437813354870536	462	52	0.0111286477560127	0.0440508973675504
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.391096805952161	0.155719011036871	462	367	0.0124318386153861	0.0472409867384672
ASV_3_Haemophilus_nan	collection_season2	spring	1.4140201554729	0.628528214140536	462	247	0.0249563336252466	0.0911866036307088
ASV_13_Neisseria_nan	collection_season2	spring	-0.548470285960643	0.251841462733635	462	50	0.0299299391387607	0.105309045117862
ASV_39_Gemella_nan	collection_season2	autumn	-0.6205867031092	0.290743244663103	462	70	0.0333359107651016	0.10805361820884
ASV_174_Helcococcus_nan	collection_season2	spring	0.390851444543479	0.183874571382047	462	64	0.0341221952238441	0.10805361820884
ASV_13_Neisseria_nan	first_hosp_upto_100days_post	yes	0.969176083324133	0.451487547891277	462	50	0.0326625106622019	0.10805361820884
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.596736813942072	0.282619420810067	462	52	0.0352811695261309	0.108119713063949
ASV_4_Corynebacterium_nan	collection_season2	spring	0.944765013614631	0.462842853580189	462	367	0.0418281703955545	0.120414429926596
ASV_5_Staphylococcus_nan	first_hosp_upto_100days_post	yes	1.01742870007059	0.496287045823765	462	73	0.0414288019805272	0.120414429926596
ASV_39_Gemella_nan	collection_season2	spring	-0.505929884607827	0.254776227276158	462	70	0.0476654179535719	0.12910776580988
ASV_22_ASV_22_nan	collection_season2	autumn	-0.749042069127181	0.379248246488885	462	177	0.0489250480963757	0.12910776580988
ASV_11_Moraxella_lincolnii	first_hosp_upto_100days_post	yes	-1.18465099116136	0.59700514063372	462	83	0.0478189914982487	0.12910776580988
ASV_2_Haemophilus_nan	collection_season2	spring	1.10046234813957	0.56419575603743	462	286	0.0517395110292067	0.132844690480395
ASV_174_Helcococcus_nan	collection_season2	winter	0.355099996762692	0.184213498200726	462	64	0.0545708266734495	0.136427066683624
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.469899976486017	0.26342085113401	462	63	0.0751207312574063	0.18066438350357
ASV_10_Streptococcus_nan	collection_season2	spring	-0.507238437737151	0.285284830575901	462	97	0.0760692141067664	0.18066438350357
ASV_8_Corynebacterium_nan	first_hosp_upto_100days_post	yes	-0.704636960786855	0.413329283173988	462	61	0.0889174846210913	0.202034386800727
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.133039455268903	0.0781059608049388	462	67	0.0893204657434793	0.202034386800727
