feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.272345010884834	0.0604268867695546	462	64	8.75399707023661e-06	0.000997955666006973
ASV_20_Neisseria_nan	collection_season2	winter	-1.16285985787451	0.271309033471091	462	51	2.22138131843119e-05	0.00126618735150578
ASV_20_Neisseria_nan	collection_season2	autumn	-1.28525400701939	0.307151690576979	462	51	3.4477459113645e-05	0.00131014344631851
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.460459276538734	0.112658995198899	462	177	5.32444227677982e-05	0.00151746604888225
ASV_35_ASV_35_nan	collection_season2	winter	-0.915102274670982	0.24165769473168	462	57	0.000173126711824467	0.00394728902959784
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.245018727601503	0.0668970655406286	462	61	0.000284933226702977	0.00495579570702881
ASV_39_Gemella_nan	collection_season2	winter	-0.909803574458909	0.249811164281524	462	70	0.000304303245168435	0.00495579570702881
ASV_2_Haemophilus_nan	collection_season2	autumn	-2.25993548652269	0.629194318248788	462	286	0.000365825698139266	0.00521301619848454
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.335780034119262	0.0959356184895287	462	83	0.000520108074581745	0.00658803561136877
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.750749667150751	0.22907451820502	462	63	0.0011299241067545	0.0117101225609103
ASV_20_Neisseria_nan	collection_season2	spring	-0.899018125288757	0.274040336666149	462	51	0.00111574444925919	0.0117101225609103
ASV_7_Streptococcus_nan	collection_season2	winter	-1.46961297971927	0.458962921903241	462	304	0.00146134502747447	0.0138827777610075
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.253933593265749	0.0850128698739726	462	57	0.00299827666456011	0.0256402976386815
ASV_35_ASV_35_nan	collection_season2	autumn	-0.801616284809438	0.273874799528507	462	57	0.00359863826507811	0.0256402976386815
ASV_35_ASV_35_nan	collection_season2	spring	-0.719129874926119	0.244217353223322	462	57	0.00339948038929898	0.0256402976386815
ASV_13_Neisseria_nan	collection_season2	winter	-0.734984372964709	0.249943183384989	462	50	0.00344460194190455	0.0256402976386815
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.45883095657818	0.514388308890215	462	367	0.00478654918382824	0.0320980357033188
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.695585162396242	0.247967601598033	462	52	0.00524852131009664	0.0332406349639454
ASV_4_Corynebacterium_nan	collection_season2	winter	1.19278143062146	0.46209163365263	462	367	0.0101640646789592	0.0567090358806286
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.598010494625274	0.232564772495705	462	63	0.0104464013464316	0.0567090358806286
ASV_13_Neisseria_nan	collection_season2	autumn	-0.732627881292735	0.284848653213857	462	50	0.010432556572146	0.0567090358806286
