feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.76133453534666	0.247017625393464	210	143	4.56453060573542e-11	1.82581224229417e-09
Moraxella	age_days_numeric	age_days_numeric	1.68557266034829	0.232761863532565	210	180	2.59364117058292e-11	1.82581224229417e-09
ASV_22	age_days_numeric	age_days_numeric	0.985785250687358	0.163126858890898	210	42	1.23887661583235e-08	3.30367097555292e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29117301030744	0.287273772314513	210	144	1.4388552253832e-05	0.000287771045076641
Corynebacterium	age_days_numeric	age_days_numeric	-0.947749454854003	0.236125705092833	210	185	9.64804214224547e-05	0.00154368674275927
Fusobacterium	age_days_numeric	age_days_numeric	0.740474439566644	0.189682956648615	210	54	0.000145148617781896	0.00193531490375862
Staphylococcus	collection_season2	spring	-2.98879500686062	0.778749007056764	210	143	0.000174608430710155	0.00199552492240177
Dolosigranulum	age_days_numeric	age_days_numeric	0.850282670212345	0.244277518333339	210	133	0.000664530778014836	0.00664530778014836
Staphylococcus	collection_season2	winter	-2.64402393752773	0.876573706380699	210	143	0.00299172429807994	0.0265931048718217
ASV_35	age_days_numeric	age_days_numeric	0.442523288249476	0.154170422712135	210	34	0.00471794478907483	0.0377435583125986
Prevotella	age_days_numeric	age_days_numeric	0.376004053100145	0.14859312296214	210	49	0.0124756860385246	0.090732262098361
Veillonella	age_days_numeric	age_days_numeric	-0.370396620559832	0.14887951804949	210	61	0.0139897559715431	0.0932650398102872
Klebsiella	age_days_numeric	age_days_numeric	-0.357802871799879	0.158490840723651	210	29	0.025026904678806	0.143010883878891
Klebsiella	collection_season2	spring	-0.894911180178184	0.393337879608082	210	29	0.0239299256329741	0.143010883878891
Gemella	collection_season2	winter	1.32100394396476	0.598036196493864	210	89	0.0285052243495757	0.152027863197737
ASV_63	collection_season2	autumn	-0.850700898517623	0.391184536721105	210	29	0.030799693970867	0.153998469854335
Gemella	age_days_numeric	age_days_numeric	-0.285983420903513	0.155044490103564	210	89	0.0672419168235706	0.29720138969032
ASV_35	collection_season2	winter	0.952578934599981	0.522980187582898	210	34	0.070585330051451	0.29720138969032
Fusobacterium	collection_season2	autumn	-1.14103240053239	0.614649699430481	210	54	0.064832459396295	0.29720138969032
Campylobacter	collection_season2	autumn	-0.774777210997365	0.46260632638432	210	33	0.0955094203694548	0.363845410931256
Fusobacterium	collection_season2	winter	1.03575548070846	0.614326897291656	210	54	0.0940829622766554	0.363845410931256
Haemophilus	collection_season2	winter	1.77253713383437	1.07769063481145	210	144	0.10190537980527	0.370565017473709
Staphylococcus	collection_season2	autumn	-1.15073965048661	0.835143542492894	210	143	0.169758683369737	0.590464985633868
Corynebacterium	collection_season2	winter	1.10304198356286	0.871181318045371	210	185	0.207271013059729	0.690903376865764
Alloprevotella	collection_season2	autumn	-0.758741076630184	0.657695751328048	210	70	0.250002984916165	0.696459994559005
Prevotella	collection_season2	autumn	-0.570607894672099	0.494063467310989	210	49	0.249469970693367	0.696459994559005
ASV_35	collection_season2	spring	0.545466431452724	0.466677218538548	210	34	0.244177300596344	0.696459994559005
Neisseria	collection_season2	winter	-0.888376612343759	0.773653721650729	210	57	0.252466748027639	0.696459994559005
Klebsiella	collection_season2	winter	-0.532405184585922	0.430641828146566	210	29	0.217759364272386	0.696459994559005
Corynebacterium	collection_season2	spring	0.760522281388776	0.771115999580097	210	185	0.325353622538268	0.739504736389615
Porphyromonas	age_days_numeric	age_days_numeric	0.164160848426031	0.177479252613887	210	73	0.356545553931119	0.739504736389615
Porphyromonas	collection_season2	autumn	-0.441758859303751	0.603157086361868	210	73	0.464769227642936	0.739504736389615
ASV_63	age_days_numeric	age_days_numeric	0.0888283292743565	0.121304686556513	210	29	0.465190214897496	0.739504736389615
ASV_63	collection_season2	spring	-0.316568746783662	0.349134629298235	210	29	0.365973209574808	0.739504736389615
ASV_63	collection_season2	winter	-0.327613606599653	0.389026737354222	210	29	0.401201434656987	0.739504736389615
Alloprevotella	age_days_numeric	age_days_numeric	0.149691202033132	0.196427126740909	210	70	0.447270352229993	0.739504736389615
Campylobacter	collection_season2	spring	0.331193446157442	0.405552928456551	210	33	0.415458232236564	0.739504736389615
Dolosigranulum	collection_season2	spring	0.812950821582813	0.847975003498727	210	133	0.33893580485376	0.739504736389615
Streptococcus	collection_season2	autumn	-0.644942906784047	0.695712573728351	210	182	0.355027262488817	0.739504736389615
Gemella	collection_season2	spring	0.380299256405519	0.527223863724011	210	89	0.471627423715777	0.739504736389615
ASV_35	collection_season2	autumn	-0.399109232181815	0.510714037169026	210	34	0.435428487800681	0.739504736389615
Veillonella	collection_season2	autumn	-0.358410759716812	0.497494364930764	210	61	0.472085059500345	0.739504736389615
Fusobacterium	collection_season2	spring	0.437066715059996	0.550772736176474	210	54	0.428671012392425	0.739504736389615
Streptobacillus	age_days_numeric	age_days_numeric	0.177714359995341	0.166226988170183	210	48	0.286802631358823	0.739504736389615
ASV_22	collection_season2	spring	0.443964868246522	0.506230070288168	210	42	0.3817414158819	0.739504736389615
Klebsiella	collection_season2	autumn	-0.4367460306619	0.467654699679665	210	29	0.351450535736442	0.739504736389615
Haemophilus	collection_season2	spring	0.990842152407325	0.952448142962694	210	144	0.299593119635089	0.739504736389615
Acinetobacter	age_days_numeric	age_days_numeric	-0.143688231437124	0.139593294688457	210	35	0.304535324121554	0.739504736389615
Acinetobacter	collection_season2	spring	0.314509669629283	0.346438508935679	210	35	0.365030342765692	0.739504736389615
Acinetobacter	collection_season2	winter	0.267972443977577	0.379294546909856	210	35	0.480678078653249	0.739504736389615
Acinetobacter	collection_season2	autumn	0.36649344380621	0.411894214244544	210	35	0.374629327507935	0.739504736389615
Moraxella	collection_season2	autumn	0.604606463610049	0.800001894964222	210	180	0.450688581217026	0.739504736389615
Moraxella	collection_season2	spring	-0.502440852277275	0.759629412847816	210	180	0.509199598962787	0.768603168245716
ASV_22	collection_season2	winter	0.353777304643724	0.568856503703851	210	42	0.534936925621839	0.792499149069391
Dolosigranulum	collection_season2	autumn	-0.463349581495682	0.862848657238125	210	133	0.591890309346933	0.816400426685425
Streptococcus	age_days_numeric	age_days_numeric	0.11380133188335	0.203836822493706	210	182	0.577514637952236	0.816400426685425
Neisseria	collection_season2	spring	0.384546731771032	0.683017529795581	210	57	0.57412003844643	0.816400426685425
Neisseria	collection_season2	autumn	-0.381524858470878	0.708999730966102	210	57	0.591106262477522	0.816400426685425
Campylobacter	collection_season2	winter	-0.229402862408542	0.449729901332008	210	33	0.610874463611809	0.828304357439741
Neisseria	age_days_numeric	age_days_numeric	0.0996813106481724	0.203813176467506	210	57	0.625540453016622	0.834053937355496
Prevotella	collection_season2	winter	0.238400072357999	0.508114416631512	210	49	0.639634097101282	0.838864389641026
Alloprevotella	collection_season2	spring	0.22879014245125	0.607234828344521	210	70	0.706821143622841	0.869933715228112
Alloprevotella	collection_season2	winter	0.260893970711105	0.6820722006806	210	70	0.702629546788864	0.869933715228112
Campylobacter	age_days_numeric	age_days_numeric	-0.059564349643949	0.146815640269766	210	33	0.685558310543612	0.869933715228112
Moraxella	collection_season2	winter	0.355405258205937	0.858146323252613	210	180	0.679306769848811	0.869933715228112
Dolosigranulum	collection_season2	winter	0.307089916527378	0.963751169939763	210	133	0.750370369094985	0.909539841327255
Porphyromonas	collection_season2	spring	-0.156755796794152	0.565542832793319	210	73	0.781975639564737	0.933702256196701
ASV_22	collection_season2	autumn	0.142685530109969	0.547245780589318	210	42	0.794561671971494	0.934778437613523
Streptobacillus	collection_season2	spring	0.120643696498066	0.491445958099222	210	48	0.806395774493887	0.934951622601608
Veillonella	collection_season2	spring	0.0901775644928843	0.458414412607029	210	61	0.844289699480604	0.964902513692119
Corynebacterium	collection_season2	autumn	-0.0667727469939738	0.811811673469608	210	185	0.93452936904482	0.966049466530666
Porphyromonas	collection_season2	winter	0.0990809272720658	0.63730729143852	210	73	0.876651395211298	0.966049466530666
