feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.7615387567608	0.247017341130498	210	143	4.54478002991727e-11	2.27239001495863e-09
Moraxella	age_days_numeric	age_days_numeric	1.68559847637848	0.232757477391146	210	180	2.59063139088318e-11	2.27239001495863e-09
ASV_22	age_days_numeric	age_days_numeric	0.986145241433191	0.163085771126579	210	42	1.21529283219663e-08	4.05097610732211e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29119236368267	0.287195504177834	210	144	1.4306290566786e-05	0.000357657264169649
Corynebacterium	age_days_numeric	age_days_numeric	-0.948011016248659	0.236112762360727	210	185	9.59946875825707e-05	0.00191989375165141
Fusobacterium	age_days_numeric	age_days_numeric	0.74042048809975	0.189685931816823	210	54	0.000145331116830391	0.00242218528050652
Staphylococcus	collection_season2	spring	-2.97530517173777	0.781284199470099	210	143	0.000195522837929982	0.00279318339899974
Dolosigranulum	age_days_numeric	age_days_numeric	0.849942279246136	0.244311500472445	210	133	0.000668896761922177	0.00836120952402721
Staphylococcus	collection_season2	winter	-2.67128267313326	0.881181334791939	210	143	0.0028547359453733	0.0317192882819256
ASV_35	age_days_numeric	age_days_numeric	0.44238651636121	0.154212755017004	210	34	0.00474198368083149	0.0474198368083149
Prevotella	age_days_numeric	age_days_numeric	0.375792577873348	0.148636878627792	210	49	0.0125503932401688	0.114094484001534
Veillonella	age_days_numeric	age_days_numeric	-0.370514652255548	0.148908868772612	210	61	0.0139788609407459	0.116490507839549
ASV_63	collection_season2	autumn	-0.873575546708638	0.391283297261235	210	29	0.0266642198799491	0.166651374249682
Gemella	collection_season2	winter	1.35268073967938	0.60036704121044	210	89	0.0255232276271889	0.166651374249682
Klebsiella	age_days_numeric	age_days_numeric	-0.357529213355328	0.15870283084691	210	29	0.0253347855342431	0.166651374249682
Klebsiella	collection_season2	spring	-0.902162631850234	0.394009694910348	210	29	0.0230619877760152	0.166651374249682
Fusobacterium	collection_season2	autumn	-1.17728898615308	0.614735817888537	210	54	0.056877288258575	0.334572283873971
Gemella	age_days_numeric	age_days_numeric	-0.286009461782832	0.154984147061674	210	89	0.0671107518118174	0.372837510065652
ASV_35	collection_season2	winter	0.932388882587963	0.525443453502276	210	34	0.0780768799361136	0.410930947032177
Campylobacter	collection_season2	autumn	-0.798803533879809	0.463012214899649	210	33	0.086014854623799	0.430074273118995
Haemophilus	collection_season2	winter	1.8307950376129	1.08014893518481	210	144	0.0919640573736636	0.437924082731731
Fusobacterium	collection_season2	winter	0.984196118642156	0.614447412284353	210	54	0.111548761989328	0.50703982722422
Acinetobacter	delivery	vaginal	-0.584179757008298	0.375323382996387	210	35	0.121146264782988	0.526722890360819
ASV_22	delivery	vaginal	0.940531532892648	0.62967155943968	210	42	0.139932233990389	0.583050974959954
Staphylococcus	collection_season2	autumn	-1.17029840575207	0.837224593615636	210	143	0.16370275571699	0.654811022867961
Corynebacterium	collection_season2	spring	0.751530972459934	0.774090779205955	210	185	0.332954694981013	0.772687041465427
Corynebacterium	collection_season2	winter	1.12318679359194	0.87620807752236	210	185	0.201713837810425	0.772687041465427
Porphyromonas	age_days_numeric	age_days_numeric	0.164013941394655	0.1775005766813	210	73	0.357032802661797	0.772687041465427
ASV_63	collection_season2	spring	-0.305599333010818	0.348519079723421	210	29	0.38195813426288	0.772687041465427
ASV_63	collection_season2	winter	-0.359167713601471	0.389024362537046	210	29	0.357544630150367	0.772687041465427
ASV_63	delivery	vaginal	0.47959358341817	0.412255099686049	210	29	0.248850445464556	0.772687041465427
Alloprevotella	collection_season2	autumn	-0.772801773017007	0.659607273726386	210	70	0.242731014174856	0.772687041465427
Prevotella	collection_season2	autumn	-0.576950859387758	0.495559771572251	210	49	0.245692102108771	0.772687041465427
Campylobacter	delivery	vaginal	0.494503649843661	0.467370300666086	210	33	0.293888877048781	0.772687041465427
Dolosigranulum	collection_season2	spring	0.807578946658296	0.851024687528091	210	133	0.343864385466948	0.772687041465427
Streptococcus	collection_season2	autumn	-0.657820995196477	0.697419317486407	210	182	0.346707244762621	0.772687041465427
ASV_35	collection_season2	spring	0.552045830506801	0.467906140286037	210	34	0.239803834834025	0.772687041465427
Fusobacterium	delivery	vaginal	0.776882150476739	0.654728096621501	210	54	0.239630954523926	0.772687041465427
Streptobacillus	age_days_numeric	age_days_numeric	0.177591510601277	0.166253068889159	210	48	0.287210467941707	0.772687041465427
Streptobacillus	delivery	vaginal	0.576717999713404	0.593788876120494	210	48	0.334885674449391	0.772687041465427
ASV_22	collection_season2	spring	0.459642642282239	0.503838879610162	210	42	0.362952832244885	0.772687041465427
Neisseria	collection_season2	winter	-0.87614478919035	0.777537102976184	210	57	0.261414105212995	0.772687041465427
Klebsiella	collection_season2	winter	-0.510053302628613	0.432490418310053	210	29	0.239636333597103	0.772687041465427
Klebsiella	collection_season2	autumn	-0.42035347135639	0.468910178564636	210	29	0.371070311096671	0.772687041465427
Haemophilus	collection_season2	spring	0.971227744329906	0.953135993690531	210	144	0.309593380702769	0.772687041465427
Haemophilus	delivery	vaginal	-1.20411492654882	1.27182375663872	210	144	0.347194792290471	0.772687041465427
Acinetobacter	age_days_numeric	age_days_numeric	-0.143134138852486	0.139111901808544	210	35	0.304738627287459	0.772687041465427
Acinetobacter	collection_season2	spring	0.29982722266174	0.345371520454198	210	35	0.386343520732713	0.772687041465427
Acinetobacter	collection_season2	autumn	0.399684436941161	0.411025980881427	210	35	0.331999816458314	0.772687041465427
Moraxella	delivery	vaginal	0.895006184374392	0.998855771887497	210	180	0.373483227026884	0.772687041465427
Campylobacter	collection_season2	spring	0.341220717128589	0.405408846207613	210	33	0.401363930814953	0.77881262243558
ASV_35	collection_season2	autumn	-0.413199836832567	0.511964384124869	210	34	0.420558816115213	0.77881262243558
Fusobacterium	collection_season2	spring	0.44938934174344	0.549892339408244	210	54	0.415069346353625	0.77881262243558
Acinetobacter	collection_season2	winter	0.313229633338417	0.379102025364127	210	35	0.409632683381169	0.77881262243558
Porphyromonas	collection_season2	autumn	-0.425345429751433	0.604651509107746	210	73	0.482588256544692	0.80431376090782
ASV_63	age_days_numeric	age_days_numeric	0.0888491505123912	0.121361899155902	210	29	0.465296905954344	0.80431376090782
Alloprevotella	age_days_numeric	age_days_numeric	0.150070256460572	0.196458203324177	210	70	0.44619541348149	0.80431376090782
Gemella	collection_season2	spring	0.378878542665351	0.5284287751784	210	89	0.474296463916546	0.80431376090782
Veillonella	collection_season2	autumn	-0.356143849290458	0.499093516460263	210	61	0.476306977695028	0.80431376090782
Moraxella	collection_season2	autumn	0.572290669941813	0.801044306373419	210	180	0.47580087485924	0.80431376090782
Gemella	delivery	vaginal	-0.497345726286692	0.725540214417045	210	89	0.495517904514399	0.808363616235007
Klebsiella	delivery	vaginal	-0.288518070938744	0.42817963517272	210	29	0.501185442065704	0.808363616235007
Moraxella	collection_season2	spring	-0.491477269306436	0.760364534486324	210	180	0.518886382663456	0.823629178830883
ASV_35	delivery	vaginal	0.365214492127264	0.576314948078821	210	34	0.528413756359037	0.825646494310995
Porphyromonas	delivery	vaginal	-0.365404325698054	0.730206978219272	210	73	0.618418785021219	0.846967247428546
Campylobacter	collection_season2	winter	-0.263869018042857	0.450519460422153	210	33	0.559127687495366	0.846967247428546
Dolosigranulum	collection_season2	autumn	-0.45883067408144	0.864882151818865	210	133	0.596373807190343	0.846967247428546
Streptococcus	age_days_numeric	age_days_numeric	0.113763105328225	0.203875362896321	210	182	0.577714564775238	0.846967247428546
Streptococcus	delivery	vaginal	0.42148425200021	0.853096866774197	210	182	0.622866936319997	0.846967247428546
Staphylococcus	delivery	vaginal	0.511086215221847	0.996179057728024	210	143	0.609603369657987	0.846967247428546
ASV_22	collection_season2	winter	0.303144779795893	0.566878197246171	210	42	0.593610945780518	0.846967247428546
Neisseria	age_days_numeric	age_days_numeric	0.0993380484728564	0.203828145102391	210	57	0.626755763097124	0.846967247428546
Neisseria	collection_season2	spring	0.372781677398345	0.685265211688888	210	57	0.587114021594228	0.846967247428546
Neisseria	collection_season2	autumn	-0.369746475230392	0.710648342780824	210	57	0.603447915705344	0.846967247428546
Prevotella	collection_season2	winter	0.231888429835286	0.511147020526456	210	49	0.650744698636916	0.867659598182554
Alloprevotella	collection_season2	spring	0.234989946642004	0.609536074075935	210	70	0.70034532973064	0.884737840056634
Alloprevotella	collection_season2	winter	0.248508087788057	0.686106826996518	210	70	0.717712519723432	0.884737840056634
Alloprevotella	delivery	vaginal	0.279340795747982	0.7644725030155	210	70	0.715960697999809	0.884737840056634
Prevotella	delivery	vaginal	0.198838092594531	0.563873190066097	210	49	0.72548502884644	0.884737840056634
Campylobacter	age_days_numeric	age_days_numeric	-0.0597795542879645	0.146828675388008	210	33	0.684510424479876	0.884737840056634
Neisseria	delivery	vaginal	-0.367895317067144	0.926707034645996	210	57	0.692642382476221	0.884737840056634
Moraxella	collection_season2	winter	0.308274668182513	0.860369674765697	210	180	0.72058289476405	0.884737840056634
Dolosigranulum	collection_season2	winter	0.307120909217879	0.968752427867993	210	133	0.751592831047729	0.905533531382806
Corynebacterium	delivery	vaginal	-0.274092952080938	1.02043067440008	210	185	0.789069016454384	0.918009690935851
Porphyromonas	collection_season2	spring	-0.162861259591714	0.567336880530385	210	73	0.774411257320286	0.918009690935851
Streptobacillus	collection_season2	spring	0.131477562844199	0.491632891833784	210	48	0.789488334204832	0.918009690935851
Porphyromonas	collection_season2	winter	0.116808034054963	0.640561297454929	210	73	0.855541222928271	0.961282272953114
Veillonella	collection_season2	spring	0.0885232324432146	0.460402826809919	210	61	0.847763982849058	0.961282272953114
ASV_22	collection_season2	autumn	0.101878658283387	0.546394699927341	210	42	0.852273532499815	0.961282272953114
Corynebacterium	collection_season2	autumn	-0.0526012642055455	0.813931987531846	210	185	0.948536900952302	0.967894796890104
Prevotella	collection_season2	spring	0.0436938948826131	0.454770399323981	210	49	0.923576305874255	0.967894796890104
Streptococcus	collection_season2	spring	-0.057728946132274	0.657439183085143	210	182	0.930130134183426	0.967894796890104
