feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.76162020023386	0.24699873400842	210	143	4.52455367854448e-11	3.16718757498113e-09
Moraxella	age_days_numeric	age_days_numeric	1.68562811773335	0.232881284538078	210	180	2.65559216853513e-11	3.16718757498113e-09
ASV_22	age_days_numeric	age_days_numeric	0.984259586106929	0.163242742432106	210	42	1.32889157391178e-08	6.20149401158833e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29211922408756	0.287314744586129	210	144	1.42392238594789e-05	0.000498372835081762
Corynebacterium	age_days_numeric	age_days_numeric	-0.950521774490028	0.235892721133218	210	185	9.07938301159792e-05	0.00254222724324742
Fusobacterium	age_days_numeric	age_days_numeric	0.742605208157654	0.18964278043133	210	54	0.000138761164117402	0.00323776049607272
Staphylococcus	collection_season2	spring	-2.97551205818277	0.783355232940345	210	143	0.000203639133951911	0.00407278267903822
Dolosigranulum	age_days_numeric	age_days_numeric	0.847298374856197	0.244180351814944	210	133	0.00068958365164184	0.0120677139037322
Staphylococcus	collection_season2	winter	-2.60849979800451	0.873992243890405	210	143	0.00331927915700636	0.05163323133121
ASV_35	age_days_numeric	age_days_numeric	0.444440527139696	0.154319657396153	210	34	0.0045848916644662	0.0641884833025267
Prevotella	age_days_numeric	age_days_numeric	0.375426907614458	0.148708127088706	210	49	0.0126776378402871	0.161351754330927
Veillonella	age_days_numeric	age_days_numeric	-0.366790909277867	0.148988144895392	210	61	0.0150027172557735	0.175031701317358
ASV_63	collection_season2	autumn	-0.893682851333944	0.390525566798977	210	29	0.0231517547185103	0.249326589276265
Klebsiella	age_days_numeric	age_days_numeric	-0.353994171612629	0.158454986434591	210	29	0.0265768135229107	0.265768135229107
Gemella	collection_season2	winter	1.29722787775152	0.600938818513217	210	89	0.0323008542819784	0.301474639965131
Streptococcus	excl_bf_maxtimepoint	T03	1.60761879067329	0.809128724072467	210	182	0.0510435425968393	0.420358586091617
Klebsiella	collection_season2	spring	-0.783993021201393	0.398944100923093	210	29	0.0507653296839965	0.420358586091617
Fusobacterium	collection_season2	autumn	-1.18973142094181	0.616666881046489	210	54	0.0550964815576232	0.428528189892625
Staphylococcus	excl_bf_maxtimepoint	T02	2.19683551960476	1.15569970688265	210	143	0.0617844647472902	0.455253950769506
Gemella	age_days_numeric	age_days_numeric	-0.284794535368174	0.155126181451144	210	89	0.0685217263668648	0.479652084568054
ASV_63	excl_bf_maxtimepoint	T02	0.859968053620047	0.480316546085731	210	29	0.0781240122519678	0.520826748346452
ASV_35	collection_season2	winter	0.920717924113522	0.527676532415531	210	34	0.0831643443538283	0.529227645887998
Campylobacter	collection_season2	autumn	-0.796441458649282	0.466003756698507	210	33	0.0889847762829791	0.541646464331177
Fusobacterium	collection_season2	winter	1.03639488955121	0.617640426521769	210	54	0.0957029460514494	0.558267185300122
Haemophilus	collection_season2	winter	1.78966563486813	1.08950201794145	210	144	0.102371793579162	0.573282044043307
Klebsiella	excl_bf_maxtimepoint	T03	-0.661144215415523	0.417876094643722	210	29	0.115178927802958	0.620194226631314
ASV_63	excl_bf_maxtimepoint	T01	0.602637511984527	0.3922332359666	210	29	0.1293679829538	0.670796948649335
Corynebacterium	collection_season2	winter	1.14692825292712	0.876961087651036	210	185	0.192806912478836	0.771227649915344
Porphyromonas	excl_bf_maxtimepoint	T03	-0.984288041795405	0.702223891273213	210	73	0.165650391858207	0.771227649915344
Alloprevotella	excl_bf_maxtimepoint	T02	1.18385862160976	0.895136999174867	210	70	0.190648868975104	0.771227649915344
Gemella	excl_bf_maxtimepoint	T03	-0.963710710074016	0.705685995870213	210	89	0.176909258941657	0.771227649915344
Staphylococcus	collection_season2	autumn	-1.17498067767812	0.834766224824303	210	143	0.160812874353774	0.771227649915344
ASV_35	collection_season2	spring	0.62174714685228	0.474766648364466	210	34	0.192196256087337	0.771227649915344
Veillonella	excl_bf_maxtimepoint	T03	-0.754023462566935	0.546046684872133	210	61	0.171903936015967	0.771227649915344
Klebsiella	collection_season2	winter	-0.592838183762225	0.431885999142188	210	29	0.171376144755709	0.771227649915344
Corynebacterium	collection_season2	spring	0.630316903093794	0.781801696427734	210	185	0.421199331784366	0.799930445586985
Corynebacterium	excl_bf_maxtimepoint	T03	0.925625385820824	0.99456988561149	210	185	0.35540823232163	0.799930445586985
Porphyromonas	age_days_numeric	age_days_numeric	0.168010132155364	0.177581336787814	210	73	0.345692982176428	0.799930445586985
Porphyromonas	collection_season2	autumn	-0.49852897303239	0.603493627801523	210	73	0.409750202001963	0.799930445586985
ASV_63	collection_season2	spring	-0.276382592251418	0.350880761259165	210	29	0.432128555317529	0.799930445586985
ASV_63	collection_season2	winter	-0.323645354547549	0.386852098103057	210	29	0.404357656412134	0.799930445586985
Alloprevotella	age_days_numeric	age_days_numeric	0.15213452086924	0.196410793220208	210	70	0.439867861099042	0.799930445586985
Alloprevotella	collection_season2	autumn	-0.80768424245756	0.659169635608876	210	70	0.221894132565039	0.799930445586985
Prevotella	collection_season2	autumn	-0.556713929982941	0.497015466055333	210	49	0.263999844393636	0.799930445586985
Prevotella	excl_bf_maxtimepoint	T01	-0.51688692781355	0.545127641755034	210	49	0.346607475685991	0.799930445586985
Prevotella	excl_bf_maxtimepoint	T03	-0.452042462885369	0.552713881170511	210	49	0.416386826979011	0.799930445586985
Campylobacter	collection_season2	spring	0.343163241751631	0.414462868853969	210	33	0.409043866799349	0.799930445586985
Campylobacter	excl_bf_maxtimepoint	T01	0.353403965693853	0.455709570390624	210	33	0.440914837591004	0.799930445586985
Campylobacter	excl_bf_maxtimepoint	T02	0.523638336916589	0.558039802176207	210	33	0.35161301720363	0.799930445586985
Dolosigranulum	collection_season2	spring	0.677866578836582	0.854882931890212	210	133	0.428824230917442	0.799930445586985
Dolosigranulum	excl_bf_maxtimepoint	T02	-1.61012767943126	1.40010128474756	210	133	0.254336763657446	0.799930445586985
Streptococcus	collection_season2	autumn	-0.602728958108581	0.693621417586038	210	182	0.385914014268164	0.799930445586985
Streptococcus	excl_bf_maxtimepoint	T01	0.648978706909224	0.798855104998507	210	182	0.419545595762536	0.799930445586985
Gemella	collection_season2	spring	0.462096186835816	0.533417973513501	210	89	0.38747483165338	0.799930445586985
Gemella	excl_bf_maxtimepoint	T01	-0.585730028831694	0.69817277630319	210	89	0.404764323930184	0.799930445586985
ASV_35	collection_season2	autumn	-0.42033399213303	0.513532380050131	210	34	0.414029593494901	0.799930445586985
