feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.76202182832714	0.247244987094466	210	143	4.69612501524599e-11	2.8176750091476e-09
Moraxella	age_days_numeric	age_days_numeric	1.68446532237689	0.232880298514093	210	180	2.73362469237489e-11	2.8176750091476e-09
ASV_22	age_days_numeric	age_days_numeric	0.984345461060901	0.163087001223941	210	42	1.28452170786094e-08	5.13808683144375e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29738237474026	0.286548472475466	210	144	1.25220002793708e-05	0.000375660008381125
Corynebacterium	age_days_numeric	age_days_numeric	-0.94953440850368	0.236066189358919	210	185	9.33855377049815e-05	0.00224125290491956
Fusobacterium	age_days_numeric	age_days_numeric	0.738919305167463	0.189762985819397	210	54	0.000150708888631044	0.00301417777262089
Staphylococcus	collection_season2	spring	-3.08450762367311	0.807625774557341	210	143	0.000185777005790337	0.0031847486706915
Dolosigranulum	age_days_numeric	age_days_numeric	0.849319104762616	0.244565251203421	210	133	0.000683623913801341	0.0102543587070201
Staphylococcus	collection_season2	winter	-2.66769344893294	0.882565155448148	210	143	0.00294485400372667	0.039264720049689
ASV_35	age_days_numeric	age_days_numeric	0.442436735547654	0.15424507920104	210	34	0.00474646869069087	0.0569576242882904
Klebsiella	collection_season2	spring	-1.15285062223748	0.409130231729198	210	29	0.00531328776701152	0.0579631392764893
Prevotella	age_days_numeric	age_days_numeric	0.380612585887283	0.148648675602949	210	49	0.0114895333771032	0.114895333771032
Veillonella	age_days_numeric	age_days_numeric	-0.365621285322378	0.148608134848039	210	61	0.0150609987306572	0.139024603667605
Haemophilus	income2	low	-3.45628282900567	1.49005303239204	210	144	0.0234519115589753	0.201016384791216
Klebsiella	age_days_numeric	age_days_numeric	-0.350706574650845	0.15751667438201	210	29	0.0270816493652298	0.216653194921839
Veillonella	income2	middle	1.44957733477489	0.652147720776332	210	61	0.0296475456978237	0.222356592733677
ASV_63	collection_season2	autumn	-0.837208382666591	0.39079404429615	210	29	0.0333601159418801	0.235483171354448
