feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.75489611890552	0.247150398227095	210	143	5.37778057820609e-11	2.68889028910305e-09
Moraxella	age_days_numeric	age_days_numeric	1.68166711356443	0.232813650495948	210	180	2.8720965363201e-11	2.68889028910305e-09
ASV_22	age_days_numeric	age_days_numeric	0.978240446908747	0.162928333011215	210	42	1.49399014639968e-08	4.97996715466561e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29696659061941	0.287362738892431	210	144	1.33195049102543e-05	0.000332987622756358
Corynebacterium	age_days_numeric	age_days_numeric	-0.952089975769539	0.236308086878655	210	185	9.10991564279697e-05	0.00182198312855939
Fusobacterium	age_days_numeric	age_days_numeric	0.742593162196374	0.189758745232921	210	54	0.000140080404204393	0.00233467340340655
Staphylococcus	collection_season2	spring	-2.98788996817413	0.778393304892414	210	143	0.000174930050860318	0.00249900072657597
Dolosigranulum	age_days_numeric	age_days_numeric	0.843201261467772	0.244290290830068	210	133	0.000734429445524977	0.00918036806906221
Staphylococcus	collection_season2	winter	-2.52925531860863	0.883085899528388	210	143	0.00476359218697467	0.0476359218697467
ASV_35	age_days_numeric	age_days_numeric	0.446074064703037	0.154214862801615	210	34	0.00441450312821294	0.0476359218697467
Prevotella	age_days_numeric	age_days_numeric	0.377172016190003	0.148624146453775	210	49	0.0122292268082456	0.105909298835226
Veillonella	age_days_numeric	age_days_numeric	-0.375822117411414	0.148935980164266	210	61	0.0127091158602272	0.105909298835226
Klebsiella	age_days_numeric	age_days_numeric	-0.366595753632776	0.157218667078837	210	29	0.0206891252915066	0.159147117626974
ASV_63	collection_season2	autumn	-0.879225678001733	0.392123156276651	210	29	0.0260240121930678	0.175639060774429
Klebsiella	collection_season2	spring	-0.872969589301845	0.390182135920576	210	29	0.0263458591161643	0.175639060774429
Gemella	collection_season2	winter	1.30241522814349	0.604075808666871	210	89	0.0324674233146605	0.202921395716628
Klebsiella	mom_smoke	yes	0.911000460994635	0.430565712976465	210	29	0.0355727477765672	0.209251457509219
ASV_22	mom_smoke	yes	1.3198311229133	0.627835483783952	210	42	0.0391766182957561	0.217647879420867
