feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.75932349588274	0.24713140887759	210	143	4.87077694227378e-11	2.43538847113689e-09
Moraxella	age_days_numeric	age_days_numeric	1.68208465369602	0.232793406114265	210	180	2.83305426035222e-11	2.43538847113689e-09
ASV_22	age_days_numeric	age_days_numeric	0.987150294945719	0.163205885768648	210	42	1.20857105020116e-08	4.02857016733718e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29173963697905	0.287321930025217	210	144	1.43218969798942e-05	0.000358047424497356
Corynebacterium	age_days_numeric	age_days_numeric	-0.947702958988415	0.236162584333326	210	185	9.68091636076194e-05	0.00193618327215239
Fusobacterium	age_days_numeric	age_days_numeric	0.741390579525116	0.189741289716108	210	54	0.000143247205045417	0.00238745341742362
Staphylococcus	collection_season2	spring	-3.00244717021168	0.781329310380595	210	143	0.000171797645887945	0.0024542520841135
Dolosigranulum	age_days_numeric	age_days_numeric	0.854319020730246	0.244285030046926	210	133	0.000628019866327186	0.00785024832908982
Staphylococcus	collection_season2	winter	-2.59530454792531	0.883088707816778	210	143	0.00379807190534944	0.0422007989483271
ASV_35	age_days_numeric	age_days_numeric	0.441762249740674	0.154232997510208	210	34	0.00480525753189715	0.0480525753189715
Prevotella	age_days_numeric	age_days_numeric	0.381559037562827	0.148357506766163	210	49	0.0111321900865105	0.101201728059186
Veillonella	age_days_numeric	age_days_numeric	-0.36707606103305	0.148854058911333	210	61	0.0148358790278768	0.123632325232307
Gemella	collection_season2	winter	1.39264326628384	0.595648770188268	210	89	0.0205525263615439	0.158096356627261
Klebsiella	age_days_numeric	age_days_numeric	-0.358035396364688	0.158905988420324	210	29	0.0253151974641633	0.168767983094422
Klebsiella	collection_season2	spring	-0.893013396680825	0.395084028167719	210	29	0.0248578944789695	0.168767983094422
ASV_63	collection_season2	autumn	-0.848407029827369	0.391919010138665	210	29	0.031568805938212	0.197305037113825
Prevotella	pets	yes	-0.951621195106942	0.459352524043655	210	49	0.0421206309454174	0.247768417325984
Fusobacterium	collection_season2	autumn	-1.14012760863079	0.61596732088706	210	54	0.0656219657432758	0.364566476351532
Gemella	age_days_numeric	age_days_numeric	-0.282150577075665	0.154898921952983	210	89	0.070681009818242	0.372005314832853
Gemella	pets	yes	-1.05985134124306	0.595238197756319	210	89	0.0796778892961418	0.379418520457818
ASV_35	collection_season2	winter	0.94125190597769	0.527855582062695	210	34	0.0766305242960616	0.379418520457818
Fusobacterium	collection_season2	winter	1.0649112423864	0.62025166426624	210	54	0.0882618163966755	0.401190074530343
Campylobacter	collection_season2	autumn	-0.778908436440254	0.462832073801123	210	33	0.0939350462167638	0.408413244420712
Haemophilus	collection_season2	winter	1.78185792793345	1.08656211619146	210	144	0.102905928123587	0.428774700514945
Staphylococcus	collection_season2	autumn	-1.15207827460975	0.836328270609376	210	143	0.169873451650161	0.66343106381132
Veillonella	pets	yes	-0.655494781258042	0.475475567450575	210	61	0.172492076590943	0.66343106381132
Corynebacterium	collection_season2	winter	1.11711338986191	0.87861213665901	210	185	0.20537646213965	0.709504723038199
Porphyromonas	pets	yes	-0.710643991594778	0.60547751261356	210	73	0.244618318459161	0.709504723038199
Alloprevotella	collection_season2	autumn	-0.762633980387512	0.658716791175211	210	70	0.24832665306337	0.709504723038199
Prevotella	collection_season2	autumn	-0.580993722561484	0.490452708459601	210	49	0.237553492662719	0.709504723038199
Dolosigranulum	pets	yes	-1.18872041362641	0.990467783655219	210	133	0.23422485584394	0.709504723038199
Streptococcus	pets	yes	-0.876149344919609	0.707133014520974	210	182	0.219585615727922	0.709504723038199
ASV_35	collection_season2	spring	0.550788673563148	0.468921432768442	210	34	0.241877813465109	0.709504723038199
Neisseria	collection_season2	winter	-0.959987304543391	0.776489732472102	210	57	0.218056348311181	0.709504723038199
Klebsiella	collection_season2	winter	-0.536249390449517	0.434639212388429	210	29	0.218704260246501	0.709504723038199
Corynebacterium	collection_season2	spring	0.752859817810491	0.774574597519801	210	185	0.332401192216636	0.753442629136055
Porphyromonas	age_days_numeric	age_days_numeric	0.167404667612771	0.177555640627651	210	73	0.347359586833825	0.753442629136055
ASV_63	collection_season2	spring	-0.309274528480757	0.350603578615927	210	29	0.379096614688645	0.753442629136055
ASV_63	collection_season2	winter	-0.348006315093819	0.392477363663572	210	29	0.376821344690576	0.753442629136055
Campylobacter	pets	yes	-0.362490974456897	0.39281697929325	210	33	0.359426062577132	0.753442629136055
Dolosigranulum	collection_season2	spring	0.785062757949362	0.847060514344323	210	133	0.355217969157495	0.753442629136055
Streptococcus	collection_season2	autumn	-0.648129978220376	0.694997060182349	210	182	0.35216784421873	0.753442629136055
Streptobacillus	age_days_numeric	age_days_numeric	0.17533696566956	0.1663034687084	210	48	0.293496489797714	0.753442629136055
Streptobacillus	pets	yes	0.435908216307163	0.497782261804435	210	48	0.384255740859388	0.753442629136055
Neisseria	pets	yes	0.799465228950482	0.769513588764018	210	57	0.302558717053127	0.753442629136055
Klebsiella	collection_season2	autumn	-0.436212228139004	0.468845408362265	210	29	0.3532654036192	0.753442629136055
Haemophilus	collection_season2	spring	0.974820373057671	0.956554646202354	210	144	0.309532606287973	0.753442629136055
Acinetobacter	age_days_numeric	age_days_numeric	-0.144466747666464	0.139932253961428	210	35	0.303104853615485	0.753442629136055
Acinetobacter	collection_season2	spring	0.320863644546646	0.34791010153396	210	35	0.357482311132913	0.753442629136055
Acinetobacter	collection_season2	autumn	0.368280669717925	0.412864206086816	210	35	0.373436353139409	0.753442629136055
Moraxella	pets	yes	0.858395199081787	0.833829583725756	210	180	0.306970102828561	0.753442629136055
ASV_22	collection_season2	spring	0.431256199935641	0.507836942675162	210	42	0.396987493196123	0.763437486915621
Porphyromonas	collection_season2	autumn	-0.445386314186696	0.602755076941657	210	73	0.460819441795818	0.785940018160192
ASV_63	age_days_numeric	age_days_numeric	0.0876126831746139	0.121374140925339	210	29	0.471564010896115	0.785940018160192
Alloprevotella	age_days_numeric	age_days_numeric	0.151644548098995	0.196450705814597	210	70	0.441432059202568	0.785940018160192
Campylobacter	collection_season2	spring	0.312286395559932	0.406505106650506	210	33	0.443599434576901	0.785940018160192
ASV_35	collection_season2	autumn	-0.396891627910197	0.511803621116944	210	34	0.438958691810857	0.785940018160192
Veillonella	collection_season2	autumn	-0.361607767306019	0.496524241477632	210	61	0.467282332869677	0.785940018160192
