feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.76152246573883	0.247077502698203	210	143	4.59439223747944e-11	2.29719611873972e-09
Moraxella	age_days_numeric	age_days_numeric	1.68768787602539	0.233066651789593	210	180	2.61825715958371e-11	2.29719611873972e-09
ASV_22	age_days_numeric	age_days_numeric	0.984902549309321	0.163152290386274	210	42	1.27905369672985e-08	4.26351232243283e-07
Haemophilus	age_days_numeric	age_days_numeric	1.29692690866041	0.287769282690097	210	144	1.36984529601756e-05	0.00034246132400439
Corynebacterium	age_days_numeric	age_days_numeric	-0.950479408178717	0.236166757451037	210	185	9.25796261272919e-05	0.00185159252254584
Fusobacterium	age_days_numeric	age_days_numeric	0.741132005239128	0.189600777491801	210	54	0.000142379826989392	0.00237299711648987
Staphylococcus	collection_season2	spring	-2.98084179344534	0.7928793778158	210	143	0.000233342424940449	0.00333346321343499
Dolosigranulum	age_days_numeric	age_days_numeric	0.849110765047236	0.244298677589764	210	133	0.000676309274828677	0.00845386593535846
Staphylococcus	collection_season2	winter	-2.64193945311071	0.89402056490669	210	143	0.00360927640525447	0.0401030711694941
ASV_35	age_days_numeric	age_days_numeric	0.443181705077071	0.154188425375158	210	34	0.00466284376907906	0.0466284376907906
Prevotella	age_days_numeric	age_days_numeric	0.37701666089762	0.148525129359511	210	49	0.0122067159493894	0.110970144994449
Veillonella	age_days_numeric	age_days_numeric	-0.371273435566161	0.148910282808716	210	61	0.0137888994162142	0.114907495135118
Gemella	collection_season2	winter	1.41790977130736	0.607641370708135	210	89	0.0207694051271625	0.148352893765446
Klebsiella	collection_season2	spring	-0.938239932469006	0.400440616961435	210	29	0.020091356258186	0.148352893765446
ASV_63	collection_season2	autumn	-0.886341566987052	0.390152349529196	210	29	0.0241444886860647	0.155724134684327
Klebsiella	age_days_numeric	age_days_numeric	-0.358664708164515	0.158743665052604	210	29	0.0249158615494923	0.155724134684327
Haemophilus	siblings2	yes	2.00391811250877	0.952190432479168	210	144	0.0390800031621252	0.229882371541913
Haemophilus	collection_season2	winter	2.16640318668508	1.07710472332312	210	144	0.045938441455547	0.255213563641928
ASV_35	collection_season2	winter	1.00302850283808	0.533257049965704	210	34	0.0619535510952309	0.326071321553847
Gemella	age_days_numeric	age_days_numeric	-0.284607350984971	0.154821325853724	210	89	0.0681567111846002	0.336035201537082
Fusobacterium	collection_season2	autumn	-1.12076654406422	0.616563486508517	210	54	0.0705673923227872	0.336035201537082
Fusobacterium	collection_season2	winter	1.10275407014581	0.627142735812765	210	54	0.0809081862107628	0.367764482776195
Campylobacter	collection_season2	autumn	-0.771543198078737	0.464548952017238	210	33	0.0982930059065356	0.427360895245807
ASV_63	siblings2	yes	-0.511268451303737	0.316481146758617	210	29	0.110856813047027	0.456784442926348
Acinetobacter	siblings2	yes	-0.461150588034164	0.290688931720148	210	35	0.114196110731587	0.456784442926348
Haemophilus	collection_season2	spring	1.36916525142761	0.952238752524597	210	144	0.152249385920118	0.585574561231225
Staphylococcus	collection_season2	autumn	-1.1506744237135	0.837812742354273	210	143	0.171148674656295	0.6338839802085
Klebsiella	collection_season2	winter	-0.582542703005594	0.439242522307594	210	29	0.18624184646725	0.665149451668751
Corynebacterium	siblings2	yes	-0.914133341945509	0.779355273101942	210	185	0.244946392993453	0.741094137467902
ASV_63	collection_season2	spring	-0.411441946937898	0.352047019608813	210	29	0.244345224197386	0.741094137467902
ASV_63	collection_season2	winter	-0.44468382742709	0.392603439341146	210	29	0.259382948113766	0.741094137467902
Alloprevotella	collection_season2	autumn	-0.761574025793495	0.659898295703473	210	70	0.249829135782568	0.741094137467902
ASV_35	collection_season2	spring	0.586994860180034	0.475004323351392	210	34	0.218315169896799	0.741094137467902
Streptobacillus	siblings2	yes	0.562911259591116	0.457389099263204	210	48	0.222622838487968	0.741094137467902
Neisseria	collection_season2	winter	-0.896901308451196	0.787855905143194	210	57	0.256539440069872	0.741094137467902
Prevotella	collection_season2	autumn	-0.549845026568603	0.495058377295941	210	49	0.268024676249221	0.74451298958117
