feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.688954299705161	0.197826979519653	255	79	0.000629034775224286	0.0597583036463071
Staphylococcus	age_days_numeric	age_days_numeric	-0.539056088335552	0.176916007614594	255	82	0.00267638313346096	0.068004284432972
Streptobacillus	age_days_numeric	age_days_numeric	-0.563138974842816	0.174490835380541	255	54	0.00149674965839657	0.068004284432972
Moraxella	age_days_numeric	age_days_numeric	0.455755857664753	0.150651846426085	255	251	0.00286333829191461	0.068004284432972
ASV_35	HIV	_unexposed	1.31290376384062	0.45437770362396	255	56	0.00491907831474324	0.0934624879801216
Haemophilus	collection_season2	spring	2.25520413497378	0.812754813060909	255	205	0.00596238173506708	0.0944043774718955
Streptobacillus	collection_season2	winter	-1.40821388066455	0.541538201429093	255	54	0.0101356409416105	0.137555127064714
Campylobacter	collection_season2	winter	-1.02107806008126	0.401455711193161	255	36	0.0119120759939516	0.141455902428176
ASV_63	age_days_numeric	age_days_numeric	-0.217107876948945	0.0892143896990946	255	26	0.0159749172591924	0.168624126624809
Gemella	age_days_numeric	age_days_numeric	-0.302344749113978	0.130379302034936	255	54	0.02155941937576	0.170678736724766
ASV_35	collection_season2	winter	-1.07411241901577	0.45567449153393	255	56	0.0196601074797383	0.170678736724766
Neisseria	collection_season2	autumn	-1.51590885420542	0.649020798227102	255	79	0.0203336429910619	0.170678736724766
Corynebacterium	collection_season2	winter	1.3566099037815	0.619693253270777	255	230	0.029830502603022	0.202421267663363
Gemella	collection_season2	winter	-0.884400162186314	0.400322396551	255	54	0.0285039584046156	0.202421267663363
Neisseria	HIV	_unexposed	1.49745852904802	0.691222043350057	255	79	0.0331530358075404	0.209969226781089
Prevotella	HIV	_unexposed	1.00709721650213	0.475098110686371	255	51	0.0369959501108688	0.219663453783284
Alloprevotella	age_days_numeric	age_days_numeric	-0.378766488090296	0.184876157995235	255	60	0.0419932253284725	0.221630911455827
ASV_22	age_days_numeric	age_days_numeric	-0.352333509369595	0.171203059769173	255	128	0.0411067878678267	0.221630911455827
Fusobacterium	HIV	_unexposed	1.292567701192	0.634747653943134	255	55	0.0449498684302106	0.224749342151053
Porphyromonas	collection_season2	winter	-1.10803570949641	0.570481390719374	255	76	0.0536976327692842	0.2550637556541
Porphyromonas	HIV	_unexposed	1.145536632717	0.597239096585711	255	76	0.0585196190691341	0.258079333187613
Streptococcus	age_days_numeric	age_days_numeric	-0.357815300322742	0.188811256748684	255	224	0.0597657403171313	0.258079333187613
Gemella	HIV	_unexposed	0.769355159906095	0.411890646764422	255	54	0.0652846025021489	0.265529215483689
Veillonella	collection_season2	winter	-0.577483067207275	0.313162254447066	255	35	0.0670810649643003	0.265529215483689
ASV_35	age_days_numeric	age_days_numeric	-0.281951337117774	0.158268258523572	255	56	0.0765769734353289	0.29099249905425
Veillonella	age_days_numeric	age_days_numeric	-0.18619677005204	0.108281078348142	255	35	0.0872946050154791	0.299296308546238
ASV_22	collection_season2	autumn	-1.051374464466	0.614256574879032	255	128	0.0882136488346807	0.299296308546238
Acinetobacter	age_days_numeric	age_days_numeric	0.122597416708307	0.0701747595940427	255	27	0.0824023940382525	0.299296308546238
Campylobacter	collection_season2	autumn	-0.674973290219407	0.41471565469171	255	36	0.104994918904341	0.343948872272843
Corynebacterium	collection_season2	spring	-1.00768925605131	0.639443624512521	255	230	0.116407747213519	0.36862453284281
Corynebacterium	age_days_numeric	age_days_numeric	-0.280737102018654	0.187548749055099	255	230	0.136256481678716	0.406191508580224
Dolosigranulum	HIV	_unexposed	-1.23072734504741	0.823667917242148	255	200	0.138936230931907	0.406191508580224
Streptobacillus	HIV	_unexposed	0.832918317730012	0.560439650908663	255	54	0.141098102980499	0.406191508580224
Dolosigranulum	collection_season2	spring	-1.08500082592794	0.76060139646365	255	200	0.155020677537811	0.422990547914448
