feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.694292028560628	0.198035292625942	255	79	0.000580046850634898	0.0551044508103153
Staphylococcus	age_days_numeric	age_days_numeric	-0.53775217222876	0.176890550620463	255	82	0.00273544087332212	0.0649667207414004
Streptobacillus	age_days_numeric	age_days_numeric	-0.565476824711669	0.174670153469026	255	54	0.0014484060109429	0.0649667207414004
Moraxella	age_days_numeric	age_days_numeric	0.460617704231375	0.150749348743911	255	251	0.0026029773519637	0.0649667207414004
Haemophilus	collection_season2	spring	2.28707248007869	0.813777820886066	255	205	0.00535843537567521	0.101810272137829
ASV_63	age_days_numeric	age_days_numeric	-0.215917956927315	0.0891830420881173	255	26	0.0165141542796374	0.174316072951728
Campylobacter	collection_season2	winter	-1.01892664529641	0.405313412037354	255	36	0.0129035355246511	0.174316072951728
Streptobacillus	collection_season2	winter	-1.36853730401111	0.548094860585973	255	54	0.0134714166441693	0.174316072951728
Neisseria	collection_season2	autumn	-1.5877843344341	0.655744093778803	255	79	0.0162039531587682	0.174316072951728
Gemella	age_days_numeric	age_days_numeric	-0.305190800632311	0.130498447226716	255	54	0.020491223886537	0.194666626922102
Corynebacterium	collection_season2	winter	1.38771256874724	0.621418480114014	255	230	0.0267270272271414	0.230824326052585
