feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.692423187296672	0.198054284612701	255	79	0.000600291999011918	0.0570277399061322
Staphylococcus	age_days_numeric	age_days_numeric	-0.541560614538682	0.176989291313146	255	82	0.00256997866178978	0.0661313954139626
Streptobacillus	age_days_numeric	age_days_numeric	-0.566180452726942	0.174612889917451	255	54	0.0014240669427672	0.0661313954139626
Moraxella	age_days_numeric	age_days_numeric	0.457261247078561	0.150705543760802	255	251	0.00278447980690369	0.0661313954139626
Haemophilus	collection_season2	spring	2.23076180171618	0.812645061144069	255	205	0.00651087114955765	0.123706551841595
ASV_63	age_days_numeric	age_days_numeric	-0.216710230504878	0.0892010924102323	255	26	0.0161500630721794	0.170472887984116
Campylobacter	collection_season2	winter	-0.984371509569901	0.403524602549425	255	36	0.0157864344733145	0.170472887984116
Streptobacillus	collection_season2	winter	-1.36772358069543	0.543778722841972	255	54	0.01282764536513	0.170472887984116
Neisseria	collection_season2	autumn	-1.59687826835258	0.653365376938697	255	79	0.0152431660078359	0.170472887984116
Gemella	age_days_numeric	age_days_numeric	-0.304333246323045	0.130481642490144	255	54	0.0208266568095704	0.197853239690919
