feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.693438390496541	0.197993544181789	255	79	0.000587335962013732	0.0557969163913045
Staphylococcus	age_days_numeric	age_days_numeric	-0.541351518232168	0.176988893019259	255	82	0.00257958619801086	0.066906857280543
Streptobacillus	age_days_numeric	age_days_numeric	-0.563999355642666	0.174602561397834	255	54	0.00148300384167257	0.066906857280543
Moraxella	age_days_numeric	age_days_numeric	0.456573979211753	0.150663991079242	255	251	0.00281713083286497	0.066906857280543
Haemophilus	collection_season2	spring	2.27539439513865	0.813129047430333	255	205	0.00555704706632015	0.105583894260083
ASV_63	age_days_numeric	age_days_numeric	-0.216951516842588	0.0892081577614072	255	26	0.016042370521083	0.175029724674425
Campylobacter	collection_season2	winter	-0.974730190300428	0.395690628431717	255	36	0.0148319631916365	0.175029724674425
Streptobacillus	collection_season2	winter	-1.35246142653783	0.541698264351577	255	54	0.0134965694917617	0.175029724674425
Neisseria	collection_season2	autumn	-1.58452867855336	0.656737625579258	255	79	0.0165817633902086	0.175029724674425
Gemella	age_days_numeric	age_days_numeric	-0.303493081759232	0.13043368783745	255	54	0.0211289138740909	0.200724681803863
Corynebacterium	collection_season2	winter	1.35675389374804	0.616687801548196	255	230	0.02904648214162	0.229951316954492
Campylobacter	edu	secondary_any tertiary	0.764090340658843	0.341996106182366	255	36	0.028180088089919	0.229951316954492
Alloprevotella	age_days_numeric	age_days_numeric	-0.379812317387668	0.184901736506839	255	60	0.0414652613365255	0.24619998918562
Gemella	collection_season2	winter	-0.833249564837745	0.402668160064569	255	54	0.0400324095882588	0.24619998918562
ASV_35	collection_season2	winter	-0.995416221095452	0.469238875715236	255	56	0.0354373530724269	0.24619998918562
ASV_22	age_days_numeric	age_days_numeric	-0.352538002119371	0.171198435097641	255	128	0.0409854563531585	0.24619998918562
Prevotella	edu	secondary_any tertiary	0.773521868404059	0.408983589764776	255	51	0.062088207691049	0.32768776281387
Streptococcus	age_days_numeric	age_days_numeric	-0.358794529529631	0.188813543181083	255	224	0.0590807046120942	0.32768776281387
Porphyromonas	collection_season2	winter	-1.03664595403448	0.575239558560713	255	76	0.07322354942041	0.331249390235188
ASV_35	age_days_numeric	age_days_numeric	-0.287592992086574	0.158624533855171	255	56	0.0715543227049841	0.331249390235188
Veillonella	collection_season2	winter	-0.567796818695992	0.312625539712152	255	35	0.0712741716070752	0.331249390235188
Veillonella	age_days_numeric	age_days_numeric	-0.187143486562926	0.108286510867081	255	35	0.0857278131601936	0.354093141313843
Acinetobacter	age_days_numeric	age_days_numeric	0.121631609379804	0.0701458255667482	255	27	0.0846977794074196	0.354093141313843
ASV_22	collection_season2	autumn	-1.0444337015861	0.614408977764137	255	128	0.0904005999528574	0.357835708146727
Corynebacterium	collection_season2	spring	-1.04428338390476	0.637938374369633	255	230	0.102988581673096	0.368953575533655
Campylobacter	collection_season2	autumn	-0.662068200621952	0.411169004583456	255	36	0.108744211736235	0.368953575533655
Fusobacterium	edu	secondary_any tertiary	0.902497707325211	0.547989752498359	255	55	0.103454243991203	0.368953575533655
Acinetobacter	edu	secondary_any tertiary	-0.285418742108074	0.17506733387824	255	27	0.106881618866814	0.368953575533655
Dolosigranulum	collection_season2	spring	-1.15791442255164	0.764777068200324	255	200	0.131319727188733	0.430185313204471
Corynebacterium	age_days_numeric	age_days_numeric	-0.278666835908991	0.187506433534791	255	230	0.139062312800504	0.44036399053493
Fusobacterium	age_days_numeric	age_days_numeric	-0.269954819288333	0.188742028474744	255	55	0.154452283480969	0.466003785591659
Streptobacillus	collection_season2	autumn	-0.785542400104345	0.553233025572193	255	54	0.156969696199296	0.466003785591659
Alloprevotella	collection_season2	winter	-0.741053920297898	0.567900999757694	255	60	0.193713528243193	0.525891817800634
Gemella	collection_season2	spring	-0.554361302807613	0.423171239898459	255	54	0.191558210857992	0.525891817800634
Haemophilus	collection_season2	autumn	-1.0255768127353	0.786983441994863	255	205	0.193749617084444	0.525891817800634
ASV_63	collection_season2	autumn	-0.372662657413643	0.314200508346367	255	26	0.236733348416853	0.539054560010383
Dolosigranulum	age_days_numeric	age_days_numeric	-0.264790162444796	0.216851207233564	255	200	0.223734010920139	0.539054560010383
Dolosigranulum	collection_season2	winter	0.890404098162036	0.749250013290457	255	200	0.236102154551999	0.539054560010383
Gemella	edu	secondary_any tertiary	0.42408306477365	0.3570364220518	255	54	0.238318858109854	0.539054560010383
ASV_35	collection_season2	autumn	-0.584837140899329	0.486451671772395	255	56	0.230516545760035	0.539054560010383
Fusobacterium	collection_season2	winter	-0.730904959032693	0.604817598898453	255	55	0.228479792550169	0.539054560010383
Streptobacillus	edu	secondary_any tertiary	0.585084306212023	0.481623670527363	255	54	0.227997933806828	0.539054560010383
Porphyromonas	age_days_numeric	age_days_numeric	-0.207009514977722	0.180190162981848	255	76	0.25220286494628	0.552601936783452
Staphylococcus	collection_season2	winter	-0.70752857886578	0.621045177714919	255	82	0.255941949668125	0.552601936783452
Haemophilus	age_days_numeric	age_days_numeric	0.252516570928116	0.233892829128702	255	205	0.281817815832586	0.594948722313237
Moraxella	collection_season2	spring	0.528569337013422	0.496893106736295	255	251	0.288586762996597	0.595994401840798
Porphyromonas	collection_season2	autumn	-0.605002032923898	0.582212842138834	255	76	0.299797656673856	0.605973986893964
Corynebacterium	edu	secondary_any tertiary	0.54657305116586	0.568099219133242	255	230	0.338837140037259	0.62020272135984
Porphyromonas	edu	secondary_any tertiary	0.506863120287411	0.519994413625381	255	76	0.332526233258865	0.62020272135984
Prevotella	collection_season2	autumn	0.464701225015905	0.465832636777778	255	51	0.319514425423562	0.62020272135984
Prevotella	collection_season2	winter	-0.432873976408681	0.457507685156524	255	51	0.345389381393696	0.62020272135984
Campylobacter	collection_season2	spring	-0.387532638712839	0.420646245878128	255	36	0.357971539332482	0.62020272135984
Gemella	collection_season2	autumn	-0.388143638848368	0.411884295464116	255	54	0.34698366814119	0.62020272135984
Moraxella	collection_season2	winter	0.437074026768314	0.475297261107278	255	251	0.359064733418854	0.62020272135984
Moraxella	edu	secondary_any tertiary	-0.414255974554996	0.426623589966607	255	251	0.334396970988629	0.62020272135984
Prevotella	collection_season2	spring	0.431568304628557	0.479120967244526	255	51	0.368693338395536	0.62546191334957
Porphyromonas	collection_season2	spring	0.458317885724905	0.599608007660574	255	76	0.445444802211737	0.742408003686228
Fusobacterium	collection_season2	autumn	-0.446483251475379	0.611420155867895	255	55	0.465964927192398	0.758849761735646
Neisseria	collection_season2	spring	-0.489135085046361	0.677888608857113	255	79	0.47128564149898	0.758849761735646
Streptococcus	collection_season2	autumn	-0.413831497766937	0.623991594008567	255	224	0.50783845419469	0.804077552474926
ASV_63	collection_season2	winter	-0.202697104625451	0.32299571182787	255	26	0.530970764785836	0.826921682863187
