feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.693438390496541	0.197993544181789	255	79	0.000587335962013732	0.0557969163913045
Staphylococcus	age_days_numeric	age_days_numeric	-0.541351518232168	0.176988893019259	255	82	0.00257958619801086	0.066906857280543
Streptobacillus	age_days_numeric	age_days_numeric	-0.563999355642666	0.174602561397834	255	54	0.00148300384167257	0.066906857280543
Moraxella	age_days_numeric	age_days_numeric	0.456573979211753	0.150663991079242	255	251	0.00281713083286497	0.066906857280543
Haemophilus	collection_season2	spring	2.27539439513865	0.813129047430333	255	205	0.00555704706632015	0.105583894260083
ASV_63	age_days_numeric	age_days_numeric	-0.216951516842588	0.0892081577614072	255	26	0.016042370521083	0.175029724674425
Campylobacter	collection_season2	winter	-0.974730190300428	0.395690628431717	255	36	0.0148319631916365	0.175029724674425
Streptobacillus	collection_season2	winter	-1.35246142653783	0.541698264351577	255	54	0.0134965694917617	0.175029724674425
Neisseria	collection_season2	autumn	-1.58452867855336	0.656737625579258	255	79	0.0165817633902086	0.175029724674425
Gemella	age_days_numeric	age_days_numeric	-0.303493081759232	0.13043368783745	255	54	0.0211289138740909	0.200724681803863
Corynebacterium	collection_season2	winter	1.35675389374804	0.616687801548196	255	230	0.02904648214162	0.229951316954492
Campylobacter	edu	secondary_any tertiary	0.764090340658843	0.341996106182366	255	36	0.028180088089919	0.229951316954492
Alloprevotella	age_days_numeric	age_days_numeric	-0.379812317387668	0.184901736506839	255	60	0.0414652613365255	0.24619998918562
Gemella	collection_season2	winter	-0.833249564837745	0.402668160064569	255	54	0.0400324095882588	0.24619998918562
ASV_35	collection_season2	winter	-0.995416221095452	0.469238875715236	255	56	0.0354373530724269	0.24619998918562
ASV_22	age_days_numeric	age_days_numeric	-0.352538002119371	0.171198435097641	255	128	0.0409854563531585	0.24619998918562
