feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.683400396056425	0.197621467092602	255	79	0.000684732028376549	0.130099085391544
Staphylococcus	age_days_numeric	age_days_numeric	-0.538388832287637	0.176967313541469	255	82	0.00271631633939091	0.130167553428274
Streptobacillus	age_days_numeric	age_days_numeric	-0.554907888021895	0.174227356382437	255	54	0.00171882789025938	0.130167553428274
Moraxella	age_days_numeric	age_days_numeric	0.457049221004126	0.150391271165639	255	251	0.0027403695458584	0.130167553428274
Streptobacillus	excl_bf_maxtimepoint	T04	2.92778284190568	0.974300495564796	255	54	0.00358956098903021	0.136403317583148
Alloprevotella	excl_bf_maxtimepoint	T04	2.83980078192902	1.00552650017667	255	60	0.00602379187196423	0.14479299781815
Streptobacillus	collection_season2	winter	-1.47699526097764	0.531232669690051	255	54	0.00609654727655367	0.14479299781815
Haemophilus	collection_season2	spring	2.29935865104903	0.830810986939735	255	205	0.00609583078809429	0.14479299781815
ASV_35	excl_bf_maxtimepoint	T04	2.15736158776724	0.80327592842352	255	56	0.00883588355998183	0.186535319599617
ASV_63	age_days_numeric	age_days_numeric	-0.212700673625651	0.0891506679728398	255	26	0.0181243197562198	0.229574716912118
ASV_63	excl_bf_maxtimepoint	T04	1.65585596317287	0.65807103079061	255	26	0.0139127352172239	0.229574716912118
Campylobacter	collection_season2	winter	-0.978699868062346	0.407984126507524	255	36	0.0176231499072526	0.229574716912118
ASV_35	collection_season2	winter	-1.08022202551724	0.451887121026878	255	56	0.0181050887505561	0.229574716912118
Fusobacterium	excl_bf_maxtimepoint	T04	2.76196551763757	1.12166769521133	255	55	0.0160415098926419	0.229574716912118
Neisseria	excl_bf_maxtimepoint	T04	3.06690453540018	1.22053346486655	255	79	0.0140438795537216	0.229574716912118
Gemella	age_days_numeric	age_days_numeric	-0.301158769737791	0.130326881832634	255	54	0.0220167387670305	0.246721882616252
Gemella	collection_season2	winter	-0.919721568180401	0.397848643196315	255	54	0.0220751158130331	0.246721882616252
