feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Porphyromonas	first_antibiotics_upto_100days_post	yes	2.22484688058596	0.709829926968158	255	76	0.00202241194530343	0.0412099669117549
Staphylococcus	age_days_numeric	age_days_numeric	-0.552565566571894	0.177506663944319	255	82	0.00216894562693447	0.0412099669117549
Streptobacillus	age_days_numeric	age_days_numeric	-0.556993912434616	0.174429811690361	255	54	0.00168688798726645	0.0412099669117549
Neisseria	age_days_numeric	age_days_numeric	-0.692383008899254	0.199034392187788	255	79	0.000637087236069738	0.0412099669117549
Moraxella	age_days_numeric	age_days_numeric	0.487609451844368	0.150485350341583	255	251	0.00143027341143638	0.0412099669117549
Corynebacterium	first_antibiotics_upto_100days_post	yes	-2.22374242422515	0.776007346517557	255	230	0.00462306089835687	0.0731984642239838
Haemophilus	collection_season2	spring	2.27346644513082	0.811634156381133	255	205	0.00551164376430407	0.0748008796584124
Acinetobacter	first_antibiotics_upto_100days_post	yes	0.6922130014597	0.260797693465963	255	27	0.00873071207971689	0.103677205946638
ASV_63	age_days_numeric	age_days_numeric	-0.223990138885389	0.0900932591201572	255	26	0.0138661454284827	0.121985841532599
Campylobacter	collection_season2	winter	-1.00079824219863	0.403431781981452	255	36	0.0141246763879852	0.121985841532599
Streptobacillus	collection_season2	winter	-1.39781515882125	0.547403728357677	255	54	0.0115745542067316	0.121985841532599
Neisseria	collection_season2	autumn	-1.59187516393011	0.657292144541386	255	79	0.0161798425606949	0.128090420272168
Gemella	age_days_numeric	age_days_numeric	-0.304966420207608	0.13110192705241	255	54	0.0211765372748278	0.153666328122526
Moraxella	first_antibiotics_upto_100days_post	yes	-1.38216763941193	0.60118066405297	255	251	0.0226455641443723	0.153666328122526
Alloprevotella	age_days_numeric	age_days_numeric	-0.402150774524975	0.18668116160547	255	60	0.0326030806157765	0.206486177233251
Corynebacterium	collection_season2	winter	1.28610775500086	0.607527206398478	255	230	0.0356004339752592	0.208886621779574
Gemella	collection_season2	winter	-0.839337281374253	0.404633237682605	255	54	0.0395785178108667	0.208886621779574
ASV_35	collection_season2	winter	-0.980316005193559	0.466926308868323	255	56	0.0373902538243938	0.208886621779574
ASV_22	age_days_numeric	age_days_numeric	-0.345413088706758	0.172744213402107	255	128	0.0471250935458451	0.235625467729226
Streptococcus	age_days_numeric	age_days_numeric	-0.365285329786139	0.189938377234989	255	224	0.0561027670408742	0.266488143444152
Campylobacter	collection_season2	autumn	-0.73523321469761	0.416699857115547	255	36	0.0789896535123626	0.296465132377897
