feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.701464301024343	0.198166244290783	255	79	0.000515087447722776	0.0587199690403964
Staphylococcus	age_days_numeric	age_days_numeric	-0.543083754511072	0.177098270577372	255	82	0.00251646015710849	0.071719114477592
Streptobacillus	age_days_numeric	age_days_numeric	-0.571003887073802	0.174881893418166	255	54	0.00132213629789682	0.071719114477592
Moraxella	age_days_numeric	age_days_numeric	0.463247551845424	0.150816040621615	255	251	0.00247405144539999	0.071719114477592
Haemophilus	collection_season2	spring	2.3459435978115	0.811323872231434	255	205	0.00419186457080724	0.095574512214405
ASV_63	age_days_numeric	age_days_numeric	-0.221991434789211	0.0893016978202664	255	26	0.0138814959658667	0.194182692820298
Alloprevotella	gestation2	low	2.27849337626297	0.92458992515933	255	60	0.0158216647715048	0.194182692820298
Campylobacter	collection_season2	winter	-0.991288253888471	0.406825079995424	255	36	0.0159004958254193	0.194182692820298
Gemella	age_days_numeric	age_days_numeric	-0.309900769794832	0.130592507320413	255	54	0.0187369265002042	0.194182692820298
Streptobacillus	collection_season2	winter	-1.300932406868	0.546294854804056	255	54	0.0183630902130682	0.194182692820298
Neisseria	collection_season2	autumn	-1.60130542530103	0.65521346581563	255	79	0.0152515868954967	0.194182692820298
Corynebacterium	collection_season2	winter	1.37283275670117	0.623809329754864	255	230	0.0289867057205936	0.263023465253962
Alloprevotella	age_days_numeric	age_days_numeric	-0.397965268791357	0.185032549071657	255	60	0.0328822815288274	0.263023465253962
Alloprevotella	gestation2	middle	1.64053146080229	0.743773112552244	255	60	0.0302380441037248	0.263023465253962
Acinetobacter	gestation2	middle	-0.567666101748937	0.264139384196199	255	27	0.0346083506913108	0.263023465253962
ASV_22	age_days_numeric	age_days_numeric	-0.360266750840611	0.17143196344334	255	128	0.0370646672584853	0.264085754216708
Streptococcus	age_days_numeric	age_days_numeric	-0.367331704860107	0.188876976141706	255	224	0.0534364486404309	0.3254003848358
Gemella	collection_season2	winter	-0.787735892349044	0.406393433240431	255	54	0.0542333974726334	0.3254003848358
ASV_35	collection_season2	winter	-0.911591556549029	0.468532194634728	255	56	0.053477224492784	0.3254003848358
ASV_63	gestation2	low	1.12508786487692	0.599094336820319	255	26	0.0639398810288404	0.342845504525907
Prevotella	gestation2	middle	1.15852973419529	0.629496722501319	255	51	0.0693355832676462	0.342845504525907
ASV_35	age_days_numeric	age_days_numeric	-0.296159209765089	0.15883837644204	255	56	0.0639418985311923	0.342845504525907
ASV_22	collection_season2	autumn	-1.0993143372531	0.609429909772586	255	128	0.0724748141093779	0.342845504525907
ASV_22	gestation2	low	2.19554453264939	1.20544309465633	255	128	0.0722322220859904	0.342845504525907
Acinetobacter	age_days_numeric	age_days_numeric	0.125615425749745	0.0701725759749593	255	27	0.0751854176591902	0.342845504525907
Campylobacter	collection_season2	autumn	-0.712348615574792	0.417206300493713	255	36	0.0891055046641341	0.362786697561117
Veillonella	age_days_numeric	age_days_numeric	-0.188880838712369	0.108300507610789	255	35	0.0829239185321176	0.362786697561117
Veillonella	collection_season2	winter	-0.538614924933935	0.313684272417798	255	35	0.0879728112873386	0.362786697561117
Porphyromonas	collection_season2	winter	-0.961142486322385	0.577919453723185	255	76	0.098056159048197	0.367992136904631
Streptococcus	gestation2	low	1.78796152360554	1.07982916625698	255	224	0.101649213960035	0.367992136904631
ASV_35	gestation2	low	1.26675818840488	0.765733533446888	255	56	0.101903879831873	0.367992136904631
Fusobacterium	gestation2	middle	1.38353744466604	0.839531133192895	255	55	0.10329603842937	0.367992136904631
Corynebacterium	collection_season2	spring	-1.00039968104708	0.64132647793717	255	230	0.12014673575481	0.415052359880252
Corynebacterium	age_days_numeric	age_days_numeric	-0.283043735218136	0.187641345639186	255	230	0.133279210184135	0.415774373660725
Dolosigranulum	collection_season2	spring	-1.16787671261404	0.765375899483184	255	200	0.128354634331613	0.415774373660725
Fusobacterium	age_days_numeric	age_days_numeric	-0.282693715969405	0.189190424962951	255	55	0.136960216542801	0.415774373660725
Fusobacterium	gestation2	low	1.56176181983256	1.04315062575831	255	55	0.138271040183899	0.415774373660725
Streptobacillus	collection_season2	autumn	-0.823427590324719	0.554056357351623	255	54	0.138591457886908	0.415774373660725
Porphyromonas	gestation2	middle	1.1511016785295	0.794690022940116	255	76	0.151287437692871	0.442224817871469
Haemophilus	collection_season2	autumn	-1.06922575717274	0.784346734512137	255	205	0.174089986405016	0.496156461254295
Haemophilus	gestation2	low	1.87540373794433	1.40654228552776	255	205	0.186109983897979	0.517476540594381
Porphyromonas	age_days_numeric	age_days_numeric	-0.215581818315253	0.180335587881927	255	76	0.233545017474196	0.539950914698389
Porphyromonas	collection_season2	autumn	-0.63900030192461	0.581508708825115	255	76	0.272949334878881	0.539950914698389
ASV_63	collection_season2	autumn	-0.390785675161487	0.31216391726841	255	26	0.211810998556069	0.539950914698389
ASV_63	gestation2	middle	0.524260321720905	0.482545142666395	255	26	0.280489046899578	0.539950914698389
Alloprevotella	collection_season2	winter	-0.581001635400958	0.559094548449694	255	60	0.300260222713257	0.539950914698389
Prevotella	collection_season2	spring	0.510611472742669	0.480834865409509	255	51	0.289424951058439	0.539950914698389
Prevotella	gestation2	low	0.937339197675929	0.782282191951057	255	51	0.234264739906776	0.539950914698389
Dolosigranulum	age_days_numeric	age_days_numeric	-0.265705648687367	0.216929088309335	255	200	0.222310610576151	0.539950914698389
Dolosigranulum	collection_season2	winter	0.911821312205622	0.75302738853406	255	200	0.227386142561646	0.539950914698389
Gemella	collection_season2	spring	-0.499233368749857	0.424563074918703	255	54	0.240925348647688	0.539950914698389
Gemella	collection_season2	autumn	-0.42587310012605	0.412653168126993	255	54	0.303130338076289	0.539950914698389
Gemella	gestation2	middle	0.607160582431204	0.549265396071696	255	54	0.272218956509675	0.539950914698389
Gemella	gestation2	low	0.73579439494367	0.682650614613288	255	54	0.284235087973648	0.539950914698389
Staphylococcus	collection_season2	winter	-0.69565055437625	0.625532454797995	255	82	0.267411225459413	0.539950914698389
ASV_35	collection_season2	autumn	-0.613018871272929	0.483664786593693	255	56	0.206308059941776	0.539950914698389
ASV_35	gestation2	middle	0.703888985401172	0.615876699870685	255	56	0.256449080412776	0.539950914698389
Veillonella	gestation2	middle	0.478720735762078	0.408823504995301	255	35	0.245035522319466	0.539950914698389
Fusobacterium	collection_season2	winter	-0.633067958857531	0.608908176926198	255	55	0.299914552068336	0.539950914698389
Streptobacillus	gestation2	middle	0.902111102426477	0.739940834999561	255	54	0.226393387821863	0.539950914698389
Neisseria	gestation2	middle	1.08605039523714	0.927166646837501	255	79	0.244874875975827	0.539950914698389
Neisseria	gestation2	low	1.3423935350199	1.15177379963223	255	79	0.247196811786445	0.539950914698389
Haemophilus	age_days_numeric	age_days_numeric	0.243731671026436	0.234019698086706	255	205	0.299104205058831	0.539950914698389
Moraxella	gestation2	low	-0.847414719601224	0.81470449328241	255	251	0.301322311414316	0.539950914698389
Porphyromonas	gestation2	low	0.999710484937292	0.987464575225209	255	76	0.314294021167564	0.551223360201573
Moraxella	collection_season2	spring	0.471234128414908	0.498219756564692	255	251	0.3452569111399	0.596352846514372
Moraxella	gestation2	middle	-0.603865347133094	0.655616141748503	255	251	0.3597376644715	0.61209095148882
Prevotella	collection_season2	autumn	0.41306698360504	0.466821910656785	255	51	0.37714795777634	0.63227745862504
Porphyromonas	collection_season2	spring	0.523707627691912	0.599589327771259	255	76	0.383352589617476	0.633365148063656
Fusobacterium	collection_season2	autumn	-0.51701736024793	0.611874715572836	255	55	0.398984598635704	0.649774917778147
Moraxella	collection_season2	winter	0.390274276863043	0.479238473985199	255	251	0.416545475315829	0.668819495577529
Prevotella	collection_season2	winter	-0.363013915887352	0.461837794963859	255	51	0.432927334060222	0.685468278928684
Campylobacter	collection_season2	spring	-0.322186051660845	0.428090468089854	255	36	0.452522940237217	0.697129934960037
Streptococcus	gestation2	middle	0.656195870696389	0.869189670708166	255	224	0.452494537332568	0.697129934960037
Streptococcus	collection_season2	autumn	-0.449264236238392	0.620258715041112	255	224	0.469582787432197	0.713765836896939
Streptobacillus	gestation2	low	0.652336358420849	0.919604876157645	255	54	0.480157995500918	0.720236993251377
ASV_22	collection_season2	winter	0.401052894344528	0.632445321211898	255	128	0.526666374097823	0.759999577812048
Neisseria	collection_season2	spring	-0.433195804072187	0.677088844123977	255	79	0.522938564181133	0.759999577812048
Acinetobacter	gestation2	low	-0.214459624972051	0.328458031427552	255	27	0.515632482217433	0.759999577812048
Dolosigranulum	gestation2	middle	0.654863273779455	1.09510545322446	255	200	0.551512988261588	0.785906008272763
Haemophilus	gestation2	middle	0.659401709302531	1.13241431701997	255	205	0.561976702673823	0.790930174133529
Fusobacterium	collection_season2	spring	0.346488296758989	0.631082763773682	255	55	0.583524060020253	0.81124076636962
Streptobacillus	collection_season2	spring	-0.289476418769652	0.570217287864677	255	54	0.612205311101947	0.840860306814723
Corynebacterium	gestation2	low	0.464999653273878	1.09136593310407	255	230	0.671175290244182	0.844980437393045
ASV_63	collection_season2	winter	-0.150453582847285	0.321586679538143	255	26	0.640380571311675	0.844980437393045
Alloprevotella	collection_season2	autumn	-0.223658836343646	0.572894296719877	255	60	0.696604286154935	0.844980437393045
Campylobacter	gestation2	middle	-0.212804961339914	0.540472841715927	255	36	0.694799253475729	0.844980437393045
Streptococcus	collection_season2	spring	-0.306869903521838	0.640613582847139	255	224	0.632376158831636	0.844980437393045
Staphylococcus	gestation2	low	0.441466431607794	1.14583169666481	255	82	0.701029504405408	0.844980437393045
Veillonella	collection_season2	spring	-0.14134054147588	0.332872591431965	255	35	0.671576123008931	0.844980437393045
Veillonella	collection_season2	autumn	-0.12626831927911	0.325629850848382	255	35	0.698559921805428	0.844980437393045
ASV_22	gestation2	middle	0.428617679898082	0.971101100299321	255	128	0.660123509109769	0.844980437393045
Neisseria	collection_season2	winter	-0.250442479549387	0.658524795778057	255	79	0.704150364494204	0.844980437393045
Haemophilus	collection_season2	winter	-0.325579057973816	0.793115898597051	255	205	0.681893485401291	0.844980437393045
Acinetobacter	collection_season2	winter	-0.0905357064765426	0.202851354634521	255	27	0.655996634884212	0.844980437393045
Staphylococcus	collection_season2	autumn	0.18980925974144	0.610802634137572	255	82	0.75625259804826	0.88879171317012
Veillonella	gestation2	low	0.158451796288012	0.508365997995189	255	35	0.756068670100099	0.88879171317012
Dolosigranulum	collection_season2	autumn	-0.214284801714955	0.739223796257357	255	200	0.772156607169206	0.898222992013157
Prevotella	age_days_numeric	age_days_numeric	-0.0381759393545389	0.146242633075391	255	51	0.79436786107246	0.905579361622604
Staphylococcus	collection_season2	spring	-0.1716036795198	0.632737602490505	255	82	0.786461495818875	0.905579361622604
Corynebacterium	gestation2	middle	0.210367049777382	0.878541560184794	255	230	0.811360634074498	0.915793190935572
ASV_63	collection_season2	spring	-0.03859218258027	0.323501457482603	255	26	0.905139265155318	0.937912756076391
Alloprevotella	collection_season2	spring	-0.102895465502388	0.587977957261318	255	60	0.861248388947004	0.937912756076391
Campylobacter	gestation2	low	0.0868203947645941	0.671878642344991	255	36	0.89749775576425	0.937912756076391
Dolosigranulum	gestation2	low	-0.148647201725154	1.35996597588461	255	200	0.913230841442802	0.937912756076391
Streptococcus	collection_season2	winter	0.0931490293501544	0.621493118511549	255	224	0.881025427740564	0.937912756076391
Staphylococcus	gestation2	middle	0.127871556574272	0.922790591401539	255	82	0.890132657112066	0.937912756076391
ASV_35	collection_season2	spring	-0.0933552134859761	0.495303480560785	255	56	0.850686053509496	0.937912756076391
ASV_22	collection_season2	spring	-0.102994026038244	0.63169562004621	255	128	0.870617353250846	0.937912756076391
Acinetobacter	collection_season2	autumn	0.03079737710225	0.210702474833076	255	27	0.883923595051033	0.937912756076391
Moraxella	collection_season2	autumn	0.0767703072989546	0.483482629307624	255	251	0.873974260263267	0.937912756076391
Corynebacterium	collection_season2	autumn	0.0470087512522634	0.620592619232823	255	230	0.939682803852384	0.956462853921176
Campylobacter	age_days_numeric	age_days_numeric	0.00269285832044598	0.13499535264329	255	36	0.984107942491863	0.985111015033667
Acinetobacter	collection_season2	spring	0.00402374193654452	0.215346660406956	255	27	0.985111015033667	0.985111015033667
