feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Neisseria	age_days_numeric	age_days_numeric	-0.694416939705919	0.198078012171655	255	79	0.000580358349247658	0.0551340431785275
Staphylococcus	age_days_numeric	age_days_numeric	-0.543576028338321	0.177105091000837	255	82	0.00249527752077673	0.0611086757388066
Streptobacillus	age_days_numeric	age_days_numeric	-0.57173690019302	0.174759171904324	255	54	0.00129347261749405	0.0611086757388066
Moraxella	age_days_numeric	age_days_numeric	0.461087638738043	0.150723402085574	255	251	0.00257299687321291	0.0611086757388066
Haemophilus	collection_season2	spring	2.23486244609142	0.816007190994527	255	205	0.00663007075816846	0.125971344405201
ASV_63	age_days_numeric	age_days_numeric	-0.218559926407655	0.0892580058012315	255	26	0.0153446377418474	0.186475824558358
Campylobacter	collection_season2	winter	-0.967194057283801	0.403501250397823	255	36	0.0176661307476339	0.186475824558358
Streptobacillus	collection_season2	winter	-1.32326988565946	0.543068867054601	255	54	0.0158626027827607	0.186475824558358
Neisseria	collection_season2	autumn	-1.59242436254362	0.656237665921713	255	79	0.0159749815903088	0.186475824558358
Gemella	age_days_numeric	age_days_numeric	-0.305407022967826	0.130538918983838	255	54	0.0204423599952533	0.194202419954907
Corynebacterium	collection_season2	winter	1.40511436032177	0.61512048376317	255	230	0.0234945372116435	0.20290736682783
Alloprevotella	age_days_numeric	age_days_numeric	-0.377388273370146	0.184909555380951	255	60	0.0427741587159604	0.270903005201082
Gemella	collection_season2	winter	-0.836245888648908	0.405540783439254	255	54	0.0407134769593547	0.270903005201082
ASV_35	collection_season2	winter	-0.979795738591686	0.469944981135746	255	56	0.0386646574027959	0.270903005201082
ASV_22	age_days_numeric	age_days_numeric	-0.358934969438762	0.171263603800907	255	128	0.0375711308490869	0.270903005201082
Streptococcus	age_days_numeric	age_days_numeric	-0.359207784122178	0.188862490494573	255	224	0.0588579793738955	0.349469252532505
Corynebacterium	collection_season2	spring	-1.11189476340483	0.638586352130498	255	230	0.0829654073770034	0.350467652574743
Porphyromonas	collection_season2	winter	-1.00752926264328	0.576124539455088	255	76	0.0820472710845849	0.350467652574743
Campylobacter	collection_season2	autumn	-0.720337128856261	0.416214408861765	255	36	0.0848500632549377	0.350467652574743
ASV_35	age_days_numeric	age_days_numeric	-0.289380550971819	0.15869761916558	255	56	0.0699544623504885	0.350467652574743
Veillonella	age_days_numeric	age_days_numeric	-0.190288338741509	0.108233832300627	255	35	0.0804885729749324	0.350467652574743
Veillonella	collection_season2	winter	-0.546536603402668	0.312298050479586	255	35	0.0820888428752283	0.350467652574743
ASV_22	collection_season2	autumn	-1.07697910129834	0.6120573601734	255	128	0.0797054611593199	0.350467652574743
Acinetobacter	age_days_numeric	age_days_numeric	0.119311503866922	0.0701619768673841	255	27	0.0908243061728986	0.359512878601057
Corynebacterium	age_days_numeric	age_days_numeric	-0.288222687355193	0.18738557260336	255	230	0.125849417091507	0.426989093703327
Dolosigranulum	collection_season2	spring	-1.18525077965246	0.767456624558251	255	200	0.123797757672115	0.426989093703327
Streptobacillus	collection_season2	autumn	-0.852183246492597	0.55330196912112	255	54	0.124869358029328	0.426989093703327
Acinetobacter	mom_smoke	yes	0.374931068054804	0.237354162556589	255	27	0.117926527339715	0.426989093703327
Corynebacterium	mom_smoke	yes	1.16054042510236	0.76206127746873	255	230	0.131526636181539	0.430863118525732
Fusobacterium	age_days_numeric	age_days_numeric	-0.272824413502947	0.188957248540804	255	55	0.150608863821864	0.476928068769235
ASV_63	collection_season2	autumn	-0.381457717066929	0.313716464112618	255	26	0.225169419289557	0.555799011628004
Alloprevotella	collection_season2	winter	-0.762193819514543	0.568852149615447	255	60	0.182087963421013	0.555799011628004
Dolosigranulum	age_days_numeric	age_days_numeric	-0.267441235919098	0.216877816113708	255	200	0.219207991241943	0.555799011628004
Dolosigranulum	collection_season2	winter	0.906852107098787	0.750196839991699	255	200	0.228170120563076	0.555799011628004
Gemella	collection_season2	spring	-0.535084100926872	0.427098413178979	255	54	0.211576396016846	0.555799011628004
ASV_35	collection_season2	autumn	-0.588421906149188	0.486198212468694	255	56	0.227433025304191	0.555799011628004
Fusobacterium	collection_season2	winter	-0.74987068679131	0.61175749973488	255	55	0.221893322963101	0.555799011628004
ASV_22	mom_smoke	yes	1.10605328731544	0.867626604624813	255	128	0.205906425200726	0.555799011628004
Haemophilus	collection_season2	autumn	-1.03769933862322	0.785949349740768	255	205	0.187972658158766	0.555799011628004
Porphyromonas	age_days_numeric	age_days_numeric	-0.213986922404652	0.180261321145891	255	76	0.236813463623505	0.562431976105824
Porphyromonas	collection_season2	autumn	-0.661771304287189	0.5817503647332	255	76	0.256453734561436	0.594222067886254
Porphyromonas	mom_smoke	yes	0.711173840733032	0.702158255876121	255	76	0.314006033851078	0.599639125125008
Prevotella	collection_season2	spring	0.509233690490355	0.485963692293226	255	51	0.295803370055138	0.599639125125008
Prevotella	collection_season2	winter	-0.466912387322211	0.463939088362453	255	51	0.315599539539478	0.599639125125008
Gemella	collection_season2	autumn	-0.418840864053081	0.413218925909262	255	54	0.311816173069558	0.599639125125008
Staphylococcus	collection_season2	winter	-0.691118198318307	0.621510803825028	255	82	0.267456286225657	0.599639125125008
Veillonella	mom_smoke	yes	0.371749642545654	0.361558721578156	255	35	0.306797552082194	0.599639125125008
Streptobacillus	mom_smoke	yes	0.712789390830471	0.651525289307277	255	54	0.277124838846499	0.599639125125008
