feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.35948177594299	0.280280157948894	462	59	1.69767372868828e-06	8.65813601631024e-05
Neisseria	collection_season2	winter	-1.93781632875126	0.399360233798916	462	133	1.68614402437914e-06	8.65813601631024e-05
Helcococcus	age_days_numeric	age_days_numeric	0.259507557436543	0.0580556008114943	462	66	1.032484395926e-05	0.00035104469461484
ASV_22	age_days_numeric	age_days_numeric	-0.452755092737926	0.110871525724255	462	177	5.40323039722927e-05	0.00137782375129346
Porphyromonas	collection_season2	winter	-1.19494297490228	0.304429598543555	462	95	0.000100070124582671	0.00204143054148649
Alloprevotella	collection_season2	winter	-1.12324004506401	0.296546511988514	462	82	0.0001725855168401	0.00293395378628171
Streptococcus	collection_season2	winter	-1.53226380371068	0.415175376700914	462	399	0.000250790585911241	0.00365437710899236
Gemella	collection_season2	winter	-0.846543943331516	0.237942534263431	462	70	0.000416705503148995	0.00514373848825781
ASV_35	collection_season2	winter	-0.805519449239317	0.228033904760701	462	57	0.000453859278375689	0.00514373848825781
Corynebacterium	collection_season2	winter	1.48868982231974	0.439867681364253	462	392	0.000776293781234388	0.00711715364261727
ASV_22	HAZ12_2	middle	-4.4457763786072	1.2733024955004	462	177	0.00081295577956848	0.00711715364261727
ASV_22	HAZ12_2	low	-4.52061195014098	1.2981643705285	462	177	0.000837312193249091	0.00711715364261727
Fusobacterium	collection_season2	winter	-1.10773335066926	0.331779791003366	462	78	0.000911328212586765	0.00715042136029615
Neisseria	collection_season2	autumn	-1.46782718351444	0.455195528480493	462	133	0.0013534297228432	0.00951013630404957
Neisseria	collection_season2	spring	-1.29958869287345	0.40425976444288	462	133	0.00139854945647788	0.00951013630404957
Corynebacterium	collection_season2	autumn	1.53509373920598	0.490437737297289	462	392	0.00186784056275667	0.0119074835875738
Prevotella	age_days_numeric	age_days_numeric	-0.221597910777982	0.0747509618224222	462	59	0.00322150797628306	0.0178962496015403
Fusobacterium	collection_season2	autumn	-1.09966841758349	0.371216567052021	462	78	0.0032217657459922	0.0178962496015403
Streptobacillus	collection_season2	spring	-0.835856776524658	0.283268008055555	462	59	0.00333361512185555	0.0178962496015403
Corynebacterium	age_days_numeric	age_days_numeric	-0.433942117570774	0.148828314241711	462	392	0.00375795790372584	0.0191655853090018
ASV_35	age_days_numeric	age_days_numeric	-0.223016809680104	0.0802595520972198	462	57	0.00572607865210188	0.0265481828415633
ASV_35	collection_season2	spring	-0.640906807383953	0.230171136786031	462	57	0.00558536498727698	0.0265481828415633
ASV_35	collection_season2	autumn	-0.668019551118315	0.258344028957272	462	57	0.0100327355813063	0.0444930012736192
Streptococcus	collection_season2	spring	-0.969449445191441	0.418086390612419	462	399	0.02085279647543	0.0886243850205776
Porphyromonas	collection_season2	spring	-0.704406861072695	0.306683207541747	462	95	0.0220833254628752	0.0900999678885307
Haemophilus	HAZ12_2	middle	4.0403704932628	1.7741430684035	462	383	0.0256594099593739	0.10066383907139
Streptobacillus	age_days_numeric	age_days_numeric	-0.220287116841301	0.099300211300063	462	59	0.0271130871006363	0.102427217935737
Alloprevotella	collection_season2	spring	-0.660186401793293	0.299804575860664	462	82	0.0281624911937002	0.102591932205622
Streptobacillus	collection_season2	autumn	-0.681033828883469	0.318397650344435	462	59	0.0329815054573077	0.116003915746392
Fusobacterium	collection_season2	spring	-0.689637254205964	0.33297989235706	462	78	0.0389257436427945	0.129047622641423
Haemophilus	HAZ12_2	low	3.7969485729929	1.80880827199724	462	383	0.0392203559008248	0.129047622641423
Gemella	collection_season2	autumn	-0.561441832315497	0.276053648396025	462	70	0.0425501368863913	0.135628561325372
Haemophilus	collection_season2	spring	1.10079480284864	0.550654082705381	462	383	0.0462172140841513	0.142853207169195
Corynebacterium	collection_season2	spring	0.862634071290477	0.440773689029025	462	392	0.0509702670652265	0.148541921161517
Gemella	collection_season2	spring	-0.476605167995485	0.242956539818255	462	70	0.0504193253345636	0.148541921161517
ASV_22	collection_season2	autumn	-0.712066701841778	0.369244211934791	462	177	0.0544808530948492	0.154362417102073
Haemophilus	age_days_numeric	age_days_numeric	0.34666275164339	0.185876362365808	462	383	0.0629443807895587	0.173522347041486
Helcococcus	collection_season2	winter	0.321819646183131	0.176690682427025	462	66	0.0692604462518226	0.185909618886471
Helcococcus	collection_season2	spring	0.317743001994979	0.176173716367241	462	66	0.0720227919532649	0.188367302031616
Alloprevotella	collection_season2	autumn	-0.58531774484765	0.337106580935234	462	82	0.0831989649228953	0.212157360553383
Moraxella	collection_season2	autumn	0.473160894557063	0.27778589915375	462	459	0.0892130950769811	0.221944773118343
Porphyromonas	collection_season2	autumn	-0.563799049112305	0.343447193864501	462	95	0.101387451105017	0.246226666969327
Prevotella	collection_season2	autumn	-0.39130501258287	0.245212591811935	462	59	0.111270548683152	0.263944092225151
Staphylococcus	collection_season2	spring	-0.405588671967643	0.286207812808734	462	79	0.157136546268652	0.364271084531875
Prevotella	collection_season2	winter	-0.299800355359683	0.21926366087575	462	59	0.172211553873218	0.390346188779293
Haemophilus	collection_season2	autumn	-0.803049408548405	0.612651406960444	462	383	0.190638118954959	0.422719307247953
Staphylococcus	HAZ12_2	middle	0.813726057637761	0.633732341034899	462	79	0.203168441012983	0.431732937152589
Moraxella	HAZ12_2	low	-0.882066604562138	0.68504142645906	462	459	0.201902378125089	0.431732937152589
Fusobacterium	age_days_numeric	age_days_numeric	-0.142318872247853	0.113240491419911	462	78	0.209598393103054	0.43630685911248
Alloprevotella	age_days_numeric	age_days_numeric	0.129572031406755	0.105237164988677	462	82	0.218987223540564	0.437974447081127
Moraxella	HAZ12_2	middle	-0.836390837075964	0.671900709522388	462	459	0.217137375929169	0.437974447081127
Corynebacterium	HAZ12_2	middle	-1.72261768938773	1.41601873999894	462	392	0.227691392437312	0.446625423627036
Prevotella	collection_season2	spring	-0.260315566687469	0.220011122756924	462	59	0.237366479215214	0.456818507168903
Helcococcus	HAZ12_2	low	0.933625121713071	0.812133878990169	462	66	0.254005938511515	0.479788994966195
Dolosigranulum	collection_season2	autumn	0.483060915429002	0.454719221344815	462	396	0.288671768980594	0.535354917018557
