feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.34874533935708	0.281922771314784	462	59	2.32657318274941e-06	0.00011865523232022
Neisseria	collection_season2	winter	-1.94955986007183	0.40204531770021	462	133	1.70913222340176e-06	0.00011865523232022
Helcococcus	age_days_numeric	age_days_numeric	0.259388038975684	0.0580571314427695	462	66	1.04253968464594e-05	0.000354463492779621
Porphyromonas	collection_season2	winter	-1.25483150668578	0.304987117377776	462	95	4.60885526304784e-05	0.00112811724897738
ASV_22	age_days_numeric	age_days_numeric	-0.452222878108436	0.110893086069788	462	177	5.52998651459501e-05	0.00112811724897738
Alloprevotella	collection_season2	winter	-1.1624269069613	0.298702210086311	462	82	0.000114520713690448	0.00194685213273761
Gemella	collection_season2	winter	-0.912453144562133	0.238493353056887	462	70	0.000150031951949678	0.00218617987126673
ASV_35	collection_season2	winter	-0.863199017975009	0.228547550693274	462	57	0.000179906114480332	0.00229380295962423
Streptococcus	collection_season2	winter	-1.48495729064149	0.417656205249816	462	399	0.000416892429406645	0.00472478086660864
Fusobacterium	collection_season2	winter	-1.15038060633783	0.332788952302562	462	78	0.000598619159237755	0.0061059154242251
Corynebacterium	collection_season2	winter	1.44180722139886	0.44192534046302	462	392	0.00118941035104492	0.0101841930044816
Neisseria	collection_season2	autumn	-1.48771476119202	0.456324854760146	462	133	0.00119814035346842	0.0101841930044816
Neisseria	collection_season2	spring	-1.29156939057747	0.406433473291283	462	133	0.00158501514106033	0.0124362726452426
Corynebacterium	collection_season2	autumn	1.49259808667039	0.491425687761302	462	392	0.00253441475393871	0.0172340203267832
Fusobacterium	collection_season2	autumn	-1.12850366515632	0.371548966664613	462	78	0.00253209070854128	0.0172340203267832
Prevotella	age_days_numeric	age_days_numeric	-0.221767625427478	0.0747517315620214	462	59	0.00319867143507167	0.0203915303985819
Corynebacterium	age_days_numeric	age_days_numeric	-0.434212456952201	0.148836239666653	462	392	0.00373848086573858	0.0224308851944315
ASV_35	collection_season2	spring	-0.666850576272269	0.23058379781965	462	57	0.00401180746595437	0.0227335756404081
Streptobacillus	collection_season2	spring	-0.815945100585593	0.284598813406515	462	59	0.00433648706029864	0.0232800884289716
ASV_35	age_days_numeric	age_days_numeric	-0.223009692810836	0.0802631230492288	462	57	0.00572979046903823	0.029221931392095
ASV_35	collection_season2	autumn	-0.71173601198801	0.25835091917135	462	57	0.00611136337707326	0.0296837649743558
Porphyromonas	collection_season2	spring	-0.733647372880238	0.307115620531875	462	95	0.0173117560290782	0.0802635961348171
Alloprevotella	collection_season2	spring	-0.685717824109858	0.301556564805439	462	82	0.0234360894022877	0.103933961697102
Gemella	collection_season2	autumn	-0.620145481115415	0.275942644624023	462	70	0.0250948219710767	0.106652993377076
Streptococcus	collection_season2	spring	-0.929196448362583	0.420070764241166	462	399	0.0274689172395129	0.107762675324243
Streptobacillus	age_days_numeric	age_days_numeric	-0.220297792904773	0.0993021781679903	462	59	0.0271087642855539	0.107762675324243
Fusobacterium	collection_season2	spring	-0.723199317645142	0.333786716408179	462	78	0.0307944811282178	0.116334706484378
Streptobacillus	collection_season2	autumn	-0.675127154274582	0.319065290689568	462	59	0.0349022802942432	0.127144021071886
Gemella	collection_season2	spring	-0.497380026903857	0.243454952110516	462	70	0.0416369710127177	0.146447277355076
ASV_22	collection_season2	autumn	-0.750134241330148	0.370895403513829	462	177	0.0437734375516783	0.148829687675706
Haemophilus	collection_season2	spring	1.09188166091531	0.553536872206799	462	383	0.0491797791857029	0.161817337965861
Gemella	WAZ0_2	middle	0.749223509932061	0.378405536062802	462	70	0.0514120876486425	0.163876029380048
Corynebacterium	collection_season2	spring	0.837898202742425	0.442438004829487	462	392	0.0589107050768162	0.182087633873796
Porphyromonas	WAZ0_2	middle	1.15448186079376	0.624124978422043	462	95	0.0683002576476521	0.186055360336521
Alloprevotella	collection_season2	autumn	-0.623017316894979	0.338099203438314	462	82	0.0660351295558961	0.186055360336521
ASV_35	WAZ0_2	middle	0.82096165013929	0.44482629518001	462	57	0.0689258440279231	0.186055360336521
Helcococcus	collection_season2	winter	0.32266996245683	0.177188688251592	462	66	0.0693147420861549	0.186055360336521
Haemophilus	age_days_numeric	age_days_numeric	0.346138220500019	0.185894748033221	462	383	0.0633682986092956	0.186055360336521
Porphyromonas	collection_season2	autumn	-0.612304840866138	0.343389631034054	462	95	0.0752537265500197	0.196817438669282
Helcococcus	collection_season2	spring	0.310229723961058	0.176577858583794	462	66	0.0796773401727611	0.203177217440541
Prevotella	collection_season2	autumn	-0.408164846500436	0.245425929931909	462	59	0.0970225398662424	0.24137314795992
Moraxella	collection_season2	autumn	0.433701407425511	0.278457453233635	462	459	0.120070724340464	0.291600330541126
Prevotella	collection_season2	winter	-0.325760288730784	0.21992435180841	462	59	0.139244450397816	0.325621354795865
Gemella	WAZ0_2	low	0.597205084604898	0.400784947959591	462	70	0.140464113833511	0.325621354795865
Staphylococcus	collection_season2	spring	-0.4017271493393	0.288505268778893	462	79	0.164468752429017	0.372795838839106
Prevotella	collection_season2	spring	-0.283965269089308	0.220536812660357	462	59	0.19855578095911	0.430908290592112
Haemophilus	collection_season2	autumn	-0.79733473021381	0.614561473095386	462	383	0.19519820000571	0.430908290592112
