feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.36459465266954	0.278562761967876	462	59	1.34670320852091e-06	5.98928646297031e-05
Neisseria	collection_season2	winter	-1.94899146534727	0.398610680504724	462	133	1.40924387364007e-06	5.98928646297031e-05
Helcococcus	age_days_numeric	age_days_numeric	0.258753754458662	0.0589610362589236	462	66	1.47103453775489e-05	0.000416793119030551
Porphyromonas	collection_season2	winter	-1.1915234038344	0.303700555198135	462	95	0.000100780602734767	0.0021415878081138
Alloprevotella	collection_season2	winter	-1.1244843625614	0.296538971844121	462	82	0.000169646368139513	0.00252505163368347
ASV_22	age_days_numeric	age_days_numeric	-0.426234813455467	0.11262598964624	462	177	0.000178238938848245	0.00252505163368347
Streptococcus	collection_season2	winter	-1.52442469697085	0.414830752276209	462	399	0.000266315646091829	0.00323383284540079
ASV_35	collection_season2	winter	-0.819160835322902	0.227459387592504	462	57	0.000351409924453552	0.00373373044731899
Gemella	collection_season2	winter	-0.842621579574803	0.23689713945497	462	70	0.00041802055373673	0.00394797189640245
Corynebacterium	collection_season2	winter	1.48965497686374	0.437324754122054	462	392	0.000718070904888121	0.00610360269154903
Fusobacterium	collection_season2	winter	-1.10052181295027	0.331275773943428	462	78	0.000966065775437249	0.00746505371928783
Neisseria	collection_season2	autumn	-1.47428052497878	0.454507846963842	462	133	0.00126768003646344	0.00828867716149172
Neisseria	collection_season2	spring	-1.31134171814211	0.403821170758401	462	133	0.0012508511195033	0.00828867716149172
Corynebacterium	collection_season2	autumn	1.4888596061314	0.487749156023717	462	392	0.00241101107639191	0.0146382815352366
Prevotella	age_days_numeric	age_days_numeric	-0.226805921168687	0.0754227998581917	462	59	0.00280751774024505	0.015909267194722
Fusobacterium	collection_season2	autumn	-1.0895316237076	0.370891756661583	462	78	0.00348417454748713	0.0174208727374357
Streptobacillus	collection_season2	spring	-0.833212186270643	0.282045642341864	462	59	0.00329724087058238	0.0174208727374357
ASV_35	age_days_numeric	age_days_numeric	-0.230124352731662	0.0807185021232287	462	57	0.00459030255726184	0.0216764287426254
ASV_35	collection_season2	spring	-0.643722617739177	0.229742279018352	462	57	0.00529645801006732	0.0236946805713538
ASV_35	collection_season2	autumn	-0.67155797031356	0.257747802166173	462	57	0.00948108704397905	0.040294619936911
Corynebacterium	age_days_numeric	age_days_numeric	-0.385015714721359	0.149528829754088	462	392	0.0103955747825593	0.0420773265008351
Streptobacillus	age_days_numeric	age_days_numeric	-0.238193655557799	0.100032982311738	462	59	0.0177374838392301	0.0685311875606616
Corynebacterium	daycare_prior_sampling	yes	-1.72354441265607	0.740433533777271	462	392	0.0209780020333193	0.0725246657777077
Porphyromonas	collection_season2	spring	-0.707426565914537	0.306231522952898	462	95	0.021330784052267	0.0725246657777077
Streptococcus	collection_season2	spring	-0.973359477604286	0.418124767949427	462	399	0.0203567310666596	0.0725246657777077
Alloprevotella	collection_season2	spring	-0.669239944768968	0.299934969026103	462	82	0.0261479915011233	0.0854838183690568
Gemella	collection_season2	autumn	-0.568525749204055	0.275044916181161	462	70	0.0392953195141386	0.108684827825515
Fusobacterium	collection_season2	spring	-0.687807196464609	0.332703278454649	462	78	0.0392809355172793	0.108684827825515
Streptobacillus	collection_season2	autumn	-0.662069288151199	0.317258442275872	462	59	0.0374646356417683	0.108684827825515
ASV_22	collection_season2	autumn	-0.765847968803643	0.371044063953203	462	177	0.0396379960304819	0.108684827825515
Haemophilus	collection_season2	spring	1.14317347247915	0.55097856860062	462	383	0.0385886324010216	0.108684827825515
Gemella	collection_season2	spring	-0.476752704728155	0.242158412614052	462	70	0.0495970267357375	0.131742102266803
Corynebacterium	collection_season2	spring	0.841293802355288	0.438429297359704	462	392	0.0556476200329411	0.143334778872727
Helcococcus	collection_season2	winter	0.326967996326676	0.176835279472552	462	66	0.065161194470946	0.162902986177365
Helcococcus	collection_season2	spring	0.31735767253975	0.176379380116506	462	66	0.0727011327296429	0.17655989377199
Alloprevotella	collection_season2	autumn	-0.590078648642202	0.337007024989874	462	82	0.0806401615764615	0.190400381499978
Porphyromonas	collection_season2	autumn	-0.567521634125094	0.342925231327401	462	95	0.0986441101189345	0.218168729673249
Haemophilus	age_days_numeric	age_days_numeric	0.312565497628076	0.187576394857414	462	383	0.0964467173751481	0.218168729673249
Moraxella	collection_season2	autumn	0.457612477874407	0.27770648701069	462	459	0.100100946555961	0.218168729673249
Streptobacillus	daycare_prior_sampling	yes	0.644045237152571	0.3920597002256	462	59	0.102870170453413	0.218599112213502
Prevotella	collection_season2	autumn	-0.381827153616331	0.244949577978836	462	59	0.119775192460764	0.248314423394266
ASV_22	daycare_prior_sampling	yes	-0.916661960991207	0.629027036372426	462	177	0.146263373209192	0.29600920768527
Staphylococcus	collection_season2	spring	-0.389921324159525	0.286366616598069	462	79	0.173993366414018	0.343940375469571
