feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.32255870595273	0.281116266327276	462	59	3.3828208515474e-06	0.000143769886190765
Neisseria	collection_season2	winter	-1.91556028579507	0.401080900621856	462	133	2.42291715715821e-06	0.000143769886190765
Helcococcus	age_days_numeric	age_days_numeric	0.258994113280659	0.0587590769948068	462	66	1.35811390943201e-05	0.000384798941005735
ASV_22	age_days_numeric	age_days_numeric	-0.470463632681811	0.112218391463858	462	177	3.43080481485916e-05	0.000729046023157571
Alloprevotella	collection_season2	winter	-1.18266384624886	0.297569072008794	462	82	8.20611801989353e-05	0.0013950400633819
Prevotella	first_INH_upto_100days_post	yes	1.79705968254796	0.45846292349195	462	59	0.000102640250592342	0.00145407021672485
Porphyromonas	collection_season2	winter	-1.15766148718046	0.305370194452523	462	95	0.000170197986803815	0.00206668983976061
Streptococcus	collection_season2	winter	-1.50322181078477	0.417552759217305	462	399	0.00035301787229748	0.00375081489316072
Gemella	collection_season2	winter	-0.841123891217375	0.238432830887235	462	70	0.000465632230693149	0.00439763773432418
ASV_35	collection_season2	winter	-0.770869546643653	0.228244275166949	462	57	0.00079481016672403	0.00675588641715425
Fusobacterium	collection_season2	winter	-1.0949472352697	0.33349197492457	462	78	0.00110572794949135	0.00854426142788768
Corynebacterium	collection_season2	winter	1.43429043434586	0.442633635094218	462	392	0.00128301371389996	0.0090880138067914
Neisseria	collection_season2	autumn	-1.43788861323865	0.459071533308538	462	133	0.00184762684978849	0.0119123791290133
Neisseria	collection_season2	spring	-1.27364649243399	0.409008461861583	462	133	0.00196203891536689	0.0119123791290133
Corynebacterium	age_days_numeric	age_days_numeric	-0.448050985289931	0.150374961468019	462	392	0.00306970031077307	0.017394968427714
Corynebacterium	collection_season2	autumn	1.45825031444304	0.497327649308747	462	392	0.00354504301651594	0.0188330410252409
Fusobacterium	collection_season2	autumn	-1.08382455737352	0.375892947594538	462	78	0.00412901095447249	0.0206450547723624
Streptobacillus	collection_season2	spring	-0.792967374290376	0.286232413157605	462	59	0.00582841633226466	0.0275230771245831
ASV_35	age_days_numeric	age_days_numeric	-0.206022872394371	0.0810714755061279	462	57	0.011435738681368	0.0510097506487951
ASV_35	collection_season2	spring	-0.585768220311191	0.232244354479883	462	57	0.0120022942703047	0.0510097506487951
Alloprevotella	collection_season2	spring	-0.749761471625931	0.302774946254662	462	82	0.0136379078869091	0.0552010557327275
Prevotella	age_days_numeric	age_days_numeric	-0.182745588939905	0.0744603789218312	462	59	0.0145574867390508	0.0562448351281509
ASV_35	collection_season2	autumn	-0.6085305796433	0.26039083234184	462	57	0.0198765700621022	0.0734568893599428
Streptococcus	collection_season2	spring	-0.953530801797907	0.423059662751835	462	399	0.0246828575634483	0.0874184538705459
ASV_22	collection_season2	autumn	-0.820992739884923	0.376447953484688	462	177	0.0297506773687018	0.101152303053586
Porphyromonas	collection_season2	spring	-0.657152155667202	0.309689330397155	462	95	0.0343835199302637	0.112407661310478
Streptobacillus	age_days_numeric	age_days_numeric	-0.209690161470357	0.100125157270514	462	59	0.0368838757794917	0.116115905231733
Fusobacterium	collection_season2	spring	-0.683900843029753	0.336530436258827	462	78	0.0427288033921688	0.126863783209227
Haemophilus	collection_season2	spring	1.13060493785901	0.557799944561493	462	383	0.0432829378007952	0.126863783209227
Alloprevotella	collection_season2	autumn	-0.674042524131388	0.339464307747679	462	82	0.0476820944780135	0.130741226794553
Gemella	collection_season2	autumn	-0.553814023030659	0.277458055835687	462	70	0.0465254322154572	0.130741226794553
Streptobacillus	collection_season2	autumn	-0.63204707968567	0.321024994682996	462	59	0.0495822810973639	0.131702934164873
Gemella	collection_season2	spring	-0.459051031137618	0.245803849803018	462	70	0.0624754130794286	0.160921518537922
Helcococcus	collection_season2	winter	0.32633121660542	0.177972340155732	462	66	0.0674206987771111	0.166164373403091
Haemophilus	age_days_numeric	age_days_numeric	0.343204098921645	0.187813397010635	462	383	0.0684206243424493	0.166164373403091
Corynebacterium	collection_season2	spring	0.802762528846216	0.445662517690447	462	392	0.072348763022345	0.170823468247203
Helcococcus	collection_season2	spring	0.316335302094046	0.178020200586189	462	66	0.0763120106230013	0.175311375755544
Alloprevotella	first_INH_upto_100days_post	yes	-1.04125023504713	0.613597431084098	462	82	0.0904953504797134	0.202423810283569
Staphylococcus	first_INH_upto_100days_post	yes	-0.968817563341037	0.57594378203501	462	79	0.0934142332497741	0.203595123749508
ASV_35	first_INH_upto_100days_post	yes	0.781912598084692	0.470607937779915	462	57	0.0974138998519872	0.207004537185473
Staphylococcus	collection_season2	spring	-0.472113259766745	0.289440086361643	462	79	0.103554446729132	0.214686048096981
Moraxella	collection_season2	autumn	0.425042931397892	0.280977752948758	462	459	0.131059159780846	0.26523877574695
Porphyromonas	collection_season2	autumn	-0.508395903349591	0.346675671443059	462	95	0.143218455065825	0.283106248385933
Fusobacterium	age_days_numeric	age_days_numeric	-0.140698379924316	0.114393991537435	462	78	0.219467418527896	0.41454956833047
Haemophilus	collection_season2	autumn	-0.768455576351376	0.622305808565196	462	383	0.217560681089863	0.41454956833047
Dolosigranulum	first_INH_upto_100days_post	yes	-1.01495531779714	0.849722250152671	462	396	0.232960803283656	0.430471049545885
ASV_22	first_INH_upto_100days_post	yes	-0.822575517827786	0.731457980279218	462	177	0.261367956310926	0.472686729498483
Porphyromonas	first_INH_upto_100days_post	yes	0.681632379296489	0.635672136939086	462	95	0.284206134884882	0.503281697191979
Alloprevotella	age_days_numeric	age_days_numeric	0.106944211846615	0.105682147618291	462	82	0.31219671294585	0.541565726538719
