feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	first_hosp_upto_100days_post	yes	-3.52220725630115	0.407247975938222	462	459	5.38956870861791e-16	4.58113340232522e-14
Streptobacillus	collection_season2	winter	-1.36050327852901	0.278772847094666	462	59	1.46986767279236e-06	4.16462507291167e-05
Neisseria	collection_season2	winter	-1.95062423926373	0.397491274385562	462	133	1.29260173687387e-06	4.16462507291167e-05
Helcococcus	age_days_numeric	age_days_numeric	0.259382904339194	0.0581363558241318	462	66	1.07219759272764e-05	0.000227841988454623
ASV_22	age_days_numeric	age_days_numeric	-0.453424509663867	0.11100559896802	462	177	5.38076618444453e-05	0.000914730251355569
Porphyromonas	collection_season2	winter	-1.20348105515566	0.303307521926355	462	95	8.42128136211673e-05	0.0011930148596332
Alloprevotella	collection_season2	winter	-1.12887882959265	0.295763070193275	462	82	0.000153963800082562	0.00186956042957397
Streptococcus	collection_season2	winter	-1.5200892787921	0.414277430813663	462	399	0.000272001357363752	0.00289001442198986
Gemella	collection_season2	winter	-0.854998067466315	0.236710592440896	462	70	0.000340802266504697	0.00321868807254436
ASV_35	collection_season2	winter	-0.81260833298444	0.22740225314532	462	57	0.000390005218729129	0.00331504435919759
Neisseria	collection_season2	autumn	-1.55461696598606	0.455958546993148	462	133	0.00070918287912328	0.00548004952049808
Corynebacterium	collection_season2	winter	1.48395833792116	0.439255781242314	462	392	0.000793069953695972	0.0056175788386798
Fusobacterium	collection_season2	winter	-1.10401182926313	0.331199461805156	462	78	0.000928489724433057	0.0060708943520623
Neisseria	collection_season2	spring	-1.312178051012	0.402827925093715	462	133	0.00120823092116512	0.00733568773564538
Corynebacterium	collection_season2	autumn	1.58612073074285	0.493060786616221	462	392	0.00139433826404057	0.00790125016289654
Fusobacterium	collection_season2	autumn	-1.11685589741201	0.373295306753079	462	78	0.00293068365159852	0.0155692568991171
Corynebacterium	age_days_numeric	age_days_numeric	-0.43782231900633	0.148626215079867	462	392	0.00341888547334468	0.0158368264476417
