feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.3687013242923	0.281055541673904	462	59	1.54570180711835e-06	7.88307921630359e-05
Neisseria	collection_season2	winter	-1.99812818061921	0.399419581011849	462	133	8.13079573857532e-07	7.88307921630359e-05
Helcococcus	age_days_numeric	age_days_numeric	0.258879268257475	0.0580562360717567	462	66	1.08352552918721e-05	0.000368398679923651
ASV_22	age_days_numeric	age_days_numeric	-0.453690623385732	0.110900261266728	462	177	5.24210805607704e-05	0.00133673755429964
Porphyromonas	collection_season2	winter	-1.19432852949076	0.305345233131654	462	95	0.000105761119463938	0.00215752683706433
Alloprevotella	collection_season2	winter	-1.12616519366192	0.298312660599803	462	82	0.00018119386883301	0.00308029577016117
Streptococcus	collection_season2	winter	-1.53429110640905	0.416878368614815	462	399	0.000260767684017568	0.00379975768139885
Gemella	collection_season2	winter	-0.833265887370012	0.239092444112843	462	70	0.000543171615386403	0.0063408008110304
ASV_35	collection_season2	winter	-0.794957248174606	0.228752359380352	462	57	0.000559482424502682	0.0063408008110304
Neisseria	collection_season2	spring	-1.35614730712883	0.403382552660644	462	133	0.000839295555394505	0.00856081466502395
Fusobacterium	collection_season2	winter	-1.0939512962396	0.332708355420522	462	78	0.00108810498953611	0.00924889241105691
Neisseria	collection_season2	autumn	-1.5012664665735	0.456520710052089	462	133	0.00108656806721236	0.00924889241105691
Corynebacterium	collection_season2	winter	1.42220251066177	0.440644923525046	462	392	0.0013407266025494	0.00988250704031473
Staphylococcus	income2	middle	1.27611866706991	0.383079122248113	462	79	0.00135642253494516	0.00988250704031473
Corynebacterium	age_days_numeric	age_days_numeric	-0.436343545874038	0.148876142078577	462	392	0.00358308565789006	0.0196712868046882
Corynebacterium	collection_season2	autumn	1.44456506762214	0.491797482272774	462	392	0.003491127858988	0.0196712868046882
Prevotella	age_days_numeric	age_days_numeric	-0.222567094858873	0.0747525250581852	462	59	0.00309193599771856	0.0196712868046882
Fusobacterium	collection_season2	autumn	-1.08837323096055	0.372502673536989	462	78	0.00366425930675565	0.0196712868046882
Streptobacillus	collection_season2	spring	-0.846954803136969	0.283303820066404	462	59	0.00294522237311708	0.0196712868046882
ASV_35	age_days_numeric	age_days_numeric	-0.222711626694566	0.0802635640923137	462	57	0.00579454594141706	0.029445114686993
ASV_35	collection_season2	spring	-0.63502735527551	0.230303894759844	462	57	0.0060622294943809	0.029445114686993
ASV_35	collection_season2	autumn	-0.658052177920764	0.259460263114221	462	57	0.0115477974799457	0.053539788316112
Porphyromonas	collection_season2	spring	-0.715251817038788	0.306890226791771	462	95	0.0202113118181061	0.0896327741498618
