feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptobacillus	collection_season2	winter	-1.3489672487529	0.279214129631371	462	59	1.86454828452788e-06	0.000221554165558264
Neisseria	collection_season2	winter	-1.88889159853574	0.398592639083497	462	133	2.89613288311457e-06	0.000221554165558264
Porphyromonas	collection_season2	winter	-1.18066721833033	0.304761967436596	462	95	0.000122859728285695	0.00626584614257043
Alloprevotella	collection_season2	winter	-1.09454521208043	0.295236802831253	462	82	0.000235632317421965	0.00901293614139018
Gemella	collection_season2	winter	-0.841156966553362	0.237042227484042	462	70	0.000431603866065489	0.013207078301604
Corynebacterium	collection_season2	winter	1.52452537015803	0.441939874625315	462	392	0.000615107102861311	0.0134444838196829
Streptococcus	collection_season2	winter	-1.44701959917967	0.414901617523319	462	399	0.0005350185654365	0.0134444838196829
ASV_35	collection_season2	winter	-0.771000413597078	0.227690956231473	462	57	0.000770810704660169	0.0147417547266257
Neisseria	collection_season2	autumn	-1.47930408192183	0.454609888796178	462	133	0.0012243682901803	0.019236820035719
Neisseria	collection_season2	spring	-1.31645325795015	0.405559859834627	462	133	0.0012573084990666	0.019236820035719
Fusobacterium	collection_season2	winter	-1.04959265669676	0.332636197060914	462	78	0.00171083102337212	0.0237961042341759
Corynebacterium	collection_season2	autumn	1.53540856499984	0.491817504091717	462	392	0.00192038212573184	0.024484872103081
Streptobacillus	collection_season2	spring	-0.841443483790121	0.283471822415049	462	59	0.003153209239367	0.0371108472017808
Alloprevotella	timepoint_month	M08	2.63894386128031	0.899455162291854	462	82	0.00352442105448538	0.0385168872383045
Fusobacterium	collection_season2	autumn	-1.07245754815963	0.371770741641933	462	78	0.00411530275414895	0.0419760880923193
Alloprevotella	timepoint_month	M10	7.45091047352718	2.75128640921338	462	82	0.00702930718752538	0.0632637646877284
Alloprevotella	timepoint_month	M12	11.7869842494667	4.33186412909207	462	82	0.00676612550761005	0.0632637646877284
Alloprevotella	timepoint_month	M11	9.47660669160647	3.5302402390627	462	82	0.0075396638069326	0.0640871423589271
ASV_35	collection_season2	spring	-0.613757517208442	0.230842723669839	462	57	0.00812162633485948	0.0654004646965
Alloprevotella	age_days_numeric	age_days_numeric	-3.88553487688093	1.49888237790406	462	82	0.0098504871946413	0.075356227039006
ASV_35	collection_season2	autumn	-0.647105294768685	0.257786447428809	462	57	0.0124216766070388	0.0905007867084258
Alloprevotella	timepoint_month	M09	4.50607630950834	1.8205520980974	462	82	0.0136954264781333	0.0952454659615632
Neisseria	timepoint_month	M12	14.0070809590134	5.87624041910838	462	133	0.0175595884245887	0.116809436041829
Streptococcus	collection_season2	spring	-0.974354242106546	0.419648913603138	462	399	0.020689185309026	0.120503453471799
Neisseria	age_days_numeric	age_days_numeric	-4.72236428733986	2.03319323741458	462	133	0.0206495268739223	0.120503453471799
Neisseria	timepoint_month	M08	2.86305188335829	1.22123386864826	462	133	0.0195045062486738	0.120503453471799
Neisseria	timepoint_month	M10	8.57627536274552	3.73241808889565	462	133	0.022038646785178	0.120503453471799
Neisseria	timepoint_month	M11	11.002692404168	4.78893027162294	462	133	0.0220529195896102	0.120503453471799
Alloprevotella	collection_season2	spring	-0.680868866903136	0.299756101222324	462	82	0.0235918444022401	0.124467317018715
Neisseria	timepoint_month	M09	5.56413572183583	2.47008340836486	462	133	0.0247724016964707	0.126339248652
Porphyromonas	collection_season2	spring	-0.689062399906724	0.308396097501527	462	95	0.0259518771379761	0.128085071035817
Streptobacillus	collection_season2	autumn	-0.696670288972546	0.317026207066741	462	59	0.0284999724071951	0.136265493071902
Gemella	collection_season2	autumn	-0.575385690658388	0.275253142768888	462	70	0.0371414201189698	0.167136390535364
Gemella	timepoint_month	M08	1.55406637002649	0.742766965381852	462	70	0.036976717455858	0.167136390535364
Haemophilus	collection_season2	spring	1.15203061160904	0.556722288148893	462	383	0.0391088532975436	0.17096155870069
ASV_35	age_days_numeric	age_days_numeric	-2.35127004556987	1.15218415895474	462	57	0.0418785649989396	0.173282964304512
