feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.33776348939975	0.187671247828423	210	138	4.66801272913723e-11	7.00201909370584e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.23711180984979	0.188381050741908	210	178	8.98390383776357e-10	6.73792787832268e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.896776901284138	0.141700677372962	210	32	1.55386034855061e-09	7.76930174275307e-08
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.718843347712165	0.120339339185884	210	39	1.7653995060611e-08	6.62024814772913e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.944850186917678	0.200049029574269	210	104	5.46608933533884e-06	0.000163982680060165
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.612653897452296	0.170266804116128	210	83	0.00044282996725894	0.0110707491814735
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.550280965526886	0.155705272947008	210	128	0.000552646063342434	0.0114950415567589
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.535167010323325	0.152742222468902	210	108	0.000613068883027143	0.0114950415567589
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.04575392177755	0.600164058905728	210	138	0.000815753460613664	0.0135958910102277
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.596542237639687	0.186218708998183	210	62	0.0016781331657436	0.025171997486154
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.03920465123306	0.676799492088347	210	138	0.00302384766709856	0.0412342863695259
ASV_14_Corynebacterium_nan	HAZ12_2	low	-1.58418453467313	0.533782402037859	210	32	0.00335933641437064	0.041991705179633
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.311208962672668	0.108803135681404	210	29	0.00467500959296676	0.0539424183803857
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.530430178357396	0.188257091300843	210	120	0.00553272959470274	0.057168105476269
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.259222999727611	0.0924041099911561	210	37	0.0057168105476269	0.057168105476269
ASV_14_Corynebacterium_nan	collection_season2	winter	-1.02492970704151	0.385509019815475	210	32	0.00847120125233172	0.0794175117406099
ASV_2_Haemophilus_nan	collection_season2	spring	1.54072397750882	0.593751617410157	210	104	0.0103661557745981	0.0914660803641005
ASV_2_Haemophilus_nan	collection_season2	winter	1.67769786045467	0.664064962197286	210	104	0.0126548665876757	0.105457221563964
ASV_18_Klebsiella_nan	collection_season2	spring	-0.67139394654484	0.2703969629607	210	29	0.0138388467902039	0.109254053606873
ASV_14_Corynebacterium_nan	HAZ12_2	middle	-1.21848973674011	0.508260108012495	210	32	0.0174192124780838	0.123890066810129
ASV_4_Corynebacterium_nan	collection_season2	spring	1.49002457320485	0.625157865694083	210	136	0.0181705431321522	0.123890066810129
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.246098903411057	0.102587097904869	210	32	0.0177177515289179	0.123890066810129
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.338154660450723	0.144987266396633	210	35	0.0210575209994165	0.137331658691847
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.795839294619749	0.352153755231079	210	32	0.0248879315275841	0.148661660735582
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.246862207077934	0.108853348826524	210	83	0.024883700708477	0.148661660735582
ASV_39_Gemella_nan	collection_season2	winter	0.91307895696986	0.40567108806788	210	83	0.0257680211941675	0.148661660735582
ASV_18_Klebsiella_nan	HAZ12_2	middle	-0.823679988292728	0.39026132068498	210	29	0.0360321885662815	0.20017882536823
