feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.3417995787086	0.187652736615258	210	138	4.16835215798597e-11	6.25252823697896e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.23356138639029	0.188625199977675	210	178	1.04518942103884e-09	7.83892065779129e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.895293064505603	0.143871531309127	210	32	4.99646613618084e-09	2.49823306809042e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.71980952177561	0.120497290130121	210	39	1.77665144502824e-08	6.66244291885591e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.936675092171083	0.200277854828308	210	104	6.6726757434499e-06	0.000200180272303497
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.617824786944471	0.170393683162543	210	83	0.000402023305491451	0.0100505826372863
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.547479048545363	0.155959413146826	210	128	0.000600810967705977	0.0112652056444871
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.537364421430628	0.15290690648624	210	108	0.000591633322684663	0.0112652056444871
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.598337105587084	0.1862777877616	210	62	0.00163262156509043	0.0272103594181739
ASV_5_Staphylococcus_nan	collection_season2	spring	-1.87805717760278	0.611038101281878	210	138	0.00245545995310066	0.0368318992965099
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.5295893945273	0.188477106150139	210	120	0.00566355298740016	0.0653486883161556
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.94208684994601	0.687170937531248	210	138	0.00531411736020045	0.0653486883161556
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.260766406393901	0.0925908951416143	210	37	0.00553799450248189	0.0653486883161556
ASV_18_Klebsiella_nan	collection_season2	spring	-0.764185038037594	0.278638501958675	210	29	0.00664107698408717	0.0711543962580768
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.295815780877475	0.10949248336472	210	29	0.00748208616229488	0.0748208616229488
ASV_2_Haemophilus_nan	collection_season2	winter	1.73862519496751	0.671355589984765	210	104	0.010613926241475	0.0995055585138282
ASV_4_Corynebacterium_nan	collection_season2	spring	1.56357646607882	0.638878224865824	210	136	0.0153063920315997	0.124016068855423
ASV_39_Gemella_nan	collection_season2	winter	0.998077399973766	0.408851368716482	210	83	0.0157087020550202	0.124016068855423
ASV_2_Haemophilus_nan	collection_season2	spring	1.494489356197	0.602517522102945	210	104	0.0141616937524164	0.124016068855423
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.950710989896143	0.404028848083886	210	32	0.0203505721776856	0.137986273518981
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.338519393395649	0.145251202724907	210	35	0.0211578952729104	0.137986273518981
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.253837000023642	0.10868074611124	210	83	0.0209429206920222	0.137986273518981
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.240464442997088	0.102731033217666	210	32	0.0206188805766768	0.137986273518981
