feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.33867755966531	0.187613448024453	210	138	4.48663666620367e-11	4.48663666620367e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.23605162472849	0.188337923597323	210	178	9.15793009748098e-10	4.57896504874049e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.886551044009239	0.143325292761162	210	32	5.9224799978079e-09	1.9741599992693e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.721063673848151	0.120300782306042	210	39	1.5955382754194e-08	3.98884568854851e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.941861591343067	0.199974952893652	210	104	5.77849627100935e-06	0.000115569925420187
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.613158331998979	0.170225198416361	210	83	0.00043680469700838	0.007280078283473
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.546588789370536	0.155680389698113	210	128	0.000598783758298855	0.00791444148941905
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.53359497596078	0.152702986088338	210	108	0.000633155319153524	0.00791444148941905
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.02769328367237	0.599258094627726	210	138	0.000885014123652393	0.00983349026280437
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.594724962586117	0.186160611474277	210	62	0.00172602753992411	0.0172602753992411
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.99495147434529	0.675469583365156	210	138	0.00362359194291045	0.0329417449355496
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.530017474729365	0.188185715852991	210	120	0.00555038226683376	0.0396455876202412
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.2603148474814	0.0923526648650199	210	37	0.00549511199680045	0.0396455876202412
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.307269647709529	0.109441502619034	210	29	0.00547291810631958	0.0396455876202412
ASV_2_Haemophilus_nan	collection_season2	spring	1.56331346212099	0.589078980593859	210	104	0.00877365555858278	0.0584910370572186
ASV_14_Corynebacterium_nan	collection_season2	winter	-1.02302645866998	0.393838691602109	210	32	0.0106433092865962	0.0665206830412264
ASV_18_Klebsiella_nan	collection_season2	spring	-0.692228752035443	0.271608683408727	210	29	0.011546735330658	0.0671211317263164
ASV_2_Haemophilus_nan	collection_season2	winter	1.67359715380041	0.658134350811249	210	104	0.0120818037107369	0.0671211317263164
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.855361240378377	0.359290019477209	210	32	0.0187056087477781	0.0890801595898946
ASV_4_Corynebacterium_nan	collection_season2	spring	1.48963463380394	0.628034265636112	210	136	0.0187068335138779	0.0890801595898946
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.246634088740403	0.102560983266465	210	32	0.0174478002816375	0.0890801595898946
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.334215145904123	0.144971874894745	210	35	0.0225606662662588	0.102548483028449
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.246951075621549	0.108862575079775	210	83	0.0248431855443059	0.108013850192635
ASV_39_Gemella_nan	collection_season2	winter	0.887723807859474	0.401844600492906	210	83	0.0285804811388359	0.119085338078483
ASV_28_Corynebacterium_nan	collection_season2	winter	-0.83114065226993	0.439361241686318	210	35	0.0608183737894764	0.243273495157906
