feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.33812800461251	0.187702676923903	210	138	4.65802248033408e-11	6.98703372050112e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.23329681167423	0.188587043105655	210	178	1.03949139046403e-09	7.79618542848022e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.885653029015891	0.143322356235828	210	32	6.10993546221176e-09	3.05496773110588e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.719394226055079	0.120357047268491	210	39	1.73379844868118e-08	6.50174418255444e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.942695679843508	0.200037950406154	210	104	5.71597555036495e-06	0.000171479266510949
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.614276373909102	0.170300537489225	210	83	0.00042939612591655	0.0107349031479137
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.545484304622727	0.155745888581005	210	128	0.000616934118358284	0.0116962391302103
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.534445199411219	0.152754655551724	210	108	0.000623799420277882	0.0116962391302103
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.04149856558963	0.604916523393655	210	138	0.000913504048675047	0.0152250674779175
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.59462220065876	0.1862280690929	210	62	0.0017359420459725	0.0260391306895875
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.531392269873854	0.188236276305613	210	120	0.00544481363895028	0.059492094514799
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.97067225385811	0.684421059249478	210	138	0.00454083257692878	0.059492094514799
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.259921655104499	0.0923299583262	210	37	0.0055525954880479	0.059492094514799
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.308192143928033	0.109749183737971	210	29	0.00546903477380506	0.059492094514799
ASV_14_Corynebacterium_nan	collection_season2	winter	-1.06080011418268	0.402781747143755	210	32	0.00963485064448967	0.0963485064448967
ASV_2_Haemophilus_nan	collection_season2	spring	1.53774497349907	0.597681083238484	210	104	0.0110099335606088	0.103218127130708
ASV_2_Haemophilus_nan	collection_season2	winter	1.67140663408734	0.670761895701168	210	104	0.013876331468329	0.122438218838197
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.873881835857182	0.365722647260162	210	32	0.0182807682791433	0.130603385853406
ASV_4_Corynebacterium_nan	collection_season2	spring	1.50907942246444	0.633869896149074	210	136	0.0182844740194768	0.130603385853406
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.246785803797202	0.102621260780863	210	32	0.0174461537068434	0.130603385853406
ASV_18_Klebsiella_nan	collection_season2	spring	-0.658718677669921	0.274784854802657	210	29	0.017426524330978	0.130603385853406
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.334088897924129	0.145069847373275	210	35	0.0227024692358173	0.154789562971482
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.246406101331108	0.108941854103606	210	83	0.025266858152582	0.164783857516839
ASV_39_Gemella_nan	collection_season2	winter	0.878688643815024	0.408184457706164	210	83	0.0328364835243197	0.205228022026998
