feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.33237240450629	0.187692762203844	210	138	5.47703758102065e-11	6.84629697627581e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.23347807281271	0.188399561370624	210	178	9.95711298714513e-10	6.22319561696571e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.881199985700603	0.14332442807084	210	32	7.11913780979811e-09	2.96630742074921e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.716214053123927	0.120195856301295	210	39	1.88902607224599e-08	5.90320647576871e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.949915459989898	0.199979489571293	210	104	4.86436245999075e-06	0.000121609061499769
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.614939140752202	0.170299216474045	210	83	0.000423481394244062	0.0088225290467513
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.542782633861442	0.155693435734943	210	128	0.000652189925972566	0.0101904675933214
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.534666913524002	0.152792077471757	210	108	0.000622545467009536	0.0101904675933214
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.02974667676519	0.597273167312387	210	138	0.000844425128773032	0.0117281267885143
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.59556010505566	0.186248470728874	210	62	0.00170986435477178	0.0213733044346472
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.530150598665213	0.188270775912652	210	120	0.00556026352823373	0.0535705443617565
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.260031641492842	0.0924043811468809	210	37	0.00557133661362267	0.0535705443617565
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.310219977026882	0.109469187106267	210	29	0.00506108165080127	0.0535705443617565
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.88189733417672	0.678258693320925	210	138	0.00619894579519675	0.0545097200965403
ASV_2_Haemophilus_nan	collection_season2	winter	1.8189929036021	0.658773170867847	210	104	0.00654116641158484	0.0545097200965403
ASV_2_Haemophilus_nan	collection_season2	spring	1.56709559869183	0.584954201499789	210	104	0.00818173617762252	0.0639198138876759
ASV_24_Streptococcus_nan	mom_smoke	yes	1.20016290446163	0.455796489606843	210	64	0.0104459959048535	0.0768087934180405
ASV_18_Klebsiella_nan	collection_season2	spring	-0.684866556106727	0.27167843384141	210	29	0.0124717093497416	0.0866090927065389
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.251023857573382	0.10254415059048	210	32	0.0155631718264703	0.102389288332041
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.867027591935638	0.357407774454271	210	32	0.0166373254971613	0.103983284357258
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.937661159019814	0.395430693295608	210	32	0.0194412855436804	0.110461849680002
ASV_4_Corynebacterium_nan	collection_season2	spring	1.47950745628571	0.62503720804105	210	136	0.0189606082195381	0.110461849680002
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.334492224724409	0.145059534829414	210	35	0.0225318851147715	0.122455897362888
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.24739009230423	0.108916469792255	210	83	0.0246642152688609	0.128459454525317
ASV_39_Gemella_nan	collection_season2	winter	0.886706899506894	0.406468079328014	210	83	0.0305920684720958	0.152960342360479
ASV_63_ASV_63_nan	mom_smoke	yes	-0.645975758488284	0.326595663572924	210	26	0.0519564616234535	0.249790680881988
