feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.33811979313428	0.187678746400853	210	138	4.63335768000401e-11	5.79169710000501e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.2319694098985	0.188351978033712	210	178	1.02786906484222e-09	6.42418165526386e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.884196860400795	0.143381610921028	210	32	6.5149759711682e-09	2.71457332132008e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.72172910519531	0.120359716666998	210	39	1.57882561839145e-08	4.93383005747327e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.942904348083931	0.200027132108646	210	104	5.68404638780514e-06	0.000142101159695128
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.613499420024866	0.17026737208776	210	83	0.000435198888932444	0.00906664351942591
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.549172163905487	0.155701038901198	210	128	0.000566289994877898	0.0101123213371053
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.532390554504244	0.152703964812031	210	108	0.000650689102014005	0.0101670172189688
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.02736718782728	0.601913210297587	210	138	0.000933621385354292	0.0129669636854763
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.590367793259752	0.186082944963309	210	62	0.00185297518880459	0.0231621898600574
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.98069072369202	0.681276759866829	210	138	0.00416928384687344	0.0473782255326528
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.530254037635625	0.188223034793511	210	120	0.00553935254962796	0.0522754528291497
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.258320796789657	0.092351277400328	210	37	0.00585485071686477	0.0522754528291497
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.307272064085705	0.109729726608086	210	29	0.00559681014270182	0.0522754528291497
ASV_2_Haemophilus_nan	collection_season2	spring	1.55061305785006	0.59213243661363	210	104	0.0096897149283172	0.0807476244026433
ASV_18_Klebsiella_nan	collection_season2	spring	-0.692209030425234	0.272818304892279	210	29	0.0119202828374191	0.0894038821558705
ASV_2_Haemophilus_nan	collection_season2	winter	1.68851751677102	0.664643713607429	210	104	0.0121589279731984	0.0894038821558705
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.984784838229705	0.397043093487287	210	32	0.0146108982125051	0.101464570920175
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.874698630070583	0.36043835836884	210	32	0.0165870406140028	0.105678688832791
ASV_4_Corynebacterium_nan	collection_season2	spring	1.51016759857026	0.62793113095789	210	136	0.0171506386922845	0.105678688832791
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.246055217124507	0.102601984772785	210	32	0.0177540197239088	0.105678688832791
ASV_39_Gemella_nan	collection_season2	winter	0.939767270291747	0.399060629290028	210	83	0.0197530979853803	0.11223351128057
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.335429448998867	0.145030116354174	210	35	0.022136840147781	0.120308913846636
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.243950699437378	0.108745034857075	210	83	0.0264551271024983	0.137787120325512
ASV_39_Gemella_nan	pets	yes	-0.755734951027424	0.383648001194135	210	83	0.0531555511652999	0.265777755826499
ASV_28_Corynebacterium_nan	collection_season2	winter	-0.851449322573513	0.44380733474816	210	35	0.0572962085705884	0.275462541204752
ASV_63_ASV_63_nan	collection_season2	autumn	-0.532727355361439	0.320413897940628	210	26	0.0979313924703013	0.421929150366048
ASV_35_ASV_35_nan	collection_season2	winter	0.559294032993382	0.341749382482027	210	32	0.103945152588654	0.421929150366048
ASV_176_Veillonella_nan	age_days_numeric	age_days_numeric	-0.1239311830281	0.0734195158000213	210	18	0.0935554018312933	0.421929150366048
ASV_18_Klebsiella_nan	collection_season2	winter	-0.489224552854465	0.300132439454597	210	29	0.10463842929078	0.421929150366048
ASV_3_Haemophilus_nan	pets	yes	1.34123872721406	0.791672712222599	210	62	0.0947858386614118	0.421929150366048
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.96748477859951	0.641306710216695	210	136	0.13303693821872	0.519675539916874
ASV_10_Streptococcus_nan	collection_season2	spring	-0.726165205920338	0.489839306030561	210	108	0.140045505377487	0.530475399157149
ASV_24_Streptococcus_nan	pets	yes	-0.557738169570212	0.391799982581124	210	64	0.159140349148058	0.568358389814495
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.148845995555819	0.104877301449181	210	25	0.157973029138041	0.568358389814495
ASV_63_ASV_63_nan	collection_season2	winter	-0.435550359363811	0.316214140443478	210	26	0.170754789915013	0.576874290253422
ASV_1_Moraxella_nan	pets	yes	0.91382956035916	0.658985107334004	210	178	0.170100393749396	0.576874290253422
ASV_63_ASV_63_nan	collection_season2	spring	-0.365416520898319	0.283319037427339	210	26	0.199134064311808	0.65504626418358
ASV_35_ASV_35_nan	collection_season2	spring	0.385722108164167	0.30439288353055	210	32	0.206949707249939	0.663300343749804
ASV_4_Corynebacterium_nan	collection_season2	winter	0.87216587228173	0.71552578203056	210	136	0.224497573617743	0.669647987551463
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.108651108756737	0.0902017074586943	210	29	0.230358907717703	0.669647987551463
ASV_6_Dolosigranulum_pigrum	pets	yes	-0.768973384579099	0.632821118163649	210	128	0.228488850315616	0.669647987551463
ASV_100_Veillonella_massiliensis	pets	yes	-0.304335546259499	0.245420490496894	210	37	0.219216332414487	0.669647987551463
ASV_10_Streptococcus_nan	collection_season2	autumn	-0.614000227965328	0.520405076860669	210	108	0.239459249530852	0.680281958894465
ASV_40_Porphyromonas_nan	age_days_numeric	age_days_numeric	-0.118254241142203	0.102953482292384	210	41	0.252638194995586	0.686516834227136
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.306235906792761	0.26465667169044	210	29	0.248999777441686	0.686516834227136
ASV_4_Corynebacterium_nan	pets	yes	0.786364036055362	0.729428473194749	210	136	0.284777749889719	0.724397574580799
ASV_40_Porphyromonas_nan	pets	yes	-0.409404613729004	0.378775899909155	210	41	0.283570774234795	0.724397574580799
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	0.590182321414316	0.540496329539541	210	128	0.276265249937315	0.724397574580799
ASV_1_Moraxella_nan	collection_season2	autumn	0.683097797124538	0.64354070942966	210	178	0.289759029832319	0.724397574580799
