feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.33811979313428	0.187678746400853	210	138	4.63335768000401e-11	5.79169710000501e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.2319694098985	0.188351978033712	210	178	1.02786906484222e-09	6.42418165526386e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.884196860400795	0.143381610921028	210	32	6.5149759711682e-09	2.71457332132008e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.72172910519531	0.120359716666998	210	39	1.57882561839145e-08	4.93383005747327e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.942904348083931	0.200027132108646	210	104	5.68404638780514e-06	0.000142101159695128
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.613499420024866	0.17026737208776	210	83	0.000435198888932444	0.00906664351942591
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.549172163905487	0.155701038901198	210	128	0.000566289994877898	0.0101123213371053
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.532390554504244	0.152703964812031	210	108	0.000650689102014005	0.0101670172189688
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.02736718782728	0.601913210297587	210	138	0.000933621385354292	0.0129669636854763
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.590367793259752	0.186082944963309	210	62	0.00185297518880459	0.0231621898600574
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.98069072369202	0.681276759866829	210	138	0.00416928384687344	0.0473782255326528
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.530254037635625	0.188223034793511	210	120	0.00553935254962796	0.0522754528291497
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.258320796789657	0.092351277400328	210	37	0.00585485071686477	0.0522754528291497
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.307272064085705	0.109729726608086	210	29	0.00559681014270182	0.0522754528291497
ASV_2_Haemophilus_nan	collection_season2	spring	1.55061305785006	0.59213243661363	210	104	0.0096897149283172	0.0807476244026433
ASV_18_Klebsiella_nan	collection_season2	spring	-0.692209030425234	0.272818304892279	210	29	0.0119202828374191	0.0894038821558705
ASV_2_Haemophilus_nan	collection_season2	winter	1.68851751677102	0.664643713607429	210	104	0.0121589279731984	0.0894038821558705
ASV_14_Corynebacterium_nan	collection_season2	winter	-0.984784838229705	0.397043093487287	210	32	0.0146108982125051	0.101464570920175
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.874698630070583	0.36043835836884	210	32	0.0165870406140028	0.105678688832791
ASV_4_Corynebacterium_nan	collection_season2	spring	1.51016759857026	0.62793113095789	210	136	0.0171506386922845	0.105678688832791
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.246055217124507	0.102601984772785	210	32	0.0177540197239088	0.105678688832791
ASV_39_Gemella_nan	collection_season2	winter	0.939767270291747	0.399060629290028	210	83	0.0197530979853803	0.11223351128057
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.335429448998867	0.145030116354174	210	35	0.022136840147781	0.120308913846636
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.243950699437378	0.108745034857075	210	83	0.0264551271024983	0.137787120325512
