feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-1.34116271637013	0.187781704701436	210	138	4.34136928149708e-11	5.42671160187135e-09
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	1.23720420382532	0.188428214536094	210	178	9.02989612702608e-10	5.6436850793913e-08
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.88651157788894	0.143369209034565	210	32	5.98986171547824e-09	2.4957757147826e-07
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	0.720497436495231	0.120330760212465	210	39	1.64542309500066e-08	5.14194717187706e-07
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.939911385043761	0.199943266361686	210	104	6.00297639150079e-06	0.00015007440978752
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	0.611837498728431	0.170315301722535	210	83	0.000452030687448217	0.00941730598850452
ASV_6_Dolosigranulum_pigrum	age_days_numeric	age_days_numeric	0.542421364762084	0.155523897507394	210	128	0.000648454510120598	0.00955805127686148
ASV_10_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.5299935327256	0.152729988728786	210	108	0.000688179691934027	0.00955805127686148
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.09980983472281	0.604427863323413	210	138	0.000649260238569738	0.00955805127686148
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.596319869110007	0.186242247589058	210	62	0.00168672126850141	0.0210840158562676
ASV_5_Staphylococcus_nan	collection_season2	winter	-2.04825940039801	0.678057233798058	210	138	0.00294815995937158	0.0335018177201316
ASV_58_Porphyromonas_nan	sex	male	-0.659931600456379	0.222303481647212	210	29	0.00413021971792201	0.0430231220616876
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.530943548788341	0.1882193611363	210	120	0.00547866503958585	0.0462031030117765
ASV_100_Veillonella_massiliensis	age_days_numeric	age_days_numeric	-0.260089502559911	0.0923717528931702	210	37	0.00554437236141318	0.0462031030117765
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-0.305546061451486	0.108751727860096	210	29	0.00544337516563472	0.0462031030117765
ASV_14_Corynebacterium_nan	collection_season2	winter	-1.02925383914425	0.39737807635235	210	32	0.0108780458638998	0.0849847333117175
ASV_2_Haemophilus_nan	collection_season2	spring	1.498738860241	0.595376037937783	210	104	0.0128316565809241	0.0943504160362063
ASV_2_Haemophilus_nan	collection_season2	winter	1.62764784812798	0.662006414490986	210	104	0.0151817734096043	0.105428982011141
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	0.247673465203946	0.102567788029034	210	32	0.0169955382215403	0.111812751457502
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.862393190423557	0.364206692789546	210	32	0.019355781169977	0.120973632312356
ASV_28_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.33450619131176	0.145011568771991	210	35	0.0224817252045517	0.124034571916874
ASV_39_Gemella_nan	collection_season2	winter	0.93029856309437	0.40264717984564	210	83	0.0221495053404104	0.124034571916874
ASV_18_Klebsiella_nan	collection_season2	spring	-0.62442749661786	0.272227917420888	210	29	0.0228223612327049	0.124034571916874
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.244911904953813	0.108751555330772	210	83	0.0258882153607748	0.134834455004035
ASV_4_Corynebacterium_nan	collection_season2	spring	1.40293368162393	0.632537994434936	210	136	0.0277616659327576	0.138808329663788
