feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_5_Staphylococcus_nan	collection_season2	spring	-2.09549724485977	0.603538432725603	210	138	0.000653921550857618	0.0980882326286426
ASV_14_Corynebacterium_nan	collection_season2	winter	-1.04702946738198	0.394607686359549	210	32	0.00912455970191227	0.170330164451195
ASV_7_Streptococcus_nan	age_days_numeric	age_days_numeric	3.21518702118814	1.08333012432197	210	83	0.0034298388522767	0.170330164451195
ASV_5_Staphylococcus_nan	collection_season2	winter	-1.94079710344542	0.679223517715486	210	138	0.00484775308254843	0.170330164451195
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	1.83232284422068	0.706446065654152	210	29	0.0102198098670717	0.170330164451195
ASV_13_Neisseria_nan	timepoint_month	M02	-2.30968148523391	0.836230107882937	210	29	0.00631097643825524	0.170330164451195
ASV_13_Neisseria_nan	timepoint_month	M03	-4.59601690880546	1.71965635604524	210	29	0.00817147555906562	0.170330164451195
ASV_18_Klebsiella_nan	collection_season2	spring	-0.719321917515662	0.271829429348125	210	29	0.00877748131506569	0.170330164451195
ASV_2_Haemophilus_nan	collection_season2	spring	1.5930254577347	0.591501670593453	210	104	0.00785172554341689	0.170330164451195
ASV_14_Corynebacterium_nan	collection_season2	spring	-0.863185437846788	0.359915459030218	210	32	0.0178767267661517	0.178767267661517
ASV_4_Corynebacterium_nan	collection_season2	spring	1.529325462294	0.633247409984372	210	136	0.0167051460461881	0.178767267661517
ASV_7_Streptococcus_nan	timepoint_month	M02	-3.06227260740823	1.27439176866032	210	83	0.0173579602636191	0.178767267661517
ASV_7_Streptococcus_nan	timepoint_month	M03	-6.40108994437939	2.63217903331702	210	83	0.016061798116294	0.178767267661517
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-2.88517272447842	1.16384630148743	210	138	0.014050623900146	0.178767267661517
ASV_2_Haemophilus_nan	collection_season2	winter	1.67450086084316	0.660002811031802	210	104	0.0122800856417035	0.178767267661517
ASV_39_Gemella_nan	collection_season2	winter	0.860779165165183	0.402944260146045	210	83	0.0341696366998013	0.320340344060637
ASV_18_Klebsiella_nan	age_days_numeric	age_days_numeric	-1.23772260743928	0.606338277401044	210	29	0.0425142178404788	0.375125451533637
ASV_28_Corynebacterium_nan	collection_season2	winter	-0.827605793714557	0.441532475333642	210	35	0.0632138225395265	0.526781854496054
ASV_35_ASV_35_nan	collection_season2	winter	0.589001567385603	0.340483208457279	210	32	0.0858405859349223	0.677688836328334
ASV_63_ASV_63_nan	collection_season2	autumn	-0.539501510506465	0.321622065050633	210	26	0.0950029881177816	0.712522410883362
ASV_18_Klebsiella_nan	collection_season2	winter	-0.471963363049237	0.297359486665942	210	29	0.114028002558334	0.81448573255953
ASV_18_Klebsiella_nan	timepoint_month	M03	2.3080341007631	1.4809696470992	210	29	0.120681522542813	0.822828562791906
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.964490621501453	0.645145643364874	210	136	0.136563479502783	0.890631388061626
ASV_14_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.996799228040955	0.795317054440068	210	32	0.211530982573142	0.898236349752338
ASV_4_Corynebacterium_nan	collection_season2	winter	0.91985720103097	0.717135065041197	210	136	0.201289737984175	0.898236349752338
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.337802689137645	0.264892324838609	210	29	0.204143218064641	0.898236349752338
