feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	1.66871977121751	0.490120149861639	255	205	0.000811408473584098	0.0535529592565505
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.436892105850905	0.127272012621846	255	248	0.000749719596505116	0.0535529592565505
ASV_2_Haemophilus_nan	collection_season2	spring	2.09153632913342	0.641030520229141	255	139	0.00126641816672909	0.05572239933608
ASV_22_ASV_22_nan	HAZ12_2	middle	-2.19555700690414	0.685829418637152	255	124	0.0019565803031208	0.0645671500029863
ASV_3_Haemophilus_nan	collection_season2	spring	2.15010230672799	0.70519783034342	255	123	0.00254542340518839	0.0671991778969735
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.302091501627379	0.120002229903464	255	94	0.0127437668116389	0.207449350749692
ASV_10_Streptococcus_nan	collection_season2	winter	-0.929084956627849	0.373106380331513	255	65	0.0138190124482173	0.207449350749692
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.461456812085018	0.186131005613489	255	123	0.0141442739147518	0.207449350749692
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.187708614853593	0.0739910974052539	255	34	0.012090032508682	0.207449350749692
ASV_22_ASV_22_nan	HAZ12_2	low	-1.70058736544776	0.71943486078055	255	124	0.0204823680938978	0.270367258839451
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.317140100526877	0.138027726891031	255	72	0.0227856741951251	0.273428090341501
ASV_35_ASV_35_nan	collection_season2	winter	-0.685585026330284	0.318037357615304	255	52	0.0325362267977552	0.357898494775308
ASV_39_Gemella_nan	collection_season2	winter	-0.558529566576589	0.267312852484478	255	48	0.0381631824427906	0.387503083265258
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.15095212716477	0.0758504606268595	255	23	0.0481425328299945	0.453915309539948
ASV_34_Corynebacterium_nan	collection_season2	winter	0.592857346609988	0.316459987148299	255	30	0.0627149245887601	0.551891336381089
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.60129849846005	0.335347174737485	255	34	0.0742091009159841	0.612225082556869
ASV_5_Staphylococcus_nan	HAZ12_2	low	1.38169589254465	0.781041257679216	255	72	0.0806824742968601	0.613690418103399
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.07879330863114	0.621109013434123	255	139	0.0836850570140998	0.613690418103399
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.3708858512446	0.230668008409422	255	23	0.109779890662835	0.762681345657593
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.699155518261918	0.489294215404677	255	205	0.154334787386592	0.789142008268448
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.130549520009758	0.0914956273238641	255	37	0.155437062234694	0.789142008268448
