feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_2_Haemophilus_nan	collection_season2	spring	2.25856691829046	0.64091424357728	255	139	0.000510848955041279	0.052262144487007
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.434577791179248	0.127190222146611	255	248	0.000791850674045561	0.052262144487007
ASV_4_Corynebacterium_nan	collection_season2	winter	1.64171532758692	0.503306547048959	255	205	0.00130751354097207	0.0575305958027709
ASV_3_Haemophilus_nan	collection_season2	spring	2.02366771910977	0.71315540294902	255	123	0.00492158559112151	0.16241232450701
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.299023748375803	0.119985150930847	255	94	0.0136493141156279	0.225213682907861
ASV_10_Streptococcus_nan	collection_season2	winter	-0.993785478074353	0.3875849734958	255	65	0.0112388068280018	0.225213682907861
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.464903028362659	0.186480703888998	255	123	0.0136286168914927	0.225213682907861
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.188718071875324	0.0740183152772834	255	34	0.0116751308408417	0.225213682907861
ASV_2_Haemophilus_nan	WAZ0_2	middle	2.23498263511151	0.946125848348185	255	139	0.0205196198066412	0.300954423830737
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.317159809509139	0.138130284692239	255	72	0.022877890192506	0.301988150541079
ASV_39_Gemella_nan	collection_season2	winter	-0.595402420074565	0.276022493892558	255	48	0.0323370300910985	0.342501732545241
ASV_35_ASV_35_nan	collection_season2	winter	-0.722394204658199	0.327469288694622	255	52	0.0286823368455325	0.342501732545241
ASV_2_Haemophilus_nan	WAZ0_2	low	2.1542686442278	0.997391278380214	255	139	0.0337312312355162	0.342501732545241
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.150130229940311	0.0759146401242403	255	23	0.0495513669161095	0.467198602351889
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.629227356869447	0.33890699141247	255	34	0.0645893270225264	0.568386077798232
ASV_34_Corynebacterium_nan	collection_season2	winter	0.566429889697811	0.32647607194964	255	30	0.0844527103230851	0.696734860165452
ASV_34_Corynebacterium_nan	collection_season2	spring	-0.34385033194384	0.335435764761422	255	30	0.306422690119024	0.836405091192343
ASV_34_Corynebacterium_nan	collection_season2	autumn	0.421941341041139	0.325061882015106	255	30	0.19554918533964	0.836405091192343
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	0.137819325311886	0.147626131769169	255	205	0.351826524307619	0.836405091192343
ASV_4_Corynebacterium_nan	collection_season2	spring	-0.451629016309883	0.511475020811645	255	205	0.378140741462633	0.836405091192343
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.655325103023736	0.494429664985635	255	205	0.186291882843031	0.836405091192343
ASV_8_Corynebacterium_nan	collection_season2	spring	-0.414453021792414	0.468296133850057	255	94	0.377010138104681	0.836405091192343
ASV_8_Corynebacterium_nan	WAZ0_2	middle	-1.14763644280546	0.859631030167628	255	94	0.185440708256638	0.836405091192343
ASV_8_Corynebacterium_nan	WAZ0_2	low	-1.27575251589342	0.908714419174264	255	94	0.164054827522511	0.836405091192343
ASV_40_Porphyromonas_nan	collection_season2	spring	0.221747910862983	0.24756451749601	255	23	0.371445651358156	0.836405091192343
ASV_40_Porphyromonas_nan	collection_season2	autumn	0.297672829117372	0.241419405142234	255	23	0.218860428904894	0.836405091192343
ASV_40_Porphyromonas_nan	collection_season2	winter	-0.217047725897831	0.236814172195892	255	23	0.360741658419574	0.836405091192343
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.129193690197614	0.0915372967248763	255	37	0.159938625133147	0.836405091192343
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.278612012241585	0.314216456502057	255	37	0.376337035881977	0.836405091192343
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.0911992791656608	0.086921511848194	255	33	0.295554127771119	0.836405091192343
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.289419976405165	0.271879398869023	255	33	0.288606553445861	0.836405091192343
ASV_33_Alloprevotella_nan	WAZ0_2	middle	0.369234438712551	0.386214090083084	255	33	0.341858989516347	0.836405091192343
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.0568331273352321	0.0654644132724566	255	21	0.386520534566158	0.836405091192343
ASV_63_ASV_63_nan	WAZ0_2	middle	-0.405085324597813	0.383430263707944	255	21	0.293755188864172	0.836405091192343
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-0.7072651584522	0.531634030978824	255	198	0.184643133223746	0.836405091192343
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	0.730953949908903	0.530359761863994	255	198	0.169609291007287	0.836405091192343
ASV_6_Dolosigranulum_pigrum	WAZ0_2	low	-0.871710353840948	0.875322589740569	255	198	0.322212558951367	0.836405091192343
