feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	1.67651352613251	0.485579164724256	255	205	0.000686390683868386	0.0331487494679751
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.436547921464364	0.127226160246679	255	248	0.000753380669726707	0.0331487494679751
ASV_2_Haemophilus_nan	collection_season2	spring	2.09213131057544	0.637437151688042	255	139	0.00118503438622446	0.0347610086625843
ASV_3_Haemophilus_nan	collection_season2	spring	2.10570055337386	0.702974670759849	255	123	0.0030161955897625	0.0663563029747751
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.302751469846376	0.120009408231641	255	94	0.0125587286737768	0.156286396821228
ASV_10_Streptococcus_nan	collection_season2	winter	-0.956722456482129	0.371253215218506	255	65	0.0108779792773801	0.156286396821228
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.461289796353131	0.186186741675495	255	123	0.0142078542564753	0.156286396821228
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.188126964455361	0.073993522775585	255	34	0.0119062210428504	0.156286396821228
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.317363142757354	0.137982264697149	255	72	0.0226472807949494	0.22144007888395
ASV_39_Gemella_nan	collection_season2	winter	-0.557870363864932	0.265168983503172	255	48	0.0368526939006285	0.294821551205028
ASV_35_ASV_35_nan	collection_season2	winter	-0.671307457904232	0.31472913466161	255	52	0.0343717832298297	0.294821551205028
ASV_34_Corynebacterium_nan	collection_season2	winter	0.616264508782159	0.314205216785195	255	30	0.0514407584213187	0.348214364698157
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.151213487169814	0.0758604040631837	255	23	0.0477896461509058	0.348214364698157
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.614795985320216	0.334087289166762	255	34	0.066946977735472	0.420809574337253
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.10012748163118	0.617211384628298	255	139	0.0759287940734282	0.445448925230779
ASV_34_Corynebacterium_nan	collection_season2	autumn	0.464578560268856	0.319319641015315	255	30	0.147026353647969	0.551938648382013
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.707962534935808	0.486021184213156	255	205	0.146512268746402	0.551938648382013
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-0.754643962636533	0.523260337684751	255	198	0.150528722286004	0.551938648382013
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	0.75222761365872	0.514781987889847	255	198	0.14549245252216	0.551938648382013
ASV_10_Streptococcus_nan	collection_season2	spring	-0.570438731213751	0.394901366349976	255	65	0.150106270594227	0.551938648382013
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.12448913097207	0.0858796869956863	255	48	0.148979442931533	0.551938648382013
ASV_39_Gemella_nan	collection_season2	spring	-0.418394464761965	0.278202977602897	255	48	0.134029376451114	0.551938648382013
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.347635931420764	0.229760283315414	255	23	0.132157937460111	0.551938648382013
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.473049161182649	0.310944713290808	255	34	0.129615366103687	0.551938648382013
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.129884167450102	0.0914840332094622	255	37	0.157488730825058	0.554360332504206
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.360749729550347	0.261651596341622	255	33	0.169858404302117	0.574905368407164
ASV_40_Porphyromonas_nan	collection_season2	autumn	0.301523736942709	0.237427921330784	255	23	0.205404531164465	0.645557097945462
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.0983024055781663	0.0772767026531426	255	35	0.205055259783369	0.645557097945462
ASV_34_Corynebacterium_nan	collection_season2	spring	-0.324795080367219	0.328424826551756	255	30	0.323756385013709	0.684343588811109
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	0.137419946694249	0.147493927616429	255	205	0.35278913250127	0.684343588811109
ASV_4_Corynebacterium_nan	collection_season2	spring	-0.459026725974028	0.501427297099674	255	205	0.360900503358047	0.684343588811109
ASV_40_Porphyromonas_nan	collection_season2	spring	0.27441981706564	0.242544618273394	255	23	0.259191703190954	0.684343588811109
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.28600968012018	0.303462932925486	255	37	0.347150017911877	0.684343588811109
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.0885298112864495	0.086885511053041	255	33	0.309672089140452	0.684343588811109
ASV_33_Alloprevotella_nan	collection_season2	spring	-0.273721186449552	0.276105818247333	255	33	0.322626738489609	0.684343588811109
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.0593970261043327	0.0654634247011234	255	21	0.36550168947866	0.684343588811109
ASV_7_Streptococcus_nan	collection_season2	winter	0.589160653745296	0.573217615855946	255	158	0.305300957126819	0.684343588811109
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.115131913391783	0.10276497200841	255	52	0.264119285568988	0.684343588811109
ASV_49_Streptobacillus_nan	collection_season2	spring	-0.236622101696693	0.242136565436675	255	23	0.329546306662282	0.684343588811109
ASV_13_Neisseria_nan	collection_season2	autumn	-0.235793246682244	0.251199677087829	255	35	0.348847488359632	0.684343588811109
ASV_20_Neisseria_nan	collection_season2	autumn	-0.28303805107423	0.286816643709961	255	25	0.324725016401877	0.684343588811109
ASV_22_ASV_22_nan	collection_season2	autumn	-0.389709362830621	0.411247491620218	255	124	0.34424057537786	0.684343588811109
ASV_22_ASV_22_nan	collection_season2	winter	0.398546389072145	0.422342938685932	255	124	0.346419370476426	0.684343588811109
ASV_1_Moraxella_nan	collection_season2	spring	0.464596339407352	0.437092722153813	255	248	0.28889932336247	0.684343588811109
ASV_1_Moraxella_nan	collection_season2	autumn	0.419523943698246	0.423350749420648	255	248	0.32269236265484	0.684343588811109
ASV_1_Moraxella_nan	collection_season2	winter	0.449969231167081	0.424860505103758	255	248	0.290904807304396	0.684343588811109
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.351635117463422	0.304198234979586	255	34	0.24890691702215	0.684343588811109
ASV_34_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.0744691829196768	0.100185683070094	255	30	0.458307696209647	0.695363401145672
ASV_8_Corynebacterium_nan	collection_season2	spring	-0.383955972697959	0.46334234775027	255	94	0.408089315174515	0.695363401145672
ASV_10_Streptococcus_nan	collection_season2	autumn	-0.298262910124251	0.38642465193435	255	65	0.441005778282405	0.695363401145672
ASV_5_Staphylococcus_nan	collection_season2	autumn	0.348611783408815	0.461843867583559	255	72	0.451082791294558	0.695363401145672
