feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	1.68443635368094	0.483829382934025	255	205	0.000622563271247026	0.0430644368550309
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.434818817179543	0.127139787575269	255	248	0.000782989761000562	0.0430644368550309
ASV_2_Haemophilus_nan	collection_season2	spring	2.09579131469609	0.63994364776792	255	139	0.00121455952995417	0.0445338494316528
ASV_3_Haemophilus_nan	collection_season2	spring	2.11155855589934	0.705156649481382	255	123	0.00302654646233502	0.083230027714213
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.303090606157005	0.119999547815653	255	94	0.0124546249631128	0.194826883518403
ASV_10_Streptococcus_nan	collection_season2	winter	-0.953365398490589	0.371707178131966	255	65	0.011260077943923	0.194826883518403
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.461509428385489	0.186199237796084	255	123	0.0141692278922475	0.194826883518403
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.188158485479882	0.0739821473796094	255	34	0.0118790760280651	0.194826883518403
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.317406010114376	0.137995234776161	255	72	0.0226421831267984	0.27673779377198
ASV_35_ASV_35_nan	collection_season2	winter	-0.674057808814161	0.315420509525524	255	52	0.0340491272139047	0.374540399352951
ASV_39_Gemella_nan	collection_season2	winter	-0.554079415028781	0.264839644997376	255	48	0.0379182940866669	0.379182940866669
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.15116977602486	0.0758737579045799	255	23	0.0478928479508676	0.439017772882953
ASV_34_Corynebacterium_nan	collection_season2	winter	0.616312284388489	0.315461627560378	255	30	0.0523567515286703	0.443018666781057
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.610045757600657	0.334316566902045	255	34	0.0692619941132832	0.544201382318654
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.1080330704222	0.619497698693318	255	139	0.0749289650429889	0.549479076981919
ASV_34_Corynebacterium_nan	collection_season2	autumn	0.459982175546739	0.32068549077361	255	30	0.152795899174723	0.64443515489422
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.746732872677972	0.485485824391236	255	205	0.125338854909603	0.64443515489422
ASV_4_Corynebacterium_nan	edu	secondary_any tertiary	0.633702365883859	0.44497927651794	255	205	0.15817953801949	0.64443515489422
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.130022534890277	0.0914937606597682	255	37	0.157093815006671	0.64443515489422
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-0.757508515929212	0.525277786233177	255	198	0.150556870978028	0.64443515489422
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	0.755830718838172	0.516561621653256	255	198	0.144968437876365	0.64443515489422
