feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	1.92739881768687	0.495611622226599	255	205	0.000139375823629624	0.0183976087191104
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.43818870724293	0.12737849932837	255	248	0.000731312578586204	0.0482666301866895
ASV_2_Haemophilus_nan	collection_season2	spring	2.02876723968111	0.650556195061293	255	139	0.0020400626997544	0.0897627587891936
ASV_10_Streptococcus_nan	collection_season2	winter	-1.0275160972492	0.380349975113173	255	65	0.0076471654878177	0.201885168878387
ASV_3_Haemophilus_nan	collection_season2	spring	1.96718950420261	0.711998130830064	255	123	0.0061586262576573	0.201885168878387
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.306057957232943	0.120091873581132	255	94	0.0116999103187363	0.220626880296171
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.188713028538296	0.0740086644282536	255	34	0.0116662574978998	0.220626880296171
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.465931876045758	0.186542162728889	255	123	0.0134570837580994	0.222041882008641
ASV_34_Corynebacterium_nan	collection_season2	winter	0.73786210474704	0.323206556601554	255	30	0.0236261335749413	0.284251175883847
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.320794408684905	0.138053975131887	255	72	0.021312418617822	0.284251175883847
ASV_22_ASV_22_nan	income2	middle	1.45946349326274	0.633052943106367	255	124	0.0236875979903205	0.284251175883847
ASV_10_Streptococcus_nan	income2	middle	-1.03372967423127	0.488812552814975	255	65	0.0374897375701603	0.371755186222748
ASV_35_ASV_35_nan	collection_season2	winter	-0.6819399400649	0.327684937281043	255	52	0.0388831175387028	0.371755186222748
ASV_22_ASV_22_nan	income2	low	1.28736966025458	0.614899916390722	255	124	0.0394285803569581	0.371755186222748
ASV_5_Staphylococcus_nan	income2	middle	1.36170593097599	0.665187843145961	255	72	0.0438930461705247	0.386258806300617
ASV_5_Staphylococcus_nan	income2	low	1.28097185302006	0.64585000323365	255	72	0.0507394749984196	0.393977099987729
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.151127547173073	0.0758544768687453	255	23	0.0478969534912801	0.393977099987729
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.904888152229976	0.491249245566566	255	205	0.066708900139505	0.415504916835226
ASV_8_Corynebacterium_nan	income2	middle	1.41802471914078	0.796337530113476	255	94	0.0786941130369746	0.415504916835226
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	0.93846794174137	0.528570685813995	255	198	0.077284791803482	0.415504916835226
ASV_10_Streptococcus_nan	income2	low	-0.873356834470841	0.474241338409037	255	65	0.069177162447164	0.415504916835226
ASV_39_Gemella_nan	collection_season2	winter	-0.518691995259901	0.272508273077983	255	48	0.0586360008748577	0.415504916835226
ASV_39_Gemella_nan	income2	low	-0.637502555810972	0.351793542178483	255	48	0.0736463771460811	0.415504916835226
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.13896539013215	0.630334605012919	255	139	0.0720118395793711	0.415504916835226
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.622611429803708	0.33829910374248	255	34	0.0669402090938136	0.415504916835226
ASV_20_Neisseria_nan	income2	middle	-0.692637008438387	0.400797972557941	255	25	0.0877816048432312	0.445660455357943
ASV_34_Corynebacterium_nan	collection_season2	autumn	0.544504225020258	0.324381099387318	255	30	0.0945624181340999	0.462305155322266
ASV_58_Porphyromonas_nan	income2	middle	-0.719182760259065	0.434747458043198	255	37	0.101935354257988	0.469817483296391
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.389088216329546	0.237511830589404	255	23	0.103217477390874	0.469817483296391
ASV_10_Streptococcus_nan	collection_season2	spring	-0.622548838027198	0.399548224409552	255	65	0.12073123299453	0.531217425175932
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.481475339862261	0.312796804016068	255	34	0.125202519226951	0.533120404450242
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.132546561945075	0.0914827386523383	255	37	0.149191698683827	0.600111930729103
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.124191337628943	0.0858966938817841	255	48	0.150027982682276	0.600111930729103
ASV_40_Porphyromonas_nan	collection_season2	autumn	0.333681643480102	0.243070623865475	255	23	0.171180829612516	0.642162606572524
ASV_39_Gemella_nan	collection_season2	spring	-0.389092763748378	0.282219323398096	255	48	0.169381054208663	0.642162606572524
ASV_49_Streptobacillus_nan	income2	low	0.416164414508161	0.3042653312977	255	23	0.175135256337961	0.642162606572524
ASV_34_Corynebacterium_nan	income2	middle	0.586564894301107	0.434147344174198	255	30	0.180478284415562	0.643868474131196
ASV_8_Corynebacterium_nan	income2	low	0.997607861826894	0.774094564612625	255	94	0.201163308787739	0.649140653678418
ASV_39_Gemella_nan	income2	middle	-0.463662624287015	0.362492422355299	255	48	0.204470492531684	0.649140653678418
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.0992829176075049	0.0773266023033442	255	35	0.200884875387376	0.649140653678418
ASV_11_Moraxella_lincolnii	income2	middle	-0.937681458189384	0.735274111105574	255	34	0.20583085809993	0.649140653678418
ASV_11_Moraxella_lincolnii	income2	low	-0.911210994752882	0.715625512656351	255	34	0.206544753443133	0.649140653678418
ASV_24_Streptococcus_nan	income2	low	-0.588954650269542	0.47072339764367	255	55	0.214447955971488	0.658305353214799
ASV_40_Porphyromonas_nan	collection_season2	spring	0.29960499814603	0.248568891828636	255	23	0.229439208893137	0.674256986653771
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.328002450250233	0.272185942090145	255	33	0.22986033635924	0.674256986653771
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.365762895690903	0.311679638705713	255	37	0.242036605550682	0.676094928667428
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-0.616420526386383	0.530590871202967	255	198	0.246468292565426	0.676094928667428
ASV_7_Streptococcus_nan	income2	middle	-0.960444081203946	0.830462144385721	255	158	0.250974632611394	0.676094928667428
ASV_20_Neisseria_nan	income2	low	-0.463410729147641	0.389066071822425	255	25	0.237130709868113	0.676094928667428
ASV_11_Moraxella_lincolnii	collection_season2	autumn	-0.34725777919743	0.306621539495326	255	34	0.258612235307287	0.682736301211237
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.114891058767414	0.102813291957853	255	52	0.265340392315798	0.686763368346771
ASV_49_Streptobacillus_nan	collection_season2	spring	-0.268784650092897	0.246723299101648	255	23	0.277168965359486	0.690307611838721
