feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	1.65551035896184	0.48977370549936	255	205	0.000881062856283382	0.0445011743526339
ASV_2_Haemophilus_nan	collection_season2	spring	2.09307026199038	0.639059368526831	255	139	0.00121366839143547	0.0445011743526339
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.437389180339322	0.127269027342797	255	248	0.000739411944918711	0.0445011743526339
ASV_3_Haemophilus_nan	collection_season2	spring	2.10530624748082	0.704285896926574	255	123	0.00307641578455514	0.0846014340752664
ASV_10_Streptococcus_nan	collection_season2	winter	-1.03619479513162	0.370082623547143	255	65	0.0057565951088232	0.12664509239411
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.302983542217429	0.120041406971971	255	94	0.0125158449699297	0.190881002742144
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.463040152090073	0.186247902279772	255	123	0.0138822547448832	0.190881002742144
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.187529717837653	0.0739991770481412	255	34	0.0121801610779315	0.190881002742144
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.319378630362125	0.138071087743186	255	72	0.0218991583425317	0.267656379742054
ASV_39_Gemella_nan	collection_season2	winter	-0.588744724430432	0.266820481426596	255	48	0.0286759647154234	0.315435611869658
ASV_35_ASV_35_nan	collection_season2	winter	-0.659596285314701	0.317772575740257	255	52	0.0394328363587867	0.394328363587867
ASV_34_Corynebacterium_nan	collection_season2	winter	0.628301292288646	0.317258741674516	255	30	0.0492315279067404	0.416574466903188
ASV_49_Streptobacillus_nan	age_days_numeric	age_days_numeric	-0.151128237623392	0.0758889310341753	255	23	0.0479974898037512	0.416574466903188
ASV_10_Streptococcus_nan	sex	male	-0.551240876634068	0.301504266333909	255	65	0.0711030566504552	0.533316193829911
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.0963660928886	0.618549058174076	255	139	0.077573264557078	0.533316193829911
ASV_11_Moraxella_lincolnii	collection_season2	winter	-0.603354705753748	0.335252076273889	255	34	0.0731471080781475	0.533316193829911
ASV_40_Porphyromonas_nan	sex	male	0.321279649343117	0.185239995132232	255	23	0.0865566377117879	0.56007236166451
ASV_34_Corynebacterium_nan	collection_season2	autumn	0.462175779730956	0.32011095510243	255	30	0.150129815992675	0.638653661789338
ASV_4_Corynebacterium_nan	collection_season2	autumn	0.704853285123273	0.487059924638136	255	205	0.149156395061099	0.638653661789338
ASV_58_Porphyromonas_nan	age_days_numeric	age_days_numeric	0.131098361252001	0.0914921379043573	255	37	0.153701115935781	0.638653661789338
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.375795958201627	0.264168575610981	255	33	0.156760444257383	0.638653661789338
ASV_6_Dolosigranulum_pigrum	collection_season2	spring	-0.764406397908956	0.524005336742272	255	198	0.145919041294549	0.638653661789338
ASV_10_Streptococcus_nan	collection_season2	spring	-0.5836958033109	0.391931721884146	255	65	0.137966497181598	0.638653661789338
ASV_39_Gemella_nan	age_days_numeric	age_days_numeric	-0.122534382091547	0.0858772014066327	255	48	0.155415418989288	0.638653661789338
ASV_39_Gemella_nan	collection_season2	spring	-0.425642646104104	0.278265985191926	255	48	0.12755004559415	0.638653661789338
ASV_49_Streptobacillus_nan	collection_season2	winter	-0.350602240823702	0.232148920838401	255	23	0.132858664847509	0.638653661789338
ASV_11_Moraxella_lincolnii	collection_season2	spring	-0.471148600950467	0.311230746871304	255	34	0.131512064080169	0.638653661789338
ASV_6_Dolosigranulum_pigrum	collection_season2	winter	0.715516140815689	0.518144978283956	255	198	0.168822681259641	0.663231962091446
ASV_34_Corynebacterium_nan	collection_season2	spring	-0.323106285706927	0.329420031138899	255	30	0.327738183052755	0.744399587903087
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	0.13857517550793	0.147556212214092	255	205	0.348970288641397	0.744399587903087
ASV_4_Corynebacterium_nan	collection_season2	spring	-0.465752177128287	0.502706544086943	255	205	0.355148474737267	0.744399587903087
ASV_40_Porphyromonas_nan	collection_season2	spring	0.285575400122584	0.241055481381601	255	23	0.237528341762464	0.744399587903087
ASV_40_Porphyromonas_nan	collection_season2	autumn	0.301247226511761	0.236073195134488	255	23	0.203254234224946	0.744399587903087
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.305182244638977	0.305989903862803	255	37	0.319862850983474	0.744399587903087
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	-0.0874276356581987	0.0869030970100123	255	33	0.315813927493962	0.744399587903087
ASV_33_Alloprevotella_nan	collection_season2	spring	-0.274345477464695	0.276861559567925	255	33	0.322852446851269	0.744399587903087
ASV_63_ASV_63_nan	age_days_numeric	age_days_numeric	-0.060285616686562	0.0655007704566753	255	21	0.358665255989669	0.744399587903087
ASV_24_Streptococcus_nan	sex	male	0.338225984410416	0.298324528555335	255	55	0.260152315687329	0.744399587903087
ASV_7_Streptococcus_nan	collection_season2	winter	0.60435670716939	0.578271883443583	255	158	0.297250320749621	0.744399587903087
ASV_39_Gemella_nan	sex	male	-0.233567806002508	0.225244935447802	255	48	0.302765713624347	0.744399587903087
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.115898901043515	0.102814158549844	255	52	0.261190503126409	0.744399587903087
