feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_4_Corynebacterium_nan	collection_season2	winter	1.72383528121991	0.487855263410639	255	205	0.000517419347458125	0.0392655691701545
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.438147993911967	0.127119834847658	255	248	0.000713919439457354	0.0392655691701545
ASV_2_Haemophilus_nan	collection_season2	spring	2.1289100257898	0.644235714968949	255	139	0.00109740971831521	0.0402383563382242
ASV_3_Haemophilus_nan	collection_season2	spring	2.13710307679413	0.708753686478845	255	123	0.00283320861830982	0.07791323700352
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.305261394634404	0.12011865759614	255	94	0.011934811250257	0.19308947351835
ASV_10_Streptococcus_nan	collection_season2	winter	-0.964271919423037	0.37439504554402	255	65	0.0109284802064671	0.19308947351835
ASV_3_Haemophilus_nan	age_days_numeric	age_days_numeric	0.462092958339264	0.186186944937742	255	123	0.0140428708013346	0.19308947351835
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.187070350708356	0.0739587462109674	255	34	0.0123410800346299	0.19308947351835
ASV_39_Gemella_nan	collection_season2	winter	-0.609485663390103	0.262297063541417	255	48	0.0213567777690446	0.244162539373344
ASV_5_Staphylococcus_nan	age_days_numeric	age_days_numeric	-0.316860492454943	0.137982394337377	255	72	0.0228593469701043	0.244162539373344
ASV_35_ASV_35_nan	collection_season2	winter	-0.714468249392942	0.314566490489098	255	52	0.0244162539373344	0.244162539373344
