feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.426098034111454	0.082530471447747	462	82	3.8931737929099e-07	3.6985151032644e-05
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.208232109015744	0.0489465952873177	462	60	2.62900984971377e-05	0.000832519785742693
ASV_11_Moraxella_lincolnii	daycare_prior_sampling	yes	-2.20449358397792	0.507106370426618	462	82	1.82239746441418e-05	0.000832519785742693
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.240807110482254	0.0636225153185416	462	57	0.000177930814586336	0.00338068547714039
ASV_20_Neisseria_nan	collection_season2	autumn	-0.733486398399636	0.191257964981708	462	47	0.000143661337051096	0.00338068547714039
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.28021974680974	0.0755956012379162	462	161	0.000240315105021494	0.00380498916284032
ASV_4_Corynebacterium_nan	collection_season2	winter	1.12494921821205	0.31204538087792	462	362	0.000347328472876919	0.00444455442293716
ASV_20_Neisseria_nan	collection_season2	winter	-0.606045392504987	0.169077659923367	462	47	0.000374278267194708	0.00444455442293716
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.23437694531042	0.347695373621526	462	362	0.000427869212045228	0.00451639723825519
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.190608123105905	0.0579396596196744	462	48	0.00109392362239425	0.0103922744127454
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.48661088203241	0.486492167428558	462	285	0.0023831616862125	0.0205818509263807
ASV_20_Neisseria_nan	collection_season2	spring	-0.511629989478836	0.17063231453913	462	47	0.00286263312324674	0.0226625122257034
ASV_1_Moraxella_nan	collection_season2	autumn	0.73188667448447	0.248217077462646	462	457	0.00336464108179966	0.0245877617516129
ASV_35_ASV_35_nan	collection_season2	winter	-0.476175247892848	0.164428816490477	462	48	0.00396199379003664	0.0268849578609629
ASV_174_Helcococcus_nan	collection_season2	winter	0.414533512508014	0.146672276605596	462	60	0.00493384832185573	0.0312477060384196
ASV_174_Helcococcus_nan	collection_season2	spring	0.398176615795061	0.146321079384577	462	60	0.00677713575790825	0.0402392435625802
ASV_3_Haemophilus_nan	collection_season2	spring	1.20248606161856	0.446526970576166	462	247	0.00735041064799315	0.0410758242093735
ASV_4_Corynebacterium_nan	collection_season2	spring	0.797388430029392	0.312696804255432	462	362	0.0111110747553822	0.0545544380060836
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.420264897627086	0.165570554931659	462	51	0.0114758618548358	0.0545544380060836
ASV_35_ASV_35_nan	collection_season2	spring	-0.420889185963678	0.165840495924055	462	48	0.011485144843386	0.0545544380060836
ASV_7_Streptococcus_nan	collection_season2	winter	-0.895909459108836	0.363600202491283	462	304	0.0141108941556803	0.0638349973709349
ASV_2_Haemophilus_nan	collection_season2	spring	1.01895701784403	0.436150839502854	462	285	0.0199202041402206	0.0860190633327708
ASV_39_Gemella_nan	collection_season2	winter	-0.313286158064494	0.139727492858342	462	39	0.0254510865350338	0.102544847439464
ASV_13_Neisseria_nan	collection_season2	winter	-0.403369912051075	0.18048503869423	462	45	0.0259060667215488	0.102544847439464
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.348636161555427	0.16774817908227	462	51	0.0382376470055369	0.143070108371932
ASV_35_ASV_35_nan	collection_season2	autumn	-0.384283337334507	0.185763303820088	462	48	0.0391560296596866	0.143070108371932
ASV_13_Neisseria_nan	collection_season2	autumn	-0.416915912641501	0.203717567157786	462	45	0.0412941318415376	0.145294167590595
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.214503069738646	0.106459744800384	462	362	0.044601736274079	0.151327319501339
